Source,Heading,Category,Date,Time,URL
The Hindu,Modi likely to meet bank chiefs to discuss roadmap for PS,business,2019-06-17,22:54:00,https://www.thehindu.com/business/modi-likely-to-meet-bank-chiefs-to-discuss-roadmap-for-psbs/article28022526.ece
The Hindu,"Vistara adds 62 new flights, announces 48-hour sa",business,2019-06-17,20:06:00,https://www.thehindu.com/business/Industry/vistara-adds-62-new-flights-announces-48-hour-sale/article28020742.ece
The Hindu,"Sensex sheds 1,000 points in 4 sessio",business,2019-06-17,22:46:00,https://www.thehindu.com/business/Economy/sensex-sheds-1000-points-in-4-sessions/article28022549.ece
The Hindu,tcoin: the birth of an ass,business,2019-05-18,22:09:00,https://www.thehindu.com/sci-tech/technology/bitcoin-the-birth-of-an-asset/article27160112.ece
The Hindu,stributing the rewards of refo,business,2019-02-01,23:47:00,https://www.thehindu.com/opinion/lead/distributing-the-rewards-of-reform/article26155594.ece
The Hindu,peful that we will exit PCA in FY20: Pallav Mohapat,business,2018-12-23,22:27:00,https://www.thehindu.com/business/hopeful-that-we-will-exit-pca-in-fy20/article25814351.ece
The Hindu,"Sensex, Nifty close higher; all eyes on U.S. Fed policy me",business,2019-06-18,18:19:00,https://www.thehindu.com/business/markets/sensex-nifty-close-higher-all-eyes-on-us-fed-policy-meet/article28065361.ece
The Hindu,"Gold edges up by ₹100, silver rises ₹1",business,2019-06-18,17:39:00,https://www.thehindu.com/business/markets/gold-edges-up-by-100-silver-rises-130/article28064942.ece
The Hindu,"‘Incentivise investments in IPOs, MFs, set up development missio",business,2019-06-18,22:55:00,https://www.thehindu.com/business/Industry/incentivise-investments-in-ipos-mfs-set-up-development-mission/article28067036.ece
The Hindu,‘Investor sentiment lowest since 200,business,2019-06-18,22:47:00,https://www.thehindu.com/business/Industry/investor-sentiment-lowest-since-2008/article28067305.ece
The Hindu,Bajaj Holdings acquires majority control in Maharashtra Scoote,business,2019-06-18,23:23:00,https://www.thehindu.com/business/bajaj-holdings-acquires-majority-control-in-maharashtra-scooters/article28066870.ece
