Source,Heading,Category,Date,Time,URL
cnbc,These are the three Indian-origin CEOs  who are taking the US by storm,economy ,2019-06-20,23:16,https://www.cnbctv18.com/economy/these-are-the-three-indian-origin-ceos-who-are-taking-the-us-by-storm-3757561.htm
cnbc,These are the Indian institutions that made it to the top 500 QS World University Ranking 2020,economy ,2019-06-20,23:16,https://www.cnbctv18.com/economy/these-are-the-indian-institutions-that-made-it-to-the-top-500-qs-world-university-ranking-2020-3756171.htm
cnbc,"Dharavi slum beats Taj Mahal to top the list of travellers’ choice experiences in India
A group tour to Dharavi Slum in Mumbai, which is one of the largest slums of Asia has topped the list of destinations for “Travellers’ Choice Experiences 2019- India”. The awards recognize the world and India’s top bookable experiences – tours and activities – as decided by travellers, the company said.The “Top 10 Travellers choice experiences 2019- World and Asia” has been divided into two categories of World and Asia. The slum tour is ranked at the Number 10 in the list of Asia category. Here is list of top destinations.",economy ,2019-06-20,23:16,https://www.cnbctv18.com/economy/dharavi-slum-beats-taj-mahal-to-top-the-list-of-travellers-choice-experiences-in-india-3753851.htm
cnbc,"RBI MPC minutes: Economic activity losing traction, several uncertainties to baseline inflation, says Shaktikanta Das
Indian economy is losing traction as the gross domestic product (GDP) growth in Q4 slumped to 5.8 percent, the Reserve Bank of India governor Shaktikanta Das observed in the monetary policy committee (MPC) minutes.",economy ,2019-06-20,23:16,https://www.cnbctv18.com/economy/rbi-chief-shaktikanta-das-economic-activity-losing-traction-several-uncertainties-to-baseline-inflation-3754591.htm
cnbc,"We have never done business with DHFL, liquidity remains robust, says Indiabulls Housing Finance CEO Gagan Banga
Indiabulls Housing Finance has decided to buy back all non-convertible debentures maturing in July and August totalling Rs 2,285 crore.",economy ,2019-06-20,23:16,https://www.cnbctv18.com/real-estate/we-have-never-done-business-with-dhfl-liquidity-remains-robust-says-indiabulls-housing-finance-ceo-gagan-banga-3750831.htm
cnbc,The Ajodhya hills are alive with the sound of resistance,economy ,2019-06-20,23:16,https://www.cnbctv18.com/economy/the-ajodhya-hills-are-alive-with-the-sound-of-resistance-3754211.htm
cnbc,When and from where did black pepper come to India?,economy ,2019-06-20,23:16,https://www.cnbctv18.com/economy/when-and-from-where-did-black-pepper-come-to-india-3754061.htm
cnbc,"Ahead of Mike Pompeo's India visit, US says not aware of any plans to cap H-1B visas
Hours after news agency Reuters reported that the US government was planning to cap H-1B visas for India as a counter to country's data localisation norms, sources in the US government said they were unaware of any such plans.",economy ,2019-06-20,23:16,https://www.cnbctv18.com/economy/ahead-of-mike-pompeos-india-visit-us-says-not-aware-of-any-plans-to-cap-h-1b-visas-3753561.htm
cnbc,"International Yoga Day 2019: Here are some quotes that will motivate you to maintain a healthy lifestyle
On 21 June, millions of people across the world will celebrate International Yoga Day to raise global awareness about the benefits of the ancient Indian practice. Here are some inspirational quotes for Yoga Day.  ",economy ,2019-06-20,23:16,https://www.cnbctv18.com/economy/international-yoga-day-2019-here-are-some-quotes-that-will-motivate-you-to-maintain-a-healthy-lifestyle-3752701.htm
cnbc,"Delayed monsoon sparks water shortage in India
Prime Minister Narendra Modi said that piped water will reach all homes in the countryside by 2024, setting a tough target at a time when hundreds of millions don't have access to clean water.Water is typically scarce in the summer months, but the situation has been particularly grim this year in western and southern states that received below average rainfall in the 2018 monsoon season.About 200,000 Indians die every year due to inadequate access to safe water, and 600 million face high to extreme water stress, the National Institute for Transforming India (NITI) Aayog said in a report last year, citing data by independent agencies.",economy ,2019-06-20,23:16,https://www.cnbctv18.com/economy/delayed-monsoon-sparks-water-shortage-in-india-3753321.htm
cnbc,"These are the hottest skills that can get you hired right now in Asia Pacific and India, according to LinkedIn
There’s a misconception out there that the future of work will be robots and artificial intelligence automating all the jobs, leaving nothing for the majority of the world’s citizens to do. But research says that's not the case.",economy ,2019-06-20,23:16,https://www.cnbctv18.com/economy/job-skills-employment-linkedin-rising-job-skills-job-skills-hired-3724401.htm
cnbc,"FM Nirmala Sitharaman's first GST Council meet to decide on NAA extension, single point refund system
Sitharaman, who took over the reins of Finance Ministry from Arun Jaitley last month, will preside over the 35th meeting of the GST Council, which is a federal decision-making body comprising of state finance ministers.",economy ,2019-06-20,23:16,https://www.cnbctv18.com/economy/fm-nirmala-sitharamans-first-gst-council-meet-to-decide-on-naa-extension-single-point-refund-system-3751741.htm
cnbc,"From tackling illegal infiltration to economic reforms, here's what President Kovind said during his address to a joint session of Parliament
In his address to the joint sitting of both houses of Parliament in the historic Central Hall, he said government is moving ahead to create a strong, secure and inclusive India.",economy ,2019-06-20,23:16,https://www.cnbctv18.com/economy/people-gave-mandate-to-continue-indias-development-journey-says-president-kovind-3750401.htm
cnbc,"QS World University Ranking 2020: These 9 Indian institutes are among top 500 globally
Nine Indian institutes made it to the top 500 global universities rankings of 2020, collated by Quacquarelli Symonds (QS). Of these nine, seven are IITs. Other universities include Delhi University and Indian Institute of Science. In the top 1000, there are 23 Indian universities in total with OP Jindal being the newest and the youngest university to make it to the list. OP Jindal comes in the 751-800 ranking band. Other universities that figure in the rankings are Jamia Millia Islamia, Jadavpur University, Aligarh Muslim University, Hyderabad University, Calcutta University and Mumbai University.  Here are the nine institutions ranked in the top 500: ",economy ,2019-06-20,23:16,https://www.cnbctv18.com/economy/qs-world-university-ranking-2020-these-9-indian-institutes-are-among-top-500-globally-3750951.htm
cnbc,"Tata Steel says higher taxes, regulatory oversight discourage global miners from coming to India
Regulatory oversight has increased in India due to cases of unsustainable mining and some of the bad practices, said TV Narendran of Tata Steel",economy ,2019-06-20,23:16,https://www.cnbctv18.com/economy/tata-steel-says-higher-taxes-regulatory-oversight-discourage-global-miners-from-coming-to-india-3750961.htm
cnbc,"The second Goa Renaissance: How luxury hospitality is rewriting the Goan experience
Are you among those who mourn Goa’s ‘loss of innocence’? Are you nostalgic about the tropical paradise of the past? You may never be able to recreate those simple times; but parts of Goa have begun pushing back against chaotic tourist hordes. ",economy ,2019-06-20,23:16,https://www.cnbctv18.com/economy/the-second-goa-renaissance-how-luxury-hospitality-is-rewriting-the-goan-experience-3689041.htm
cnbc,"DBS Bank revises India GDP forecast for FY20 down to 6.8%
“Growth headwinds swiftly turn attention to the likely policy response. We expect monetary policy to do much of the heavy lifting, given limited fiscal leeway,” the bank in its report on the Indian economy on Thursday.",economy ,2019-06-20,23:16,https://www.cnbctv18.com/economy/dbs-revises-india-gdp-forecast-for-fy20-down-to-6-8-3746411.htm
cnbc,"Saudi crown prince linked to Khashoggi murder in UN report
Khashoggi’s death stirred widespread disgust and hurt the image of the prince, previously admired in the West for pushing to end the kingdom's oil dependence and easing social restrictions including by allowing women to drive.",economy ,2019-06-20,23:16,https://www.cnbctv18.com/economy/saudi-crown-prince-linked-to-khashoggi-murder-in-un-report-3749961.htm
cnbc,India's 10-year bond yields at 20-month low on US Fed rate cut hints,economy ,2019-06-20,23:16,https://www.cnbctv18.com/market/bonds/indias-10-year-bond-yields-at-20-month-low-on-us-fed-rate-cut-hints-3749111.htm
cnbc,"Probability of a Fed rate cut in July and at the end of 2019, says Daiwa Capital’s Paul Kitney",economy ,2019-06-20,23:16,https://www.cnbctv18.com/economy/probability-of-a-fed-rate-cut-in-july-and-at-the-end-of-2019-says-daiwa-capitals-paul-kitney-3748331.htm
cnbc,"Budget 2019 wish list: What the govt should do to fuel growth in the oil and gas sector
During financial year 2018, India met its 87 percent of crude oil requirement and 50 percent of natural gas requirement through imports, indicating significant level of dependency on imports which is expected to only increase further with strong growth in demand. ",economy ,2019-06-20,23:16,https://www.cnbctv18.com/energy/budget-2019-wish-list-what-the-govt-should-do-to-fuel-growth-in-the-oil-and-gas-sector-3729581.htm
cnbc,"Budget 2019: Tax sops, lesser regulatory interference … here is a wish-list from fintech sector
A large section of initially underserved individuals can now get super-quick and convenient access to credit, thanks to fintechs that are now active in over 900 locations across the country.",economy ,2019-06-20,23:16,https://www.cnbctv18.com/economy/budget-2019-tax-sops-lesser-regulatory-interference-here-is-a-wish-list-from-fintech-sector-3727001.htm
cnbc,"MCA may amend LLP Act to keep check on shell companies, says report
The MCA will set up a committee to suggest changes in the LLP Act, said the report, adding that the ministry is also looking to bring measures that would allow only small firms to change into an LLP.",economy ,2019-06-20,23:16,https://www.cnbctv18.com/economy/mca-may-amend-llp-act-to-keep-check-on-shell-companies-3747691.htm
