Source,Heading,Category,Date,Time,URL
Indian Express,Clear evidence of economic activity ‘losing traction’: RBI Governor Shaktikanta Das,business,2019-06-20,10:27:19 pm,https://indianexpress.com/article/business/economic-activity-losing-traction-rbi-governor-shaktikanta-das-mpc-meet-5791253/
Indian Express,India may raise income tax threshold in budget to revive economy: Report,business,2019-06-20,10:12:30 pm,https://indianexpress.com/article/business/economy/india-may-raise-income-tax-threshold-in-budget-to-revive-economy-report-5791362/
Indian Express,"Sitharaman-led first GST Council meet to decide on tax cut on e-vehicles, NAA extension",business,2019-06-20,6:26:10 pm,https://indianexpress.com/article/business/sitharaman-first-gst-council-meet-tax-cut-e-vehicles-naa-extension-5791216/
Indian Express,DBS revises India GDP forecast for FY20 down to 6.8 pc,business,2019-06-20,2:48:05 pm,https://indianexpress.com/article/business/economy/dbs-revises-india-gdp-forecast-for-fy20-down-to-6-8-pc-5790520/
Indian Express,China’s pollution crackdown to benefit Indian chemical stocks,business,2019-06-20,14:41:31:00,https://indianexpress.com/article/business/chinas-pollution-crackdown-to-benefit-indian-chemical-stocks-5790580/
Indian Express,"Govt identifies 5,106 ‘risky exporters’ who have fraudulently claimed GST refunds",business,2019-06-20,14:07:56:00,https://indianexpress.com/article/business/commodities/government-identifies-5106-risky-exporters-who-have-fraudulently-claimed-gst-refunds-5790457/
Indian Express,US tells India it’s mulling caps on H-1B visas to deter data rules: report,business,2019-06-20,13:30:02:00,https://indianexpress.com/article/business/us-tells-india-it-is-mulling-caps-on-h-1b-visas-to-deter-data-rules-report-5789493/
Indian Express,"Govt identifies 5,106 ‘risky exporters’ who have fraudulently claimed GST refunds",business,2019-06-20,13:23:26:00,https://indianexpress.com/article/business/market/govt-identifies-5106-risky-exporters-who-have-fraudulently-claimed-gst-refunds-5790297/
Indian Express,"Jet Airways shares bounce back, rise by 19%",business,2019-06-20,12:16:26:00,https://indianexpress.com/article/business/companies/jet-airways-shares-bounce-back-zoom-19-5790058/
Indian Express,Glenmark Pharma gets tentative nod from USFDA for acne treatment drug,business,2019-06-20,11:18:39:00,https://indianexpress.com/article/business/companies/glenmark-pharma-gets-tentative-nod-from-usfda-for-acne-treatment-drug-5789891/
Indian Express,Rupee sees high volatility against USD post Fed policy decision,business,2019-06-20,10:27:07:00,https://indianexpress.com/article/business/market/rupee-sees-high-volatility-against-usd-post-fed-policy-decision-5789679/
Indian Express,Collector rate across Madhya Pradesh reduced by 20 per cent,business,2019-06-20,07:43:31:00,https://indianexpress.com/article/business/collector-rate-across-madhya-pradesh-reduced-by-20-per-cent-5789481/
Indian Express,"US Fed holds rates steady, signals cuts possible later this year",business,2019-06-20,07:17:24:00,https://indianexpress.com/article/business/world-market/us-fed-holds-rates-steady-signals-cuts-possible-later-this-year-5789211/
Indian Express,"The retail paradox: Wholesale food inflation is up, but consumers aren’t feeling the pinch yet",business,2019-06-20,05:13:23:00,https://indianexpress.com/article/business/the-retail-paradox-wholesale-food-inflation-is-up-but-consumers-arent-feeling-the-pinch-yet-5789268/
