Source,Heading,Category,Date,Time,URL,Cluster,cluster_similarity_value
cnbc, Airbus launches new A321neo midsize long range jet at the Paris Air show Airbus launched a long range version of its A321neo jet at the Paris Airshow on Monday aiming to carve out new routes for airlines with smaller planes and steal a march on rival Boeings plans for a possible new mid market jet,aviation,2019-06-19,01:04,https://www.cnbctv18.com/aviation/airbus-launches-new-a321neo-jet-at-the-paris-airshow-3714311.htm,0,0.38
cnbc, Airbus agrees new contract for A400M airlifter Airbus has reached agreement with European buyer nations for a revised contract for its delayed A400M military transporter plane two people familiar with the matter said on Thursday,aviation,2019-06-19,01:04,https://www.cnbctv18.com/aviation/airbus-agrees-new-contract-for-a400m-airlifter-3682721.htm,0,0.36
cnbc, US seen open to enforceable mechanism to end aircraft subsidy spat The United States is expected to be open to negotiations on an enforceable mechanism that could allow European planemaker Airbus to receive government funding on commercial terms and ease the risk of tit for tat sanctions two US sources said,aviation,2019-06-19,01:04,https://www.cnbctv18.com/aviation/us-seen-open-to-enforceable-mechanism-to-end-aircraft-subsidy-spat-3729381.htm,0,0.32
Indian Express, Airbus woos American Airlines with new jet in deja vu for B,aviation,2019-06-09,09:51:24:00,https://indianexpress.com/article/business/aviation/airbus-woos-american-airlines-with-new-jet-in-deja-vu-for-boeing-5771703/,0,0.36
Times of India, Jet Airways insolvency process to commence,aviation,2019-06-19,01:05,https://timesofindia.indiatimes.com/business/india-business/jet-airways-insolvency-process-to-commence/articleshow/69833607.cms,1,0.28
Times of India, L Ts open offer for Mindtree commences today,aviation,2019-06-19,01:05,https://timesofindia.indiatimes.com/videos/business/lts-open-offer-for-mindtree-commences-today/videoshow/69814577.cms,1,0.21
cnbc, That was fast Mumbai airport returns to peak capacity after void created by Jet Airways ’ demise The domestic airlines from India together recorded 9167 departures at Mumbai in May 2019 just 10 percent short of what they recorded a year ago – when Jet Airways was in operation This shows the magnitude of how slots have been lapped up by airlines,aviation,2019-06-19,01:04,https://www.cnbctv18.com/aviation/that-was-fast-mumbai-airport-returns-to-peak-capacity-after-void-created-by-jet-airways-demise-3726041.htm,1,0.32
Indian Express, NCLT defers hearing on Jet Airways to Ju,aviation,2019-06-14,04:01:37:00,https://indianexpress.com/article/business/aviation/nclt-defers-hearing-on-jet-airways-to-june-20-5779790/,2,0.58
Indian Express, NCLT set to hear insolvency petitions against Jet on Ju,aviation,2019-06-11,01:03:38:00,https://indianexpress.com/article/business/aviation/nclt-set-to-hear-insolvency-petitions-against-jet-on-june-13-5774192/,2,0.45
Times of India, Banks give up on Jet Airways revival choose to send it to NCLT,aviation,2019-06-19,01:05,https://timesofindia.indiatimes.com/business/india-business/jet-airways-lenders-to-take-airline-to-bankruptcy-court/articleshow/69827288.cms,2,0.45
cnbc, Boeing lifts 20 year industry demand forecast to 6 8 trillion Boeing Co raised its rolling 20 year industry forecast for passenger aircraft by 3 on Monday fuelled by strong air traffic predictions though global geopolitical and economic risks could upset the rosy outlook,aviation,2019-06-19,01:04,https://www.cnbctv18.com/aviation/boeing-lifts-20-year-industry-demand-forecast-to-6-8-trillion-3718091.htm,3,0.22
Times of India, Jet Airways stock tanks 23 as bourses put trading curbs,aviation,2019-06-19,01:05,https://timesofindia.indiatimes.com/business/india-business/jet-stock-tanks-23-as-bourses-put-trading-curbs/articleshow/69779836.cms,3,0.23
cnbc, Jet Airways shares continue downward trend tank 15 On NSE the shares tanked 14 96 per cent to a multi year low of Rs 78 15,aviation,2019-06-19,01:04,https://www.cnbctv18.com/aviation/jet-airways-shares-continue-downward-trend-tank-15-3690881.htm,3,0.18
cnbc, What to expect at the Paris Air Show 2019 As the oldest running airshow in the world Paris is always an interesting trade show to watch but this year is especially interesting given the aviation business has moved from being the stable environment it was for the past many years to a new paradigm over the past few months writes Ajay Awtaney,aviation,2019-06-19,01:04,https://www.cnbctv18.com/aviation/what-to-expect-at-the-paris-air-show-2019-3709021.htm,3,0.27
Indian Express, Investors continue to dump Jet Airways shares further tan,aviation,2019-06-18,14:21:51:00,https://indianexpress.com/article/business/aviation/investors-continue-to-dump-jet-airways-shares-further-tank-15-5786439/,3,0.19
cnbc, Agartala airport to be third international airport in northeast The AAI had undertaken a Rs 438 crore project to upgrade the Agartala airport to international standards by providing world class facilities,aviation,2019-06-19,01:04,https://www.cnbctv18.com/aviation/agartala-airport-to-be-third-international-airport-in-northeast-3723461.htm,4,0.21
Times of India, AAI ties up with Boeing for modernising air traffic management with grant from USTDA,aviation,2019-06-19,01:05,https://timesofindia.indiatimes.com/business/india-business/aai-ties-up-with-boeing-for-modernising-air-traffic-management-with-grant-from-ustda/articleshow/69648951.cms,4,0.2
Times of India, Got free time Deliver for Amazon,aviation,2019-06-19,01:05,https://timesofindia.indiatimes.com/videos/business/got-free-time-deliver-for-amazon/videoshow/69799339.cms,4,0.21
cnbc, Jet Airways revival efforts War room activated details on critical staff vendors sought While the matter has picked up pace especially after political stability at the centre the interested parties are still worried about the ongoing investigation into alleged irregularities at the airline and are still seeking assurance from the government so that any investments that they make into the airline do not get affected,aviation,2019-06-19,01:04,https://www.cnbctv18.com/aviation/jet-airways-sets-up-war-room-to-resume-operations-nclt-adjourns-insolvency-plea-to-june-20-3679031.htm,4,0.2
cnbc, AAI makes 35 airports plastic free 20 more in line,aviation,2019-06-19,01:04,https://www.cnbctv18.com/aviation/aai-makes-35-airports-plastic-free-20-more-in-line-3687441.htm,4,0.31
cnbc, Jet Airways required fast tracking back channel talks out of the box thinking says Jitendra Bhargava To understand the road ahead for Jet Airways CNBC TV18 spoke to Jitendra Bhargava former executive director of Air India and VG Kannan chief executive at Indian Banks Association,aviation,2019-06-19,01:04,https://www.cnbctv18.com/aviation/jet-airways-required-fast-tracking-back-channel-talks-out-of-the-box-thinking-says-jitendra-bhargava-3728731.htm,5,0.1
cnbc, Exclusive Jet Airways lenders to initiate bankruptcy proceedings Jet Airways ’ lenders led by the State Bank of India SBI have decided to initiate bankruptcy proceedings against the cash strapped airline sources told CNBC TV18,aviation,2019-06-19,01:04,https://www.cnbctv18.com/aviation/exclusive-jet-airways-lenders-to-initiate-bankruptcy-proceedings-3715491.htm,5,0.13
Times of India, Tax defaulters cant escape prosecution by just paying a stiff fine,aviation,2019-06-19,01:05,https://timesofindia.indiatimes.com/videos/business/tax-defaulters-cant-escape-prosecution-by-just-paying-a-stiff-fine/videoshow/69841788.cms,5,0.1
Indian Express, Jet Airways lenders decide to refer airline to bankruptcy,aviation,2019-06-18,00:08:52:00,https://indianexpress.com/article/business/aviation/jet-airways-lenders-decide-to-refer-airline-to-bankruptcy-court-5785415/,5,0.09
cnbc, SBI files insolvency petition against Jet Airways as revival talks fail The consortium of lenders led by the State Bank of India SBI have filed an insolvency petition against Jet Airways at the National Company Law Tribunals NCLT in Mumbai bench multiple sources told CNBC TV18,aviation,2019-06-19,01:04,https://www.cnbctv18.com/aviation/sbi-files-insolvency-petition-against-jet-airways-as-revival-talks-fail-3722651.htm,5,0.13
cnbc, Jet Airways shares fall more than 50 after lenders move NCLT Shares of cash strapped Jet Airways slumped over 54 percent intra day after sources told CNBC TV18 that State Bank of India filed insolvency petition against the airline and proposed Ashish Chhawchharia of advisory firm Grant Thornton as Resolution Professional,aviation,2019-06-19,01:04,https://www.cnbctv18.com/market/stocks/jet-airways-shares-fall-10-after-lenders-move-nclt-3722401.htm,5,0.09
Times of India, Bankruptcy court bound Jet Airways loses last 2 directors share price crashes 43,aviation,2019-06-19,01:05,https://timesofindia.indiatimes.com/business/india-business/bankruptcy-court-bound-jet-airways-loses-last-2-directors-share-price-crashes-43/articleshow/69840101.cms,5,0.21
Times of India, IndiGo to launch flights on Buddhist circuit from August,aviation,2019-06-19,01:05,https://timesofindia.indiatimes.com/business/india-business/indigo-to-launch-flights-on-buddhist-circuit-from-august/articleshow/69776247.cms,6,0.59
Indian Express, IndiGo announces special summer sale domestic flights at R,aviation,2019-06-12,16:18:07:00,https://indianexpress.com/article/business/aviation/indigo-announces-special-summer-sale-domestic-flights-at-rs-999-5776983/,7,0.27
Indian Express, PM Modi ’ s flight avoids Pakistan airspace Here ’ s what overflying curbs mean for the ind,aviation,2019-06-14,03:44:11:00,https://indianexpress.com/article/business/aviation/pm-modis-flight-avoids-pakistan-airspace-heres-what-overflying-curbs-mean-for-the-industry-5779779/,7,0.29
cnbc, Kochi airport to be shut for daytime flights for four months from November 19 Cochin International Airport in Kerala will be shut for daytime flights for almost four months starting November owing to runway carpeting an airport official said,aviation,2019-06-19,01:04,https://www.cnbctv18.com/aviation/kochi-airport-to-be-shut-for-daytime-flights-for-four-months-from-november-19-3692371.htm,7,0.33
Times of India, India seeks info after US issues Boeing warning,aviation,2019-06-19,01:05,https://timesofindia.indiatimes.com/business/india-business/us-issues-warning-about-boeing-787-dreamliners-brakes-steering-india-seeks-info/articleshow/69666480.cms,8,0.37
cnbc, Boeing seeking to reduce scope duration of some physical tests for new 777X aircraft Boeing Co engineers are reducing the scope and duration of certain costly physical tests used to certify the planemakers new aircraft according to industry sources and regulatory officials,aviation,2019-06-19,01:04,https://www.cnbctv18.com/aviation/boeing-seeking-to-reduce-scope-duration-of-some-physical-tests-for-new-777x-aircraft-3706221.htm,8,0.39
Times of India, Vistara signs codeshare agreement with US based United Airlines,aviation,2019-06-19,01:05,https://timesofindia.indiatimes.com/business/india-business/vistara-signs-codeshare-agreement-us-based-united-airlines/articleshow/69845209.cms,9,0.76
Times of India, United Airlines Vistara enter into codeshare agreement,aviation,2019-06-19,01:05,https://timesofindia.indiatimes.com/business/india-business/united-airlines-vistara-enter-into-codeshare-agreement/articleshow/69846235.cms,9,0.65
cnbc, IndiGo drops Pratt Whitney for CFMs jet engines in 20 billion order for 280 planes IndiGo has ordered CFM International LEAP 1A engines to power 280 Airbus A320neo and A321neo aircraft a move that marks a shift away from Pratt Whitney toward its French American rival,aviation,2019-06-19,01:04,https://www.cnbctv18.com/aviation/indigo-places-20b-leap-1a-engine-order-with-cfm-3716251.htm,10,0.38
Times of India, IndiGo drops Pratt for CFMs jet engines in 20 billion order,aviation,2019-06-19,01:05,https://timesofindia.indiatimes.com/business/india-business/indigo-drops-pratt-for-cfms-jet-engines-in-20-billion-order/articleshow/69832345.cms,10,0.31
Times of India, IndiGo chooses CFM over snag prone Pratt engines places largest order ever,aviation,2019-06-19,01:05,https://timesofindia.indiatimes.com/business/india-business/indigo-chooses-cfm-over-snag-prone-pratt-engines-for-280-of-its-a320-neos-places-largest-engine-order-ever/articleshow/69827661.cms,10,0.33
Indian Express, IndiGo picks CFM engines over P W for next batch of 280 Airbus air,aviation,2019-06-18,00:40:28:00,https://indianexpress.com/article/business/aviation/indigo-picks-cfm-engines-over-pw-for-next-batch-of-280-airbus-aircraft-5785384/,10,0.3
Times of India, Air India to fly Amritsar Delhi Toronto thrice a week from September 27 Hardeep Singh Puri,aviation,2019-06-19,01:05,https://timesofindia.indiatimes.com/business/india-business/air-india-to-fly-amritsar-delhi-toronto-thrice-a-week-from-september-27-hardeep-singh-puri/articleshow/69789373.cms,11,0.43
Times of India, Singapore Airlines to fly its new A380 cabin on Mumbai route from September,aviation,2019-06-19,01:05,https://timesofindia.indiatimes.com/business/india-business/singapore-airlines-to-fly-its-new-a380-cabin-on-mumbai-route-from-september/articleshow/69751813.cms,11,0.34
cnbc, Turbulence in skies but confident to turn it around says aviation minister Hardeep Singh Puri Union aviation minister Hardeep Singh Puri on Friday said that while there is turbulence in the skies the government is confident that they can turn around the situation,aviation,2019-06-19,01:04,https://www.cnbctv18.com/aviation/turbulence-in-skies-but-confident-to-turn-it-around-says-aviation-minister-hardeep-singh-puri-3692651.htm,11,0.31
Indian Express, Costlier air travel Hike in aviation security fee from J,aviation,2019-06-09,04:07:01:00,https://indianexpress.com/article/business/aviation/costlier-air-travel-hike-in-aviation-security-fee-from-july-1-5771601/,12,0.3
Times of India, Flyers to shell out Rs 20 115 more for security fee from July 1,aviation,2019-06-19,01:05,https://timesofindia.indiatimes.com/business/india-business/flyers-to-shell-out-rs-20-115-more-for-security-fee-from-july-1/articleshow/69702629.cms,12,0.34
