Source,Heading,Category,Date,Time,URL,Cluster,cluster_similarity_value
cnbc, Hexaware shares rise over 3 on Mobiquity acquisition Mobiquity creates digital products for brands like Amazon Web Services Rabobank Philips Wawa Backbase and Otsuka,it,2019-06-19,01:04,https://www.cnbctv18.com/information-technology/hexaware-shares-rise-more-than-2-on-acquiring-us-based-mobiquity-for-182-million-3687871.htm,0,0.6
cnbc, Twitter apologises for blocked China accounts ahead of Tiananmen Square anniversary In a statement posted to the companys Public Policy Twitter feed on Saturday Twitter said a number of accounts had been suspended as part of efforts to target accounts engaging in platform manipulation,it,2019-06-19,01:04,https://www.cnbctv18.com/technology/twitter-apologises-for-blocked-china-accounts-ahead-of-tiananmen-square-anniversary-3554161.htm,1,0.54
cnbc, Twitter suspends accounts of many China activists Twitter suspended a large number of accounts including those belonging to Chinese political commentators,it,2019-06-19,01:04,https://www.cnbctv18.com/technology/twitter-suspends-accounts-of-many-china-activists-3554441.htm,1,0.51
cnbc, Twitter asked 19 core users to verify accounts in during second half of 2018 Twitter uses the anti spam challenge for confirming whether a human is in control of an account,it,2019-06-19,01:04,https://www.cnbctv18.com/technology/twitter-asked-19-core-users-to-verify-accounts-in-during-second-half-of-2018-3554431.htm,1,0.49
cnbc, Heres how much Wipros executive chairman Azim Premji pocketed in FY19 Wipros outgoing executive chairman Azim Premji saw his pay package rise almost 95 percent to 262054 about Rs 1 81 crore during fiscal 2019,it,2019-06-19,01:04,https://www.cnbctv18.com/information-technology/heres-how-much-wipros-executive-chairman-azim-premji-pocketed-in-fy19-3655401.htm,2,0.39
cnbc, Azim Premji A look at Indias most generous billionaires inspiring journey IT czar Azim Premji would retire as executive chairman and managing director by the end of July Wipro Ltd said in a statement,it,2019-06-19,01:04,https://www.cnbctv18.com/information-technology/azim-premji-a-look-at-indias-most-generous-billionaires-inspiring-journey-3601861.htm,2,0.45
cnbc, Azim Premji to retire as executive chairman of Wipro son Rishad to take over reins IT major Wipro founder Azim H Premji who turned a small maker of vegetable oil into a 8 5 billion software behemoth will retire as the company head by July end and handover reins of the firm to his son Rishad,it,2019-06-19,01:04,https://www.cnbctv18.com/information-technology/wipro-founder-azim-premji-to-retire-by-end-july-3601791.htm,2,0.45
cnbc, Wipros Azim Premji to retire by July end,it,2019-06-19,01:04,https://www.cnbctv18.com/information-technology/wipros-azim-premji-to-retire-by-july-end-3604711.htm,2,0.48
cnbc, L Ts open offer for Mindtree to begin from June 17 Infrastructure major Larsen and Toubros L T open offer to purchase shares from the minority shareholders of IT firm Mindtree will kick start from June 17 2019,it,2019-06-19,01:04,https://www.cnbctv18.com/information-technology/lts-open-offer-for-mindtree-to-begin-from-june-17-3614741.htm,3,0.4
cnbc, L T buys 25000 shares of Mindtree worth Rs 2 43 crore via open market Larsen and Toubro on Thursday acquired 25000 equity shares of Mindtree Ltd taking its total holding in the mid tier IT firm to 28 90 percent as per a regulatory filing,it,2019-06-19,01:04,https://www.cnbctv18.com/information-technology/lt-buys-25000-shares-of-mindtree-worth-rs-2-43-crore-via-open-market-3601421.htm,3,0.37
