Source,Heading,Category,Date,Time,URL,Cluster,cluster_similarity_value
Business Today, PNB reports huge losses in Q4FY19 challenges only to compound,opinion,2019-06-19,01:04,https://www.businesstoday.in/opinion/perspective/pnb-reports-huge-losses-in-q4fy19-challenges-only-to-compound/story/353428.html,0,0.55
Business Today, What makes debt market more dangerous in India than in the US,opinion,2019-06-19,01:04,https://www.businesstoday.in/opinion/prosaic-view/what-makes-indian-debt-market-more-dangerous-than-in-the-us/story/354281.html,1,0.2
Business Today, Sensex hovering around 40000 mark is danger zone for investors,opinion,2019-06-19,01:04,https://www.businesstoday.in/opinion/perspective/sensex-hovering-around-40000-mark-is-danger-zone-for-investors/story/349596.html,1,0.13
Business Today, Corporate literacy test A board exam of a different kind,opinion,2019-06-19,01:04,https://www.businesstoday.in/opinion/columns/corporate-literacy-test-independent-directors-modi-government-20-company-boards/story/356733.html,1,0.13
Business Today, Fathers Day 3 important tips to make your children financially independent,opinion,2019-06-19,01:04,https://www.businesstoday.in/union-budget-2019/columns/father-day-3-important-rules-to-make-your-children-financially-independent/story/356549.html,1,0.13
Business Today, Turning portfolio diversification theory upside down,opinion,2019-06-19,01:04,https://www.businesstoday.in/opinion/prosaic-view/turning-portfolio-diversification-theory-upside-down/story/354235.html,1,0.13
Business Today, Election Result 2019 Why Modi 2 0 will make India a stronger military power,opinion,2019-06-19,01:04,https://www.businesstoday.in/opinion/columns/pm-modi-re-election-india-military-power-russia-china-pakistan-lok-sabha-election-2019/story/349442.html,2,0.32
Business Today, Election Result 2019 No matter who wins its time middle class gets these tax reliefs,opinion,2019-06-19,01:04,https://www.businesstoday.in/opinion/columns/election-result-2019-no-matter-who-wins-it-is-time-middle-class-gets-these-tax-reliefs/story/349195.html,2,0.32
Business Today, Lok Sabha election result Now that they have got the votes they should give these tax benefits,opinion,2019-06-19,01:04,https://www.businesstoday.in/opinion/columns/income-tax-individual-taxpayers-modi-government-union-budget/story/349264.html,2,0.33
Business Today, Consumers movie habits havent changed at all PVR Chairman Ajay Bijli,opinion,2019-06-19,01:04,https://www.businesstoday.in/opinion/interviews/movie-consumption-habits-of-consumers-have-not-changed-at-all-ajay-bijli-chairman-pvr/story/355909.html,3,0.25
Business Today, Extinction Rebellion Its not climate change its climate emergency,opinion,2019-06-19,01:04,https://www.businesstoday.in/opinion/columns/climate-change-extinction-rebellion-environment-emergency-advocacy-group-global-warming/story/356171.html,3,0.25
Business Today, Restaurant industry suffers due to policy changes no input tax credit First Fiddle CEO,opinion,2019-06-19,01:04,https://www.businesstoday.in/opinion/interviews/looking-to-get-into-more-serious-dining-brands-says-priyank-sukhija-of-first-fiddle/story/350931.html,3,0.28
Business Today, The scope of alternative investment in India as more Indians turn risk seekers,opinion,2019-06-19,01:04,https://www.businesstoday.in/opinion/columns/the-scope-of-alternative-investment-in-india-as-more-indians-turn-risk-seekers/story/356054.html,4,0.54
Business Today, From Warren Buffetts signature wit to Charlie Mungers blunt self Insights from the 2019 Berkshire Hathaway AGM,opinion,2019-06-19,01:04,https://www.businesstoday.in/opinion/columns/warren-buffett-berkshire-hathaway-2019-annual-meeting-charlie-munger-investments-shares/story/351602.html,5,1.0
Business Today, How APIs are transforming businesses in India to get future smart,opinion,2019-06-19,01:04,https://www.businesstoday.in/opinion/columns/api-application-programming-interfaces-indian-businesses-get-future-smart-software-technology-cloud/story/355787.html,6,0.55
Business Today, Naresh Goyal deplaning From Nirav to Mallya why Indian businessmen flee to London,opinion,2019-06-19,01:04,https://www.businesstoday.in/opinion/columns/naresh-goyal-nirav-modi-vijay-mallya-london-britain-indian-fugitive/story/351019.html,7,1.0
Business Today, NDA government focussed on asset creation not doles says Gopal Krishna Agarwal,opinion,2019-06-19,01:04,https://www.businesstoday.in/opinion/interviews/nda-government-focussed-on-asset-creation-not-doles-says-gopal-krishna-agarwal/story/348428.html,8,0.52
Business Today, Economic growth by itself not enough need to focus on jobs too CEA Subramanian,opinion,2019-06-19,01:04,https://www.businesstoday.in/opinion/interviews/economic-growth-by-itself-not-enough-need-to-focus-on-jobs-too/story/354206.html,9,1.0
Business Today, Disability is a strength for any organisation Jenny Lay Flurrie of Microsoft,opinion,2019-06-19,01:04,https://www.businesstoday.in/opinion/interviews/manage-accessibility-as-a-business--jenny-lay-flurrie-of-microsoft/story/350930.html,10,1.0
