Source,Heading,Category,Date,Time,URL,Cluster,cluster_similarity_value
Times of India, Money mysteries The cons of overinvesting,personal finance,2019-06-19,01:05,https://timesofindia.indiatimes.com/business/india-business/money-mysteries-the-cons-of-overinvesting/articleshow/69634563.cms,0,0.31
Times of India, Money Mysteries Mental discipline is key,personal finance,2019-06-19,01:05,https://timesofindia.indiatimes.com/business/india-business/money-mysteries-mental-discipline-is-key/articleshow/69723547.cms,0,0.28
Times of India, Money mysteries More than just technique,personal finance,2019-06-19,01:05,https://timesofindia.indiatimes.com/business/india-business/money-mysteries-more-than-just-technique/articleshow/69516001.cms,0,0.28
Times of India, Money Mysteries Payoffs vs probabilities,personal finance,2019-06-19,01:05,https://timesofindia.indiatimes.com/business/india-business/money-mysteries-payoffs-vs-probabilities/articleshow/69306463.cms,0,0.29
Times of India, Money mysteries Size of a mutual fund should not matter,personal finance,2019-06-19,01:05,https://timesofindia.indiatimes.com/business/india-business/money-mysteries-size-of-a-mutual-fund-should-not-matter/articleshow/69198098.cms,0,0.29
Times of India, Investors lose over Rs 2 lakh as Sensex plunged 491 points,personal finance,2019-06-19,01:05,https://timesofindia.indiatimes.com/videos/business/investors-lose-over-rs-2-lakh-as-sensex-plunged-491-points/videoshow/69830675.cms,1,0.41
Times of India, Government mulling tax on cash withdrawal of Rs 10 lakh a year,personal finance,2019-06-19,01:05,https://timesofindia.indiatimes.com/business/india-business/govt-mulling-tax-on-cash-withdrawal-of-rs-10-lakh-a-year/articleshow/69718027.cms,1,0.39
Times of India, Make debt funds safer,personal finance,2019-06-19,01:05,https://timesofindia.indiatimes.com/business/india-business/make-debt-funds-safer/articleshow/69822052.cms,2,0.63
Times of India, What if recruiters don ’ t call back,personal finance,2019-06-19,01:05,https://timesofindia.indiatimes.com/business/india-business/if-recruiters-dont-call-back/articleshow/69822535.cms,3,0.35
Times of India, Help elderly investors decide better,personal finance,2019-06-19,01:05,https://timesofindia.indiatimes.com/business/india-business/help-elderly-investors-decide-better/articleshow/69515910.cms,3,0.36
Times of India, Help your helpers Do what you can for those who can ’ t save or invest,personal finance,2019-06-19,01:05,https://timesofindia.indiatimes.com/business/india-business/help-your-helpers-do-what-you-can-for-those-who-cant-save-or-invest/articleshow/69414574.cms,3,0.38
Times of India, Got free time Deliver for Amazon,personal finance,2019-06-19,01:05,https://timesofindia.indiatimes.com/videos/business/got-free-time-deliver-for-amazon/videoshow/69799339.cms,4,0.54
Times of India, Fake job offers How to avoid getting duped by scamsters,personal finance,2019-06-19,01:05,https://timesofindia.indiatimes.com/business/india-business/fake-job-offers-how-to-avoid-getting-duped-by-scamsters/articleshow/69414241.cms,5,1.0
Times of India, Strike on corruption Exams planned for directors,personal finance,2019-06-19,01:05,https://timesofindia.indiatimes.com/videos/business/strike-on-corruption-exams-planned-for-directors/videoshow/69777110.cms,6,0.5
Times of India, India likely to get information on 50 Swiss bank account holders,personal finance,2019-06-19,01:05,https://timesofindia.indiatimes.com/videos/business/india-likely-to-get-information-on-50-swiss-bank-account-holders/videoshow/69841809.cms,7,1.0
Times of India, How to fix broken credit market,personal finance,2019-06-19,01:05,https://timesofindia.indiatimes.com/business/india-business/fix-broken-credit-market/articleshow/69723424.cms,8,1.0
Times of India, Money lessons from Warren Buffett Charlie Munger,personal finance,2019-06-19,01:05,https://timesofindia.indiatimes.com/business/india-business/money-lessons-from-warren-buffett-charlie-munger/articleshow/69414680.cms,9,0.54
Times of India, Learn from money mistakes to improve your finances,personal finance,2019-06-19,01:05,https://timesofindia.indiatimes.com/business/india-business/learn-from-money-mistakes-to-improve-your-finances/articleshow/69306246.cms,10,1.0
Times of India, Yash Birla named wilful defaulter by UCO Bank,personal finance,2019-06-19,01:05,https://timesofindia.indiatimes.com/videos/business/yash-birla-named-wilful-defaulter-by-uco-bank/videoshow/69841769.cms,11,1.0
Times of India, Did your fund earn more Things to know,personal finance,2019-06-19,01:05,https://timesofindia.indiatimes.com/business/india-business/did-your-fund-earn-more-things-to-know/articleshow/69516363.cms,12,1.0
Times of India, CAPITAL QUOTIENT – YOUR PARTNER IN WEALTH MANAGEMENT,personal finance,2019-06-19,01:05,https://timesofindia.indiatimes.com/business/india-business/capital-quotient-your-partner-in-wealth-management/articleshow/69837166.cms,13,1.0
Times of India, Cognizant applies for 80 less H 1B visas,personal finance,2019-06-19,01:05,https://timesofindia.indiatimes.com/videos/business/cognizant-applies-for-80-less-h-1b-visas/videoshow/69799362.cms,14,1.0
Times of India, L Ts open offer for Mindtree commences today,personal finance,2019-06-19,01:05,https://timesofindia.indiatimes.com/videos/business/lts-open-offer-for-mindtree-commences-today/videoshow/69814577.cms,15,1.0
Times of India, Tax defaulters cant escape prosecution by just paying a stiff fine,personal finance,2019-06-19,01:05,https://timesofindia.indiatimes.com/videos/business/tax-defaulters-cant-escape-prosecution-by-just-paying-a-stiff-fine/videoshow/69841788.cms,16,1.0
Times of India, Money relationships What to do if your spouse spends impulsively,personal finance,2019-06-19,01:05,https://timesofindia.indiatimes.com/business/india-business/money-relationships-if-your-spouse-spends-impulsively-/articleshow/69723799.cms,17,1.0
