Source,Heading,Category,Date,Time,URL,Cluster,cluster_similarity_value
cnbc, TikTok launches Device Management for users safety in India The short video making platform TikTok on Monday launched a Device Management feature that would enable users in India to have complete control of their account,technology,2019-06-19,01:04,https://www.cnbctv18.com/technology/tiktok-launches-device-management-for-users-safety-in-india-3716091.htm,0,0.35
cnbc, Truecaller unveils new feature Truecaller Voice to make free Internet voice call To facilitate high quality Internet calls communication app Truecaller on Tuesday launched a new feature called Truecaller Voice for its 140 million daily active users globally the company said in a statement,technology,2019-06-19,01:04,https://www.cnbctv18.com/technology/truecaller-unveils-new-feature-truecaller-voice-to-make-free-internet-voice-call-3727401.htm,0,0.32
cnbc, Storyboard TikToks Sachin Sharma on what changes the app is making after ban Storyboard caught up with Sachin Sharma director of sales and partnerships at TikTok India to find out what changes the company plans to make in its app after TikTok was banned by the Madras High Court,technology,2019-06-19,01:04,https://www.cnbctv18.com/storyboard/storyboard-tiktoks-sachin-sharma-on-what-changes-the-app-is-making-after-ban-3700231.htm,0,0.33
cnbc, Windows 10 gets smart keyboards for 10 Indian languages In a bid to further allow users personalise their Windows 10 experience software giant Microsoft on Monday launched smart phonetic keyboards for 10 Indian languages as part of its May 2019 update,technology,2019-06-19,01:04,https://www.cnbctv18.com/technology/windows-10-gets-smart-keyboards-for-10-indian-languages-3716811.htm,0,0.3
cnbc, Storyboard Behind Twitters first ever consumer marketing campaign WeTweet Twitter has launched its first ever consumer marketing campaign in India titled WeTweet and in the campaign Twitter is acknowledging the power of the collective to create conversations and spark movements by saying No Tweet is too small when WeTweet together,technology,2019-06-19,01:04,https://www.cnbctv18.com/storyboard/storyboard-behind-twitters-first-ever-consumer-marketing-campaign-wetweet-3700421.htm,1,0.39
cnbc, Huawei laptops re appear on Microsoft Store Huawei laptops including the MateBook 13 MateBook and MateBook X Pro are made available again,technology,2019-06-19,01:04,https://www.cnbctv18.com/technology/huawei-laptops-re-appear-on-microsoft-store-3725311.htm,1,0.36
cnbc, After failed launch of Samsung Galaxy Fold Huawei postpones foldable Mate X shipments to September Chinese smartphone manufacturer Huawei has delayed the market delivery of its foldable smartphone Mate X from June to September,technology,2019-06-19,01:04,https://www.cnbctv18.com/technology/after-failed-launch-of-samsung-galaxy-fold-huawei-postpones-foldable-mate-x-shipments-to-september-3700121.htm,2,0.63
cnbc, Stablecoins in the spotlight as Facebook unveils Libra cryptocurrency Like a variety of altcoins known as stablecoins Libra will be backed by a reserve of real world assets including bank deposits and short term government securities This should make it more stable than other cryptocurrencies,technology,2019-06-19,01:04,https://www.cnbctv18.com/technology/stablecoins-in-the-spotlight-as-facebook-unveils-libra-cryptocurrency-3730711.htm,3,0.57
cnbc, NASA funds to produce videos to teach Hindi,technology,2019-06-19,01:04,https://www.cnbctv18.com/technology/nasa-funds-to-produce-videos-to-teach-hindi-3730731.htm,4,0.58
cnbc, Huawei founder says revenue will be billions below forecast This is the first time that Huawei has quantified the impact of the US action against the company and Rens downbeat assessment comes after weeks of defiant comments from company executives who maintained Huawei was technologically self sufficient,technology,2019-06-19,01:04,https://www.cnbctv18.com/technology/huawei-founder-says-revenue-will-be-billions-below-forecast-3713651.htm,5,0.45
cnbc, Huawei says US ban hurting more than expected to wipe 30 billion off revenue Chinas Huawei Technologies Co Ltd has taken a harder than expected hit from a US ban the companys founder and CEO Ren Zhengfei said and slashed revenue expectations for the year,technology,2019-06-19,01:04,https://www.cnbctv18.com/technology/huawei-says-us-ban-hurting-more-than-expected-to-wipe-30-billion-off-revenue-3718411.htm,5,0.42
cnbc, Apple will release two iPhones with 5G Report One of the most truted source of Apple rumors analyst Ming Chi Kuo said the company would unveil 5G iPhones in 2020 while Qualcomm is still expected to be its primary supplier of 5G modems,technology,2019-06-19,01:04,https://www.cnbctv18.com/technology/apple-will-release-two-iphones-with-5g-report-3726831.htm,5,0.48
cnbc, Is Elon Musk closing troublesome Twitter account or teasing The mixed messaging began to unfold Sunday when Musk changed his Twitter handle to DaddyDotCom in apparent homage to Fathers Day Then he signalled in a tweet that he was scrapping the account But 17 hours later the account remained open under its old elonmusk handle with 2 7 crore followers,technology,2019-06-19,01:04,https://www.cnbctv18.com/technology/is-elon-musk-closing-troublesome-twitter-account-or-teasing-3724031.htm,6,0.59
cnbc, Catch all the action from Day 1 of Paris Air Show Safety concerns trade wars and growing security tensions in the Gulf are dampening spirits at the worlds largest plane makers as they arrive at this weeks Paris Air Show with little to celebrate despite bulging order books,technology,2019-06-19,01:04,https://www.cnbctv18.com/technology/boeing-crisis-trade-tensions-cast-pall-over-paris-air-show-3713841.htm,7,1.0
cnbc, Google announces 1 billion additional investment in housing across Bay Area Alphabet Incs Google on Tuesday announced an additional 1 billion investment in housing across the San Francisco Bay Area,technology,2019-06-19,01:04,https://www.cnbctv18.com/technology/google-announces-1-billion-additional-investment-in-housing-across-bay-area-3731441.htm,8,0.54
cnbc, Amazon sued again for Alexa recording kids voices In yet another lawsuit Amazon has been sued by a Massachusetts woman who on behalf of her 10 year old daughter and children from eight other states is seeking class action status to sue the e commerce giant,technology,2019-06-19,01:04,https://www.cnbctv18.com/technology/amazon-sued-again-for-alexa-recording-kids-voices-3700561.htm,9,0.56
cnbc, Govt asks WhatsApp to fingerprint texts to ensure traceability says report The Indian government has asked WhatsApp to digitally fingerprint each text sent on the app without breaking its encryption as the government seeks to track the shared content The Economic Times reported,technology,2019-06-19,01:04,https://www.cnbctv18.com/technology/govt-asks-whatsapp-to-fingerprint-texts-to-ensure-traceability-says-report-3721161.htm,10,1.0
cnbc, Tech firms cant dodge responsibility for chaos they create says Apple CEO Tim Cook During a speech at the Stanford University on Sunday Cook said that whether you like it or not what you build and what you create defines who you are,technology,2019-06-19,01:04,https://www.cnbctv18.com/technology/tech-firms-cant-dodge-responsibility-for-chaos-they-create-says-apple-ceo-tim-cook-3711971.htm,11,1.0
cnbc, OPPO becomes third most trusted smartphone brand in India According to TRAs Brand Trust Report 2019 OPPO climbed up seven ranks to secure this years third spot in the top 10 smartphone brands in India,technology,2019-06-19,01:04,https://www.cnbctv18.com/technology/oppo-becomes-third-most-trusted-smartphone-brand-in-india-3727881.htm,12,0.53
cnbc, Amazons competitor to Instagram shuts down Amazon Spark essentially a competitor to Instagram has shut down less than two years since after its launch in July 2017,technology,2019-06-19,01:04,https://www.cnbctv18.com/technology/amazons-competitor-to-instagram-shuts-down-3700141.htm,13,0.59
cnbc, A week in review Here are the top stories from this week A look back at some of our biggest and best stories from this week From Jet Airways revival efforts to the governments potential EV policy to Priyanka Chopras investment plans we bring you our top ten stories from this week Heres a quick recap in case you missed them,technology,2019-06-19,01:04,https://www.cnbctv18.com/economy/a-week-in-review-here-are-the-top-stories-from-this-week-10-3698861.htm,14,1.0
cnbc, Russian scientists taunt Elon Musks Tesla Roadster sends toy car into space Mocking SpaceX chief executive officer Elon Musk launched a Tesla car into space in 2018 Russian scientists sent their own red car outside the Earth but the car was actually just a toy,technology,2019-06-19,01:04,https://www.cnbctv18.com/technology/russian-scientists-taunt-elon-musks-tesla-roadster-sends-toy-car-into-space-3700241.htm,15,1.0
cnbc, Facebook to rank comments to make conversations meaningful In a move to make conversations on public posts more meaningful Facebook has rolled out an update where it will rank comments to promote those that are most relevant to users,technology,2019-06-19,01:04,https://www.cnbctv18.com/technology/facebook-to-rank-comments-to-make-conversations-meaningful-3699641.htm,16,1.0
cnbc, Indians wont mind ads during Netflix if given good deal 80 percent of Indian respondents are open to a hybrid model of reduced price subscription video on demand SVOD services with some ad funding,technology,2019-06-19,01:04,https://www.cnbctv18.com/technology/indians-wont-mind-ads-during-netflix-if-given-good-deal-3713421.htm,17,1.0
cnbc, Truckmaker Volvo to partner with Nvidia to develop AI for driverless vehicles The agreement between Volvo and Nvidia is a long term partnership spanning several years and work will begin immediately with personnel from the two companies being co located in Gothenburg Sweden and Santa Clara California,technology,2019-06-19,01:04,https://www.cnbctv18.com/auto/truckmaker-volvo-to-partner-with-nvidia-to-develop-ai-for-driverless-vehicles-3726171.htm,18,1.0
