Source,Heading,Category,Date,Time,URL,Cluster,cluster_similarity_value
cnbc, Airtel Voda Idea may turn fibre JV into infra investment trust says report Telecom giants Vodafone Idea and Bharti Airtel are in talks to turn their proposed optic fibre network joint entity into an infrastructure investment trust InvIT reported The Economic Times,telecom,2019-06-19,01:04,https://www.cnbctv18.com/telecom/airtel-voda-idea-may-turn-fibre-jv-into-infra-investment-trust-says-report-3659091.htm,0,0.24
Times of India, Consolidation wave reduces telecom operators to five from 15 in 2012 Report,telecom,2019-06-19,01:05,https://timesofindia.indiatimes.com/business/india-business/consolidation-wave-reduces-telecom-operators-to-five-from-15-in-2012-report/articleshow/69652233.cms,0,0.19
cnbc, Bharti Airtel to pay Tanzania 26 million cancel debt at unit to settle dispute Bharti Airtel also cancelled 407 million of debt owed to it by Airtel Tanzania as part of the settlement Kabudi said,telecom,2019-06-19,01:04,https://www.cnbctv18.com/telecom/bharti-airtel-to-pay-tanzania-26-million-cancel-debt-at-unit-to-settle-dispute-3645261.htm,0,0.2
Times of India, Got free time Deliver for Amazon,telecom,2019-06-19,01:05,https://timesofindia.indiatimes.com/videos/business/got-free-time-deliver-for-amazon/videoshow/69799339.cms,0,0.16
cnbc, Reliance Industries in talks with several investors for tower fibre InvIT,telecom,2019-06-19,01:04,https://www.cnbctv18.com/telecom/reliance-industries-in-talks-with-several-investors-for-tower-fibre-invit-3661371.htm,0,0.19
Times of India, BSNL MTNL plan VRS to turn ailing business around,telecom,2019-06-19,01:05,https://timesofindia.indiatimes.com/business/india-business/bsnl-mtnl-plan-vrs-to-turn-ailing-business-around/articleshow/68731619.cms,0,0.17
cnbc, Airtel submits Rs 644 crore bank guarantee in TDSAT for Tata Tele merger The TDSAT on May 2 granted a partial stay on a Rs 8300 crore demand raised by the telecom department from Bharti Airtel for approving its merger with the consumer business of Tata Teleservices Ltd TTSL,telecom,2019-06-19,01:04,https://www.cnbctv18.com/telecom/airtel-submits-rs-644-crore-bank-guarantee-in-tdsat-for-tata-tele-merger-3488711.htm,1,0.44
cnbc, Doha Bank moves NCLT to seek stay on Reliance Infratels committee of creditors decision The counsel for Doha Bank claimed that the creditors panel has considered the claims of lenders of parent firm Reliance Communications on the basis of corporate guarantee of RITL which would reduce its voting share in the CoC,telecom,2019-06-19,01:04,https://www.cnbctv18.com/telecom/doha-bank-moves-nclt-to-seek-stay-on-reliance-infratels-committee-of-creditors-decision-3531011.htm,1,0.34
Times of India, Tata Tele merger DoT seeks Rs 7200 crore bank guarantee from Airtel,telecom,2019-06-19,01:05,https://timesofindia.indiatimes.com/business/india-business/tata-tele-merger-dot-seeks-rs-7200-cr-bank-guarantee-from-airtel/articleshow/68832751.cms,1,0.33
cnbc, Department of Telecom to soon settle merger and transfer of licences in M As The Department of Telecom will settle all issues related to merger and transfer of licences in the telecom sector on a priority basis an internal note of the ministry said,telecom,2019-06-19,01:04,https://www.cnbctv18.com/telecom/department-of-telecom-to-soon-settle-merger-and-transfer-of-licences-in-mas-3383451.htm,1,0.33
Times of India, Tatas pay government for tele business merger with Airtel,telecom,2019-06-19,01:05,https://timesofindia.indiatimes.com/business/india-business/tatas-pay-government-for-tele-business-merger-with-airtel/articleshow/68914893.cms,1,0.3
cnbc, Ericsson considering new clauses to avoid RCom like situations The company sued RCom and its promoter Anil Ambani to recover dues of about Rs 1500 crore of which it managed to receive only Rs 550 crore,telecom,2019-06-19,01:04,https://www.cnbctv18.com/telecom/ericsson-considering-new-clauses-to-avoid-rcom-like-situations-3518381.htm,2,0.4
Times of India, Bharti Airtels Rs 25000 crore rights issue oversubscribed,telecom,2019-06-19,01:05,https://timesofindia.indiatimes.com/business/india-business/bharti-airtels-rs-25000-crore-rights-issue-oversubscribed/articleshow/69377801.cms,2,0.32
cnbc, Bharti Telecom stake in Airtel comes down to 41 24 Stake of Airtel promoter group firm Bharti Telecom has come down to 41 24 percent following renouncement of 11 34 crore shares by the entity valued at around Rs 3920 crore and Rs 25000 crore rights issue according to the updated shareholding of the company,telecom,2019-06-19,01:04,https://www.cnbctv18.com/telecom/bharti-telecom-stake-in-airtel-comes-down-to-41-24-3498061.htm,2,0.29
Times of India, Airtel arm gets licence for on board Net,telecom,2019-06-19,01:05,https://timesofindia.indiatimes.com/business/india-business/airtel-arm-gets-licence-for-on-board-net/articleshow/68750512.cms,3,0.38
cnbc, DCC clears imposing penalty on Airtel Vodafone Idea seeks Trai view on fine amount However before imposing the penalty the Commission has decided to seek Trais views on revising Rs 3050 crore penalty recommended by the sector regulator amid financial stress in the sector,telecom,2019-06-19,01:04,https://www.cnbctv18.com/telecom/dcc-clears-imposing-penalty-on-airtel-vodafone-idea-seeks-trai-view-on-fine-amount-3713661.htm,3,0.46
Times of India, Strike on corruption Exams planned for directors,telecom,2019-06-19,01:05,https://timesofindia.indiatimes.com/videos/business/strike-on-corruption-exams-planned-for-directors/videoshow/69777110.cms,4,0.17
Times of India, Planned base price of 5G spectrum too high Telecom lobby,telecom,2019-06-19,01:05,https://timesofindia.indiatimes.com/business/india-business/planned-base-price-of-5g-spectrum-too-high-telecom-lobby/articleshow/69653902.cms,4,0.24
cnbc, Telecom minister Ravi Shankar Prasad 5 lakh WiFi hotspots to be established on a fast track basis Newly appointed Telecom Minister Ravi Shankar Prasad on Monday said that India will hold spectrum auction for 5G and other bands in the current calendar year,telecom,2019-06-19,01:04,https://www.cnbctv18.com/telecom/telecom-spectrum-auction-to-be-held-this-year-ravi-shankar-prasad-3564131.htm,4,0.17
cnbc, India may have 88 million 5G connections by 2025 GSMA Global telecom industry body GSMA expects India to have 920 million unique mobile subscribers by 2025 which will include 88 million 5G connections,telecom,2019-06-19,01:04,https://www.cnbctv18.com/telecom/india-may-have-88-million-5g-connections-by-2025-gsma-3591201.htm,4,0.21
cnbc, Telecom panel asks Trai to reconsider recommendations on spectrum auction The Digital Communications Commission DCC which met on Thursday also approved the terms and conditions for 5G trials in the country sources said,telecom,2019-06-19,01:04,https://www.cnbctv18.com/telecom/telecom-panel-asks-trai-to-reconsider-recommendations-on-spectrum-auction-3680661.htm,4,0.25
Times of India, Voda Idea Airtel Jio pay spectrum dues of over Rs 10000 crore in April RCom yet to pay,telecom,2019-06-19,01:05,https://timesofindia.indiatimes.com/business/india-business/voda-idea-airtel-jio-pay-spectrum-dues-of-over-10000-cr-in-april-rcom-yet-to-pay/articleshow/68817119.cms,5,0.16
Times of India, Airtel Vodafone Idea face Rs 3000 crore penalty,telecom,2019-06-19,01:05,https://timesofindia.indiatimes.com/business/india-business/airtel-voda-idea-face-rs-3000-crore-penalty/articleshow/69834254.cms,5,0.14
Times of India, Vodafone Idea expects Indus Tower stake sale in 3 4 months for Rs 5500 crore,telecom,2019-06-19,01:05,https://timesofindia.indiatimes.com/business/india-business/voda-idea-expects-indus-tower-stake-sale-in-3-4-months-for-rs-5500-cr/articleshow/68799520.cms,5,0.23
Times of India, Cognizant applies for 80 less H 1B visas,telecom,2019-06-19,01:05,https://timesofindia.indiatimes.com/videos/business/cognizant-applies-for-80-less-h-1b-visas/videoshow/69799362.cms,5,0.21
Times of India, Vodafone Idea suffers third successive loss of near Rs 5000 crore,telecom,2019-06-19,01:05,https://timesofindia.indiatimes.com/business/india-business/vodafone-idea-suffers-third-successive-loss-of-near-rs-5000-crore/articleshow/69313545.cms,5,0.24
cnbc, Jio offer on OnePlus 7 phones Avail cashback discounts worth up to Rs 9300 Telecom major Reliance Jio has come up “ Beyond Speed Offer ” worth Rs 9300 to customers buying the upcoming OnePlus smartphones,telecom,2019-06-19,01:04,https://www.cnbctv18.com/telecom/jio-offer-on-oneplus-7-phones-avail-cashback-discounts-worth-up-to-rs-9300-3336281.htm,6,0.38
Times of India, L Ts open offer for Mindtree commences today,telecom,2019-06-19,01:05,https://timesofindia.indiatimes.com/videos/business/lts-open-offer-for-mindtree-commences-today/videoshow/69814577.cms,6,0.36
cnbc, Trai to focus on limited issue of regulatory imbalance between OTTs and telcos says RS Sharma Sharmas views come amid reports that the regulator could come out with a separate consultation paper on video OTTs like Sony Liv Hotstar Netflix Amazon Prime and Voot among others to regulate them in future Sharma declined to comment on this,telecom,2019-06-19,01:04,https://www.cnbctv18.com/telecom/trai-to-focus-on-limited-issue-of-regulatory-imbalance-between-otts-and-telcos-says-rs-sharma-3402821.htm,7,0.61
cnbc, Google suspends some business with Huawei after Trump blacklist Future versions of Huawei smartphones that run on Android will also lose access to popular services including the Google Play Store and Gmail and YouTube apps,telecom,2019-06-19,01:04,https://www.cnbctv18.com/technology/google-suspends-some-business-with-huawei-after-trump-blacklist-3391271.htm,8,0.28
cnbc, US blacklists Chinas Huawei as trade dispute clouds global outlook The Commerce Department said it was adding Huawei Technologies Co Ltd and 70 affiliates to its so called Entity List a move that bans the company from acquiring components and technology from US firms without government approval,telecom,2019-06-19,01:04,https://www.cnbctv18.com/telecom/us-blacklists-chinas-huawei-as-trade-dispute-clouds-global-outlook-3348371.htm,8,0.34
cnbc, After US blacklists Chinese telecom giant Huawei Beijing warns retaliation against Trumps move Trumps decision risks escalating tensions with China as the worlds two largest economies clash over whether Huawei the worlds largest provider of telecommunications equipment poses a spying risk to Western infrastructure networks,telecom,2019-06-19,01:04,https://www.cnbctv18.com/technology/after-us-blacklists-chinese-telecom-giant-huawei-beijing-warns-retaliation-3356551.htm,8,0.3
cnbc, Can India offset Huaweis global losses after US ban Sandwiched between the ongoing US China trade war Chinese telecom equipment major Huawei is frantically looking to salvage its prestige and fast cover the lost ground,telecom,2019-06-19,01:04,https://www.cnbctv18.com/technology/can-india-offset-huaweis-global-losses-after-us-ban-3552901.htm,8,0.31
cnbc, Airtel Africa looks at 1 billion London listing The company is aiming to raise around 1 billion in a June equity offering a source close to the deal said Airtel operates in 14 African markets including the Democratic Republic of the Congo Kenya Nigeria Rwanda Seychelles Uganda and Zambia,telecom,2019-06-19,01:04,https://www.cnbctv18.com/telecom/airtel-africa-looks-at-1-billion-london-listing-3501651.htm,9,0.52
cnbc, Airtel Africa expects London IPO to be priced between 80 100 pence a share,telecom,2019-06-19,01:04,https://www.cnbctv18.com/telecom/airtel-africa-expects-london-ipo-to-be-priced-between-80-100-pence-a-share-3712411.htm,9,0.48
cnbc, Airtel Africa to file for London IPO The company said the offer is targeted to raise 750 million and proceeds will be used to reduce debt,telecom,2019-06-19,01:04,https://www.cnbctv18.com/market/stocks/airtel-africa-to-file-for-london-ipo-3573181.htm,9,0.44
Times of India, RCom Reliance Jio terminate pact for sale of telecom assets,telecom,2019-06-19,01:05,https://timesofindia.indiatimes.com/business/india-business/rcom-reliance-jio-terminate-pact-for-sale-of-telecom-assets/articleshow/68470300.cms,10,0.22
cnbc, Reliance Jio added 9 4 million wireless subscribers in March as rivals faltered Trai data reveals,telecom,2019-06-19,01:04,https://www.cnbctv18.com/telecom/reliance-jio-added-9-4-million-wireless-subscribers-in-march-as-rivals-faltered-trai-data-reveals-3410061.htm,10,0.22
Times of India, Reliance Jio buys chatbot firm Haptik in Rs 700 crore deal,telecom,2019-06-19,01:05,https://timesofindia.indiatimes.com/business/india-business/reliance-jio-buys-chatbot-firm-haptik-in-rs-700cr-deal/articleshow/68713713.cms,10,0.24
