Source,Heading,Category,Date,Time,URL
Business Today,RSS affiliate trade union Bharatiya Mazdoor Sangh opposes Modi govts disinvestment plans,economy,2019-06-18,22:02,https://www.businesstoday.in/current/economy-politics/rss-affiliate-trade-union-bharatiya-mazdoor-sangh-opposes-modi-govt-disinvestment-plans/story/357098.html
Business Today,Officers Choice highest selling whisky in world; 3 of 5 whisky cases sold made in India,economy,2019-06-18,22:02,https://www.businesstoday.in/current/economy-politics/officers-choice-highest-selling-whisky-brand-world-3-of-5-whisky-cases-sold-made-india/story/357021.html
Business Today,Circular economy could create 1.4 crore jobs in next 5-7 years: Niti Aayog CEO Amitabh Kant,economy,2019-06-18,22:02,https://www.businesstoday.in/sectors/jobs/circular-economy-could-create-14-crore-jobs-in-next-5-7-years-niti-aayog-ceo-amitabh-kant/story/356995.html
Business Today,"JP Nadda named BJPs working president, Amit Shah to remain national head",economy,2019-06-18,22:02,https://www.businesstoday.in/current/economy-politics/jp-nadda-bjp-working-president-amit-shah-national-president/story/356896.html
Business Today,"No direct flight to come to India, too ill to take a 41-hour long flight, says Mehul Choksi",economy,2019-06-18,22:02,https://www.businesstoday.in/current/economy-politics/no-direct-flight-to-come-to-india-too-ill-to-take-a-41-hour-long-flight-mehul-choksi/story/356854.html
Business Today,Vedanta is bullish on Indian crude; Reliance still passive,economy,2019-06-18,22:02,https://www.businesstoday.in/current/economy-politics/vedanta-bullish-indian-crude-reliance-still-passive/story/356803.html
Business Today,"17th Lok Sabha: PM Modi, ministers take oath as MPs; Smriti Irani receives longest applause in the first session",economy,2019-06-18,22:02,https://www.businesstoday.in/current/economy-politics/17th-lok-sabha-pm-modi-ministers-take-oath-as-mps-smriti-irani-receives-longest-applause-in-the-first-session/story/356765.html
Business Today,"Govt compulsorily retires 15 senior indirect tax officers over charges of criminal conspiracy, corruption",economy,2019-06-18,22:02,https://www.businesstoday.in/current/economy-politics/government-compulsorily-retire-15-senior-cbic-officers-criminal-conspiracy-corruption/story/357056.html
Business Today,"As strikes end, SC defers hearing on security of doctors, keeps open larger issue of their safety",economy,2019-06-18,22:02,https://www.businesstoday.in/current/economy-politics/as-strikes-end-sc-defers-hearing-on-security-of-doctors-keeps-open-larger-issue-of-their-safety/story/357013.html
Business Today,PNB scam: Declaration of Nirav Modi as fugitive challenged on legal grounds,economy,2019-06-18,22:02,https://www.businesstoday.in/current/economy-politics/pnb-scam-declaration-of-nirav-modi-as-economic-fugitive-challenged-on-legal-grounds/story/356915.html
