Source,Heading,Category,Date,Time,URL
Indian Express,Delhi doctors to go on strike tomorrow in solidarity with Kolkata medicos,cities,2019-06-14,9:46:13 pm,https://indianexpress.com/article/cities/delhi/delhi-doctors-from-14-govt-hospitals-to-strike-on-saturday-in-solidarity-with-bengal-doctors-5781426/
Indian Express,"Karnataka woman tied to a pole for not repaying loan, video goes viral",cities,2019-06-14,7:31:02 pm,https://indianexpress.com/article/cities/bangalore/karnataka-woman-tied-to-a-pole-for-not-repaying-loan-video-goes-viral-5781146/
Indian Express,Karnataka: Belagavi railway station to get improved facilities as Minister Suresh Angadi steps in,cities,2019-06-14,7:23:22 pm,https://indianexpress.com/article/cities/bangalore/karnataka-belagavi-railway-station-second-entry-soon-belgaum-5781269/
Indian Express,Bangalore news June 14 Highlights: IMA Jewels scam: Auditor arrested; SIT interrogation continues,cities,2019-06-14,6:38:08 pm,https://indianexpress.com/article/cities/bangalore/traffic-weather-bbmp-airport-police-crime-live-bengaluru-rains-5779596/
Indian Express,Chennai News June 14 Highlights : Tamil Nadu writers win Sahitya Academi awards; Logs in airport entrance catch fire,cities,2019-06-14,17:52:54:00,https://indianexpress.com/article/cities/chennai/chennai-news-live-updates-tamil-nadu-news-today-chennai-news-today-chennai-weather-traffic-live-updates-live-5779897/
Indian Express,"AIIMS MBBS results: Chetanya Mittal tops Tricity, secures AIR 4",cities,2019-06-14,16:20:47:00,https://indianexpress.com/article/cities/chandigarh/aiims-mbbs-results-chetanya-mittal-tops-tricity-secures-air-45778062/
Indian Express,Chandigarh: Burail jail to have own de-addiction centre,cities,2019-06-14,16:14:55:00,https://indianexpress.com/article/chandigarh/burail-jail-to-have-own-de-addiction-centre-5779918/
Indian Express,Haryana: Lukewarm response to diversification scheme for water conservation,cities,2019-06-14,16:08:55:00,https://indianexpress.com/article/cities/chandigarh/haryana-lukewarm-response-to-diversification-scheme-for-water-conservation-5780059/
Indian Express,"Publicity blitz: Bring crowds or forget payment, Haryana warns artists",cities,2019-06-14,15:51:31:00,https://indianexpress.com/article/cities/chandigarh/publicity-blitz-bring-crowds-or-forget-payment-haryana-warns-artists-5780858/
Indian Express,Karnataka: Two MLAs inducted in HD Kumaraswamy’s cabinet,cities,2019-06-14,15:14:12:00,https://indianexpress.com/article/cities/bangalore/karnataka-two-mlas-inducted-in-hd-kumaraswamys-cabinet-5780708/
Indian Express,"Bangalore Namma Metro construction in CBD: Here are the traffic restrictions, diversions",cities,2019-06-14,14:44:47:00,https://indianexpress.com/article/cities/bangalore/namma-metro-construction-cbd-traffic-restriction-diversions-begin-bengaluru-mg-road-5780731/
Indian Express,Special team formed to trace missing policeman in Kerala,cities,2019-06-14,13:45:51:00,https://indianexpress.com/article/cities/special-team-formed-to-trace-missing-policeman-in-kerala-5780559/
Indian Express,Chennai News June 13 Highlights: AIADMK appoints spokepersons for media interactions; Swami Sankardas Ani meets Captain Vijaykanth,cities,2019-06-14,13:31:06:00,https://indianexpress.com/article/cities/chennai/chennai-live-news-updates-on-traffic-weather-rains-corporation-movies-politics-and-local-issues-live-5778011/
Indian Express,AN-32 crash: Lieutenant’s family yet to tell bed-ridden mother that her son is no more,cities,2019-06-14,11:52:39:00,https://indianexpress.com/article/cities/ludhiana/iaf-says-none-survived-an-32-crash-in-patiala-lieutenants-family-yet-to-tell-bed-ridden-mother-that-her-son-is-no-more-5780095/
Indian Express,When an AN-32 did a ‘belly landing’ because pilots ‘forgot to lower landing gear’,cities,2019-06-14,11:17:31:00,https://indianexpress.com/article/india/chandigarh/when-an-an-32-did-a-belly-landing-because-pilots-forgot-to-lower-landing-gear-5780076/
Indian Express,Fatehveer death case: Villagers want govt to name road after Fatehveer Singh,cities,2019-06-14,11:02:37:00,https://indianexpress.com/article/cities/ludhiana/villagers-want-govt-to-name-road-after-fatehveer-singh-5780173/
Indian Express,"Karnataka woman tied to a pole for not repaying loan, video goes viral",bangalore news,2019-06-14,19:31:02:00,https://indianexpress.com/article/cities/bangalore/karnataka-woman-tied-to-a-pole-for-not-repaying-loan-video-goes-viral-5781146/
