Source,Heading,Category,Date,Time,URL
The Hindu,Police yet to ascertain if Mansoor has fled country,bengaluru news,2019-06-14,08:33:00,https://www.thehindu.com/news/cities/bangalore/police-yet-to-ascertain-if-mansoor-has-fled-country/article27902517.ece
The Hindu,IMA got away right under eyes of government agencies,bengaluru news,2019-06-13,23:37:00,https://www.thehindu.com/news/cities/bangalore/ima-got-away-right-under-eyes-of-government-agencies/article27902540.ece
The Hindu,BMTC increases fare of student bus pass,bengaluru news,2019-06-14,01:34:00,https://www.thehindu.com/news/cities/bangalore/bmtc-increases-fare-of-student-bus-pass/article27903426.ece
The Hindu,Campaign against child labour,bengaluru news,2019-06-13,01:38:00,https://www.thehindu.com/news/cities/bangalore/campaign-against-child-labour/article27892744.ece
The Hindu,Zameer says he sold property to IMA; denies business link,bengaluru news,2019-06-13,01:28:00,https://www.thehindu.com/news/cities/bangalore/zameer-says-he-sold-property-to-ima-denies-business-link/article27892537.ece
The Hindu,7 IMA directors surrender before police,bengaluru news,2019-06-13,01:14:00,https://www.thehindu.com/news/cities/bangalore/7-ima-directors-surrender-before-police/article27892238.ece
The Hindu,20 new teachers deployed at government school funded by IMA,bengaluru news,2019-06-14,21:55:00,https://www.thehindu.com/news/cities/bangalore/20-new-teachers-deployed-at-government-school-funded-by-ima/article27942930.ece
The Hindu,Over 270 properties to make way for metro line to airport,bengaluru news,2019-06-14,21:27:00,https://www.thehindu.com/news/cities/bangalore/over-270-properties-to-make-way-for-metro-line-to-airport/article27942615.ece
The Hindu,"Don’t declare Chitrakala Parishat election result, says HC",bengaluru news,2019-06-14,21:25:00,https://www.thehindu.com/news/cities/bangalore/dont-declare-chitrakala-parishat-election-result-says-hc/article27942594.ece
The Hindu,65-year-old investor of IMA Group moves HC seeking CBI probe,bengaluru news,2019-06-14,21:19:00,https://www.thehindu.com/news/cities/bangalore/65-year-old-investor-of-ima-group-moves-hc-seeking-cbi-probe/article27942525.ece
