Source,Heading,Category,Date,Time,URL
Times of India,Electric AC buses to ply from Mumbai to Pune,mumbai news,2019-06-17,14:55,https://timesofindia.indiatimes.com/city/mumbai/electric-ac-buses-to-ply-from-mumbai-to-pune/articleshow/69818617.cms
Times of India,Mum: PhD holder arrested for stalking IITian,mumbai news,2019-06-17,14:55,https://timesofindia.indiatimes.com/city/mumbai/mumbai-phd-holder-arrested-for-stalking-iitian/articleshow/69819285.cms
Times of India,2 lakh trees to be axed for e-way,mumbai news,2019-06-17,14:55,https://timesofindia.indiatimes.comhttps://mumbaimirror.indiatimes.com/mumbai/other/2-lakh-trees-to-be-axed-for-e-way/articleshow/69818027.cms
Times of India,Mum kidnapper stole baby to keep up pregnancy lie,mumbai news,2019-06-17,14:55,https://timesofindia.indiatimes.com/city/mumbai/mumbai-kidnapper-stole-baby-to-keep-up-pregnancy-lie/articleshow/69818240.cms
Times of India,Cabinet expansion in Maharashtra saw 13 new ministers inducted in Fadnavis government,mumbai news,2019-06-17,14:55,https://timesofindia.indiatimes.com/videos/city/mumbai/cabinet-expansion-in-maharashtra-saw-13-new-ministers-inducted-in-fadnavis-government/videoshow/69812240.cms
Times of India,Nagpur: 100-year-old submerged well visible as Gorewada Lake dried up for the first time,mumbai news,2019-06-17,14:55,https://timesofindia.indiatimes.com/videos/city/mumbai/nagpur-100-year-old-submerged-well-visible-as-gorewada-lake-dried-up-for-the-first-time/videoshow/69802090.cms
Times of India,Mumbai is all set to get its first-ever Cyber Crime police station,mumbai news,2019-06-17,14:55,https://timesofindia.indiatimes.com/videos/city/mumbai/mumbai-is-all-set-to-get-its-first-ever-cyber-crime-police-station/videoshow/69800095.cms
Times of India,"Maharashtra CM Devendra Fadnavis meets Shiv Sena chief, discusses cabinet expansion",mumbai news,2019-06-17,14:55,https://timesofindia.indiatimes.com/videos/city/mumbai/maharashtra-cm-devendra-fadnavis-meets-shiv-sena-chief-discusses-cabinet-expansion/videoshow/69798829.cms
Times of India,"Vashi: School 'bars' single mother's kid, principal-parent's conversation video goes viral",mumbai news,2019-06-17,14:55,https://timesofindia.indiatimes.com/videos/city/mumbai/vashi-school-bars-single-mothers-kid-principal-parents-conversation-video-goes-viral/videoshow/69798169.cms
Times of India,"On cam: Duo cut open ATM, flee with Rs 10 lakh in Maharashtra",mumbai news,2019-06-17,14:55,https://timesofindia.indiatimes.com/videos/city/mumbai/on-cam-duo-cut-open-atm-flee-with-rs-10-lakh-in-maharashtra/videoshow/69794867.cms
Times of India,"Uddhav Thackeray, 18 Shiv Sena MPs to visit Ayodhya on June 16",mumbai news,2019-06-17,14:55,https://timesofindia.indiatimes.com/videos/city/mumbai/uddhav-thackeray-18-shiv-sena-mps-to-visit-ayodhya-on-june-16/videoshow/69787513.cms
Times of India,Doctors gather to protest against attack on Kolkata junior doctors,mumbai news,2019-06-17,14:55,https://timesofindia.indiatimes.com/videos/city/mumbai/doctors-gather-to-protest-against-attack-on-kolkata-junior-doctors/videoshow/69786443.cms
Times of India,Woman steals newborn from Mumbai's BYL Nair hospital ,mumbai news,2019-06-17,14:55,https://timesofindia.indiatimes.com/videos/city/mumbai/woman-steals-newborn-from-mumbais-byl-nair-hospital/videoshow/69782785.cms
Times of India,Watch: CM Fadnavis inaugurates Chhatrapati Shivaji Maharaj’s statue,mumbai news,2019-06-17,14:55,https://timesofindia.indiatimes.com/videos/city/mumbai/watch-cm-fadnavis-inaugurates-chhatrapati-shivaji-maharajs-statue/videoshow/69781725.cms
Times of India,Men In Black: Promotions,mumbai news,2019-06-17,14:55,https://timesofindia.indiatimes.comhttp://photogallery.indiatimes.com/events/mumbai/men-in-black-promotions/articleshow/69789902.cms
Times of India,Priyanka Chopra glams up a launch event,mumbai news,2019-06-17,14:55,https://timesofindia.indiatimes.comhttp://photogallery.indiatimes.com/events/mumbai/priyanka-chopra-glams-up-a-launch-event/articleshow/69788775.cms
Times of India,Comedians perform at 'Past Forward' event,mumbai news,2019-06-17,14:55,https://timesofindia.indiatimes.comhttp://photogallery.indiatimes.com/events/mumbai/comedians-perform-at-past-forward-event/articleshow/69785440.cms
Times of India,Celebs participate in 'Run for The Oceans 2019' event,mumbai news,2019-06-17,14:55,https://timesofindia.indiatimes.comhttp://photogallery.indiatimes.com/events/mumbai/celebs-participate-in-run-for-the-oceans-2019-event/articleshow/69771281.cms
Times of India,"
Special screening of 'Chaar Sahibzaade — Rise of Banda Singh Bahadur' in Mumbai
",mumbai news,2019-06-17,14:55,https://timesofindia.indiatimes.com/city/mumbai/Its-3D-time-in-B-Town/articleshow/55370816.cms
Times of India,"
Vir Das hosts special screening of '31st October'
",mumbai news,2019-06-17,14:55,https://timesofindia.indiatimes.com/city/mumbai/Vir-Das-hosts-special-screening-of-31st-October/articleshow/54976690.cms
Times of India,"
Special screening of 'Motu Patlu Kings of Kings' in Mumbai
",mumbai news,2019-06-17,14:55,https://timesofindia.indiatimes.com/city/mumbai/Farah-Khan-hosts-a-special-screening-of-Motu-Patlu-Kings-of-Kings-in-Mumbai/articleshow/54779404.cms
Times of India,"
A grand premiere for 'Tutak Tutak Tutiya' in Mumbai
",mumbai news,2019-06-17,14:55,https://timesofindia.indiatimes.com/city/mumbai/A-grand-premiere-for-Tutak-Tutak-Tutiya-in-Mumbai/articleshow/54737025.cms
Times of India,"
Arjun Rampal celebrates Navratri at Dagdi Chawl in Mumbai
",mumbai news,2019-06-17,14:55,https://timesofindia.indiatimes.com/city/mumbai/Arjun-Rampal-celebrates-Navratri-at-Dagdi-Chawl-in-Mumbai/articleshow/54737003.cms
Times of India,"
Swara Bhaskar's web series screened in Mumbai
",mumbai news,2019-06-17,14:55,https://timesofindia.indiatimes.com/city/mumbai/Swara-Bhaskars-web-series-screened-in-Mumbai/articleshow/54677895.cms
Times of India,Ggn hosp nurses heat-struck birds back to health,delhi news,2019-06-17,14:55,https://timesofindia.indiatimes.com/city/gurgaon/how-this-gurgaon-hospital-nurses-heat-struck-birds-back-to-health/articleshow/69817710.cms
