Source,Heading,Category,Date,Time,URL
Hindiustan Times,First merit lists of Mumbai University colleges: Arts cut-off touches 98%,mumbai news,2019-06-18,12:36:00,https://www.hindustantimes.com/mumbai-news/first-merit-lists-of-mumbai-university-colleges-arts-cut-off-touches-98/story-W0XUbuwoU4E7tJobTZm8gI.html
Hindiustan Times,"Maharashtra economic survey: High goals, but state’s growth rate low",mumbai news,2019-06-18,08:56:00,https://www.hindustantimes.com/mumbai-news/maharashtra-economic-survey-high-goals-but-state-s-growth-rate-low/story-UdIGfV8oeYfyzHuXVSmyCK.html
Hindiustan Times,"Work on track: MMRDA starts laying rail lines for Metro 2A, 7",mumbai news,2019-06-18,08:56:00,https://www.hindustantimes.com/mumbai-news/work-on-track-mmrda-starts-laying-rail-lines-for-metro-2a-7/story-QJPE6FBZ5NN5erJKAnFFHK.html
Hindiustan Times,Malavika’s Mumbaistan: Glamorous Charity Ball,mumbai news,2019-06-19,00:54:00,https://www.hindustantimes.com/mumbai-news/malavika-s-mumbaistan-glamorous-charity-ball/story-eaWvResHwcVP9IRo4eiIIM.html
Hindiustan Times,27 lakh new vehicles hit roads of  Maharashtra in a year,mumbai news,2019-06-18,13:55:00,https://www.hindustantimes.com/mumbai-news/27-lakh-new-vehicles-hit-roads-of-maharashtra-in-a-year/story-rPNWp7bNT0hfnBfz9oG1uJ.html
Hindiustan Times,Opposition parties demands new leader of Maharashtra assembly,mumbai news,2019-06-18,13:18:00,https://www.hindustantimes.com/mumbai-news/opposition-parties-demands-new-leader-of-maharashtra-assembly/story-GeI8hAEzqIEZqllqFu4atJ.html
Hindiustan Times,Air India to start Mumbai-Nairobi flight from September 27,mumbai news,2019-06-18,13:01:00,https://www.hindustantimes.com/india-news/air-india-to-start-mumbai-nairobi-flight-from-september-27/story-yEAo7IecFu6Vkkl1Fh5HJJ.html
Hindiustan Times,Three from gang that robbed bank customers held; kingpin on the run,mumbai news,2019-06-18,13:10:00,https://www.hindustantimes.com/india-news/three-from-gang-that-robbed-bank-customers-held-kingpin-on-the-run/story-BeX6F7A83u6gOgYVZfbSYN.html
Hindiustan Times,Assaulter can’t be held guilty if death is due to lack of treatment: Bombay high court ,mumbai news,2019-06-18,12:50:00,https://www.hindustantimes.com/mumbai-news/assaulter-can-t-be-held-guilty-if-death-is-due-to-lack-of-treatment-bombay-high-court/story-xC9unHKhw1f3US8yk7DSvJ.html
Hindiustan Times,Woman in Bhiwandi dies after being stabbed eight times by husband,mumbai news,2019-06-18,11:40:00,https://www.hindustantimes.com/mumbai-news/woman-in-bhiwandi-dies-after-being-stabbed-eight-times-by-husband/story-umkBfSf6E3O0oQXD65RMaL.html
Hindiustan Times,MH CET LLB (3 years) result 2019 declared. Check MAH Law result at cetcell.mahacet.org,mumbai news,2019-06-18,09:41:00,https://www.hindustantimes.com/education/mh-cet-llb-3-years-result-2019-declared-check-mah-law-result-at-cetcell-mahacet-org/story-cX57a0EJ3Dx9s2TqqUDF6M.html
Hindiustan Times,Maha unsafe: Rise in crimes against women and children,mumbai news,2019-06-18,08:52:00,https://www.hindustantimes.com/mumbai-news/maha-unsafe-rise-in-crimes-against-women-and-children/story-iCjWM98nDhPwNoQTIaxBYI.html
Hindiustan Times,"Work on track: MMRDA starts laying rail lines for Metro 2A, 7",mumbai news,2019-06-18,08:56:00,https://www.hindustantimes.com/mumbai-news/work-on-track-mmrda-starts-laying-rail-lines-for-metro-2a-7/story-QJPE6FBZ5NN5erJKAnFFHK.html
Hindiustan Times,Experts may help Mumbai Parking Authority map vacant plots,mumbai news,2019-06-18,01:56:00,https://www.hindustantimes.com/mumbai-news/experts-may-help-mumbai-parking-authority-map-vacant-plots/story-KwuXFHI0r0NWlgjniS290N.html
