Source,Heading,Category,Date,Time,URL
NDTV,Visiting Taj Mahal? Pay Fine If You Spend More Than 3 Hours Inside,agra news,2019-06-12,00:58,https://www.ndtv.com/agra-news/agra-for-taj-mahal-visit-pay-fine-if-you-spend-more-than-3-hours-inside-2051938
NDTV,"Man Arrested For Allegedly Giving ""Triple <i>Talaq</i>"" To Wife In Agra",agra news,2019-06-12,00:58,https://www.ndtv.com/agra-news/man-arrested-for-allegedly-giving-triple-talaq-to-wife-in-agra-2051780
NDTV,Panic Buttons To Be Installed At Major Spots In Agra,agra news,2019-06-05,00:58,https://www.ndtv.com/agra-news/agra-panic-buttons-to-be-installed-at-major-spots-in-agra-2048103
NDTV,"Woman Allegedly Poisons Husband, He Blames Her In Video Before Death",agra news,2019-05-12,00:58,https://www.ndtv.com/agra-news/woman-laces-husband-s-milk-with-poison-in-agra-video-viral-2036372
NDTV,Schools To Shut Early As Temperatures In Agra Touch 45 Degrees,agra news,2019-05-01,00:58,https://www.ndtv.com/agra-news/taj-city-agra-sizzles-at-45-schools-to-shut-early-2031255
NDTV,UP Government Given 4 Weeks For Vision Document On Taj Mahal Preservation,agra news,2019-02-14,00:58,https://www.ndtv.com/agra-news/up-government-given-4-weeks-for-vision-document-on-taj-mahal-preservation-1993225
NDTV,"After Uproar, Cops To No Longer Take Up Slingshots At Monkeys In Taj Mahal",agra news,2019-02-07,00:58,https://www.ndtv.com/agra-news/after-uproar-cops-to-no-longer-take-up-slingshots-at-monkeys-in-taj-mahal-1990134
NDTV,"Man Kills Wife, Alleged Lover With Spade In Agra",agra news,2019-02-07,00:58,https://www.ndtv.com/agra-news/man-kills-wife-alleged-lover-with-spade-in-agra-1989558
NDTV,Police At Taj Mahal Take Aim At Troops Of Monkeys With Slingshots,agra news,2019-01-25,00:58,https://www.ndtv.com/agra-news/taj-mahal-police-take-aim-at-troops-of-monkey-with-slingshots-1983333
NDTV,"Agra Activists To Build Taj Mahal Replica With Plastic, Polythene Waste",agra news,2019-01-22,00:58,https://www.ndtv.com/agra-news/agra-activists-to-build-taj-mahal-replica-with-plastic-polythene-waste-1981587
NDTV,PM Modi To Address Rally In Agra Tomorrow As Lok Sabha Polls Near,agra news,2019-01-08,00:58,https://www.ndtv.com/india-news/pm-modi-to-address-rally-in-agra-tomorrow-as-lok-sabha-polls-near-1974469
NDTV,Schools In Agra To Remain Closed Till January 9 Due To Cold Wave,agra news,2019-01-07,00:58,https://www.ndtv.com/agra-news/schools-in-agra-to-remain-closed-till-january-9-due-to-cold-wave-say-officials-1974072
NDTV,Gujarat Man Charged For Giving Triple Talaq To Wife On WhatsApp,ahmedabad news,2019-06-17,00:58,https://www.ndtv.com/ahmedabad-news/gujarat-man-charged-for-giving-triple-talaq-to-wife-on-whatsapp-2054787
NDTV,"Cyclone Vayu, Headed For North Gujarat, To Weaken Further: Weather Office",ahmedabad news,2019-06-17,00:58,https://www.ndtv.com/ahmedabad-news/cyclone-vayu-weakens-to-cross-gujarat-coast-as-depression-tonight-2054530
NDTV,Railway Protection Force Using Segways To Get Around Ahmedabad Station,ahmedabad news,2019-06-12,00:58,https://www.ndtv.com/ahmedabad-news/railway-protection-force-using-segways-to-get-around-ahmedabad-station-2052001
NDTV,Gujarat Likely To Get Heavy Rain Due To Cyclonic Storm,ahmedabad news,2019-06-10,00:58,https://www.ndtv.com/ahmedabad-news/gujarat-likely-to-get-heavy-rain-due-to-cyclonic-storm-2051022
NDTV,Woman Who Coated Cow Dung On Car Uses Horse-Cart For Short Distances,ahmedabad news,2019-06-06,00:58,https://www.ndtv.com/ahmedabad-news/woman-who-coated-cow-dung-on-car-uses-horse-cart-for-short-distances-2048899
NDTV,Sabarmati Would Flow As Clean River After Monsoon: Vijay Rupani,ahmedabad news,2019-06-05,00:58,https://www.ndtv.com/ahmedabad-news/sabarmati-river-clean-up-drive-gujarat-chief-minister-vijay-rupani-says-river-would-flow-as-clean-af-2048567
NDTV,Ahmedabad Fire Officials Rescue 40 People Stuck On Ferris Wheel,ahmedabad news,2019-06-03,00:58,https://www.ndtv.com/ahmedabad-news/sabarmati-riverfront-ahmedabad-gujarat-fire-officials-rescue-40-people-stuck-on-ferris-wheel-2046954
NDTV,This Gujarat Woman's Cow Dung-Coated Car Is An Internet Sensation,ahmedabad news,2019-05-24,00:58,https://www.ndtv.com/ahmedabad-news/this-gujarat-womans-cow-dung-coated-car-is-an-internet-sensation-2042578
NDTV,"Gujarat Woman, Addicted To PUBG, Wants Divorce From Disapproving Husband",ahmedabad news,2019-05-21,00:58,https://www.ndtv.com/ahmedabad-news/pubg-addiction-pubg-playerunknowns-battlegrounds-ahmedabad-woman-addicted-to-pubg-wants-divorce-2040783
NDTV,"Gujarat Bitcoin Trader Allegedly Commits Suicide, Blames Cop In Note",ahmedabad news,2019-05-19,00:58,https://www.ndtv.com/ahmedabad-news/ahmedabad-gujarat-bharat-patel-gujarat-bitcoin-trader-commits-suicide-blames-cop-brother-in-note-2039847
NDTV,19-Year-Old Woman Stabbed To Death In Ahmedabad Market,ahmedabad news,2019-05-09,00:58,https://www.ndtv.com/ahmedabad-news/19-year-old-woman-stabbed-to-death-in-ahmedabad-market-2035443
NDTV,"Lioness Found Dead In Gir, Teeth, Nail Marks Found On Carcass",ahmedabad news,2019-05-04,00:58,https://www.ndtv.com/ahmedabad-news/lioness-found-dead-in-gir-teeth-nail-marks-found-on-carcass-2032694
NDTV,"Man Fined For Spitting Pan Masala In Ahmedabad, First Case In Country",ahmedabad news,2019-04-28,00:58,https://www.ndtv.com/cities/man-fined-for-spitting-pan-masala-in-ahmedabad-first-case-in-country-2029773
NDTV,India's First Nocturnal Zoo Earns Rs 3 Crore Annually,ahmedabad news,2019-04-13,00:58,https://www.ndtv.com/india-news/kankaria-nocturnal-zoo-ahmedabad-gujarat-indias-first-nocturnal-zoo-earns-rs-3-crore-annually-2022407
NDTV,US Woman Wanted To Stay In Gujarat Hotel With 14 Pets. Then...,ahmedabad news,2019-04-12,00:58,https://www.ndtv.com/india-news/ahmedabad-us-woman-wanted-to-stay-in-gujarat-hotel-with-14-pets-6-cats-7-dogs-1-goat-2022019
NDTV,"With Record Temperature In 4 Cities, This Is The Worst Heatwave Ever",allahabad news,2019-06-11,00:58,https://www.ndtv.com/india-news/with-record-temperature-in-4-cities-this-is-the-worst-heatwave-ever-2051565
NDTV,"Man Who Kidnapped 6-Year-Old In UP Panics On Seeing Cops, Shoots Himself",allahabad news,2019-05-22,00:58,https://www.ndtv.com/allahabad-news/kidnapper-abducts-child-in-prayagraj-shoots-self-on-seeing-cops-2041237
NDTV,"Elections 2019: UP Family Has 82 Members, 66 Are Eligible To Vote",allahabad news,2019-05-11,00:58,https://www.ndtv.com/allahabad-news/lok-sabha-elections-2019-up-family-has-82-members-66-are-eligible-to-vote-2036133
NDTV,"Over 7,000 Participants Set A New Guinness World Record At Kumbh",allahabad news,2019-03-02,00:58,https://www.ndtv.com/india-news/kumbh-mela-2019-prayagraj-over-7-000-participants-set-a-new-guinness-world-record-in-handpaint-print-2001611
NDTV,5 Of Family Die After Car Crashes With Tractor In Prayagraj,allahabad news,2019-02-12,00:58,https://www.ndtv.com/allahabad-news/5-of-family-die-after-car-crashes-with-tractor-in-prayagraj-1992448
NDTV,Kumbh Shahi Snan: 2 Crore Expected To Take Holy Dip On Sunday,allahabad news,2019-02-09,00:58,https://www.ndtv.com/allahabad-news/basant-panchami-2019-kumbh-shahi-snan-allahabad-2-crore-expected-to-take-holy-dip-on-sunday-1991015
NDTV,"At Kumbh Mela 2019, Unique ""Toilet Cafeteria"" A Big Draw. See Pics",allahabad news,2019-01-18,00:58,https://www.ndtv.com/allahabad-news/at-kumbh-mela-2019-unique-toilet-cafetaria-a-big-draw-see-pics-1979459
NDTV,"Saints Light 33,000 Diyas At Prayagraj's Kumbh To Fulfil This Wish",allahabad news,2019-01-16,00:58,https://www.ndtv.com/allahabad-news/saints-light-33-000-diyas-at-prayagraj-kumbh-to-fulfil-this-wish-ram-temple-in-ayodhya-1978348
NDTV,"Transgender <i>""Akhada""</i> Makes Debut At Kumbh Mela In Prayagraj",allahabad news,2019-01-12,00:58,https://www.ndtv.com/allahabad-news/kumbh-2019-kinnar-akhada-makes-debut-at-kumbh-mela-in-prayagraj-1976641
NDTV,"For Kumbh 2019, Prayagraj To Have ""World's Largest Temporary City""",allahabad news,2019-01-08,00:58,https://www.ndtv.com/allahabad-news/for-kumbh-2019-prayagraj-to-have-worlds-largest-temporary-city-1974408
NDTV,"Railways To Use Technology, AI To Control Crowd At Stations During Kumbh",allahabad news,2018-11-20,00:58,https://www.ndtv.com/allahabad-news/railways-to-use-technology-ai-to-control-crowd-at-stations-during-kumbh-1950496
NDTV,Tight Security Outside Golden Temple On Operation Blue Star Anniversary,amritsar news,2019-06-06,00:58,https://www.ndtv.com/amritsar-news/tight-security-outside-golden-temple-on-operation-blue-star-anniversary-2048730
NDTV,"53-Year-Old Woman, Daughter, 28, Die After Consuming Poison In Amritsar",amritsar news,2019-05-27,00:58,https://www.ndtv.com/amritsar-news/53-year-old-woman-daughter-28-die-after-consuming-poison-in-amritsar-2043792
NDTV,Lok Sabha Elections 2019: Navjot Sidhu Silent On Rift With Amarinder Singh But Wife Lashes Out,amritsar news,2019-05-16,00:58,https://www.ndtv.com/india-news/general-elections-2019-navjot-sidhu-silent-on-rift-with-amarinder-singh-but-wife-lashes-out-2038342
NDTV,"#Amritsar Trends On Twitter After Users Say They Heard ""Loud Sounds""",amritsar news,2019-03-15,00:58,https://www.ndtv.com/amritsar-news/amritsar-trends-on-twitter-after-users-heard-loud-sounds-2007817
NDTV,Afghan Man Trying To Smuggle 32 kg Gold In Fruit Consignment Arrested,amritsar news,2019-03-01,00:58,https://www.ndtv.com/amritsar-news/afghan-man-trying-to-smuggle-32-kg-gold-in-fruit-consignment-arrested-2000923
NDTV,"Man In Punjab Kills NRI Daughter With Iron Rod, Then Hangs Self: Police",amritsar news,2019-02-24,00:58,https://www.ndtv.com/amritsar-news/man-in-punjab-kills-nri-daughter-with-iron-rod-hangs-himself-in-amritsar-punjab-police-1998654
NDTV,Three Sisters Burnt Alive In Amritsar House Fire,amritsar news,2019-02-14,00:58,https://www.ndtv.com/amritsar-news/three-sisters-burnt-alive-in-amritsar-house-fire-1993251
