Source,Heading,Category,Date,Time,URL
Hindiustan Times, Mumbai bizman gets life in jail fined Rs 5 crore for Jet hijack hoax,mumbai news,2019-06-12,08:42:00,https://www.hindustantimes.com/mumbai-news/mumbai-bizman-gets-life-in-jail-fined-rs-5-crore-for-jet-hijack-hoax/story-V3IbCpbeZO8JDumcZ6zYBN.html
Hindiustan Times, Water sports sailing Maharashtra has dam good plans for you,mumbai news,2019-06-12,08:52:00,https://www.hindustantimes.com/mumbai-news/water-sports-sailing-maharashtra-has-dam-good-plans-for-you/story-2YayvYQtnqc0VprFtfHRKP.html
Hindiustan Times, The man who stole his Mercedes held CCTV footage and car keys gave him in,mumbai news,2019-06-12,08:52:00,https://www.hindustantimes.com/mumbai-news/the-man-who-stole-his-mercedes-held-cctv-footage-and-car-keys-gave-him-in/story-d5Lfv9wcTdbtwH1q56zImL.html
Hindiustan Times, Clear our dues before selling Air India says pilots union,mumbai news,2019-06-12,15:24:00,https://www.hindustantimes.com/mumbai-news/clear-our-dues-before-selling-air-india-says-pilots-union/story-BoNjLNGAayudR3RpQEbfCJ.html
Hindiustan Times, Gangster who allegedly attacked Chhota Rajan in Bangkok says no to DNA test,mumbai news,2019-06-12,15:17:00,https://www.hindustantimes.com/mumbai-news/munna/story-MbYdEoOJOG8NWpeBf0AfyN.html
Hindiustan Times, Smuggled cigarettes worth Rs1 crore seized from godown in Mumbai,mumbai news,2019-06-12,15:26:00,https://www.hindustantimes.com/mumbai-news/smuggled-cigarettes-worth-rs1-crore-seized-from-godown-in-mumbai/story-wFCQMt5O4kvbcca88KpoMP.html
Hindiustan Times, Shark 15 other fish species along Maharashtra coast under threat Study,mumbai news,2019-06-12,13:10:00,https://www.hindustantimes.com/mumbai-news/shark-15-other-fish-species-along-maharashtra-coast-under-threat-study/story-txTfPVvgAtut0uesJjJcGJ.html
Hindiustan Times, ‘ Indian agencies desperate to stick some charge on me ’ Zakir Naik,mumbai news,2019-06-12,10:01:00,https://www.hindustantimes.com/india-news/indian-agencies-desperate-to-stick-some-charge-on-me-zakir-naik/story-TSsETEbyY9OSfFco0ngmuI.html
Hindiustan Times, Single umbrella admission for professional courses begins,mumbai news,2019-06-12,09:08:00,https://www.hindustantimes.com/education/single-umbrella-admission-for-professional-courses-begins/story-xw3mgBgk9EoUQhBLFQmydM.html
Hindiustan Times, Andheri preschool staff booked for assaulting 2 year old,mumbai news,2019-06-12,08:53:00,https://www.hindustantimes.com/mumbai-news/andheri-preschool-staff-booked-for-assaulting-2-year-old/story-hvJXq90XmeCHcuZHr09Z3M.html
