Source,Heading,Category,Date,Time,URL,Cluster,cluster_similarity_value
Times of India, UP Cops clueless in Allahabad lock up case,allahabad news,2019-06-17,14:55,https://timesofindia.indiatimes.com/city/allahabad/up-allahabad-police-station-lock-up-breakup-case-cops-clueless/articleshow/69759422.cms,0,0.48
Times of India, Lock up escape Two cops suspended 2 sent to lines,allahabad news,2019-06-17,14:55,https://timesofindia.indiatimes.com/city/allahabad/lock-up-escape-two-cops-suspended-2-sent-to-lines/articleshow/69762064.cms,0,0.44
NDTV, Man Who Kidnapped 6 Year Old In UP Panics On Seeing Cops Shoots Himself,allahabad news,2019-05-22,14:54,https://www.ndtv.com/allahabad-news/kidnapper-abducts-child-in-prayagraj-shoots-self-on-seeing-cops-2041237,0,0.43
NDTV, With Record Temperature In 4 Cities This Is The Worst Heatwave Ever,allahabad news,2019-06-11,14:54,https://www.ndtv.com/india-news/with-record-temperature-in-4-cities-this-is-the-worst-heatwave-ever-2051565,1,0.28
NDTV, For Kumbh 2019 Prayagraj To Have Worlds Largest Temporary City,allahabad news,2019-01-08,14:54,https://www.ndtv.com/allahabad-news/for-kumbh-2019-prayagraj-to-have-worlds-largest-temporary-city-1974408,1,0.27
Times of India, Teen bug bounty hunter scores intl fame with tech skills,allahabad news,2019-06-17,14:55,https://timesofindia.indiatimes.com/city/allahabad/teen-bug-bounty-hunter-scores-intl-fame-with-tech-skills/articleshow/69787656.cms,1,0.27
Times of India, Four members of Babuli Kol gang arrested in Chitrakoot,allahabad news,2019-06-17,14:55,https://timesofindia.indiatimes.com/city/allahabad/four-members-of-babuli-kol-gang-arrested-in-chitrakoot/articleshow/69789330.cms,2,0.4
NDTV, Elections 2019 UP Family Has 82 Members 66 Are Eligible To Vote,allahabad news,2019-05-11,14:54,https://www.ndtv.com/allahabad-news/lok-sabha-elections-2019-up-family-has-82-members-66-are-eligible-to-vote-2036133,2,0.37
Times of India, Strike by medicos continues on second day in Allahabad,allahabad news,2019-06-17,14:55,https://timesofindia.indiatimes.com/city/allahabad/strike-by-medicos-continues-on-second-day-in-allahabad/articleshow/69805090.cms,3,0.56
Times of India, IIT Kanpur students to distribute the Bhagvad Gita to the visitors at the Maha Kumbh in Allahabad,allahabad news,2019-06-17,14:55,https://timesofindia.indiatimes.com/city/allahabad/IIT-Kanpur-students-to-distribute-the-Bhagvad-Gita-to-the-visitors-at-the-Maha-Kumbh-in-Allahabad/articleshow/32421601.cms,4,0.52
Times of India, Punjab police seeks crowd and traffic management plans from their UP counterparts,allahabad news,2019-06-17,14:55,https://timesofindia.indiatimes.com/city/allahabad/punjab-police-seeks-crowd-and-traffic-management-plans-from-their-up-counterparts/articleshow/69773371.cms,5,1.0
Times of India, Stations under North Central Railways to install proximity sensor in dustbins,allahabad news,2019-06-17,14:55,https://timesofindia.indiatimes.com/city/allahabad/stations-under-north-central-railways-to-install-proximity-sensor-in-dustbins/articleshow/69791949.cms,6,0.41
