Source,Heading,Category,Date,Time,URL,Cluster,cluster_similarity_value
NDTV, Lok Sabha Elections 2019 Navjot Sidhu Silent On Rift With Amarinder Singh But Wife Lashes Out,amritsar news,2019-05-16,14:54,https://www.ndtv.com/india-news/general-elections-2019-navjot-sidhu-silent-on-rift-with-amarinder-singh-but-wife-lashes-out-2038342,0,0.41
NDTV, Row Over Red Carpet Laid Out For Amarinder Singh Visiting Blast Site,amritsar news,2018-11-19,14:54,https://www.ndtv.com/amritsar-news/amritsar-grenade-attack-row-over-red-carpet-laid-out-for-amarinder-singh-visiting-blast-site-1949904,0,0.39
NDTV, From Bad To Worse Opposition Takes On Amarinder Singh After Attack,amritsar news,2018-11-19,14:54,https://www.ndtv.com/india-news/from-bad-to-worse-opposition-takes-on-amarinder-singh-after-attack-1949509,0,0.39
Times of India, 4 year old Kathua boy falls into 20ft well rescued,amritsar news,2019-06-17,14:55,https://timesofindia.indiatimes.com/city/amritsar/pathankot-administration-panics-after-rumour-of-a-four-year-old-falling-into-borewell-surfaces/articleshow/69786893.cms,1,0.57
NDTV, 53 Year Old Woman Daughter 28 Die After Consuming Poison In Amritsar,amritsar news,2019-05-27,14:54,https://www.ndtv.com/amritsar-news/53-year-old-woman-daughter-28-die-after-consuming-poison-in-amritsar-2043792,1,0.39
Times of India, Sunny Deol expresses satisfaction over ongoing construction work of Kartarpur corridor,amritsar news,2019-06-17,14:55,https://timesofindia.indiatimes.com/city/amritsar/sunny-deol-expresses-satisfaction-over-ongoing-construction-work-of-kartarpur-corridor/articleshow/69802144.cms,2,0.21
Times of India, Quran sacrilege case Charges framed against AAP MLA 3 others by Sangrur court,amritsar news,2019-06-17,14:55,https://timesofindia.indiatimes.com/city/amritsar/quran-sacrilege-case-charges-framed-against-aap-mla-3-others-by-sangrur-court/articleshow/69799835.cms,2,0.21
Times of India, Kotkapura firing Bail plea of then DSP rejected,amritsar news,2019-06-17,14:55,https://timesofindia.indiatimes.com/city/amritsar/kotkapura-firing-bail-plea-of-then-dsp-rejected/articleshow/69779963.cms,2,0.21
NDTV, Afghan Man Trying To Smuggle 32 kg Gold In Fruit Consignment Arrested,amritsar news,2019-03-01,14:54,https://www.ndtv.com/amritsar-news/afghan-man-trying-to-smuggle-32-kg-gold-in-fruit-consignment-arrested-2000923,2,0.23
Times of India, ‘ Don ’ t call it Sweepers ’ Colony ’,amritsar news,2019-06-17,14:55,https://timesofindia.indiatimes.com/city/amritsar/dont-call-it-sweepers-colony/articleshow/69820540.cms,3,0.5
NDTV, Tight Security Outside Golden Temple On Operation Blue Star Anniversary,amritsar news,2019-06-06,14:54,https://www.ndtv.com/amritsar-news/tight-security-outside-golden-temple-on-operation-blue-star-anniversary-2048730,4,0.42
NDTV, Photos Banned Inside Amritsars Golden Temple Says Shrine Official,amritsar news,2019-01-09,14:54,https://www.ndtv.com/india-news/photos-banned-inside-amritsars-golden-temple-says-shrine-official-1975302,4,0.38
Times of India, Medial fraternity justifies having private security in wake of attacks on doctors,amritsar news,2019-06-17,14:55,https://timesofindia.indiatimes.com/city/amritsar/medial-fraternity-justifies-having-private-security-in-wake-of-attacks-on-doctors/articleshow/69814107.cms,4,0.37
Times of India, Pakistan train refused entry to Attari Sikh jatha returns,amritsar news,2019-06-17,14:55,https://timesofindia.indiatimes.com/city/amritsar/pakistan-train-refused-entry-to-attari-sikh-jatha-returns/articleshow/69798004.cms,5,0.57
NDTV, Three Sisters Burnt Alive In Amritsar House Fire,amritsar news,2019-02-14,14:54,https://www.ndtv.com/amritsar-news/three-sisters-burnt-alive-in-amritsar-house-fire-1993251,6,0.4
NDTV, Magisterial Probe Report On Dussehra Train Tragedy In Amritsar Submitted,amritsar news,2018-11-22,14:54,https://www.ndtv.com/amritsar-news/magisterial-probe-report-on-dussehra-train-tragedy-in-amritsar-submitted-1951380,6,0.4
Times of India, In Amritsar hospitals plan to hire bouncers,amritsar news,2019-06-17,14:55,https://timesofindia.indiatimes.com/city/amritsar/attack-on-docs-in-amritsar-hospitals-plan-to-hire-bouncers/articleshow/69817789.cms,6,0.4
Times of India, Punjab Farmers sceptical of 8 hour uninterrupted power supply promise,amritsar news,2019-06-17,14:55,https://timesofindia.indiatimes.com/city/amritsar/punjab-farmers-skeptical-of-8-hour-uninterrupted-power-supply-promise/articleshow/69776134.cms,7,1.0
Times of India, Punjab Sales tax inspector nabbed accepting Rs 25000,amritsar news,2019-06-17,14:55,https://timesofindia.indiatimes.com/city/amritsar/punjab-sales-tax-inspector-nabbed-accepting-rs-25000/articleshow/69776885.cms,8,0.37
Times of India, SGPC meets today to tally articles of Sikh Reference Library before after Bluestar,amritsar news,2019-06-17,14:55,https://timesofindia.indiatimes.com/city/amritsar/sgpc-meets-today-to-tally-articles-of-sikh-reference-library-before-after-bluestar/articleshow/69766240.cms,8,0.36
Times of India, Punjab Paddy transplantation begins today,amritsar news,2019-06-17,14:55,https://timesofindia.indiatimes.com/city/amritsar/paddy-transplantation-begins-today/articleshow/69763961.cms,8,0.39
NDTV, Man In Punjab Kills NRI Daughter With Iron Rod Then Hangs Self Police,amritsar news,2019-02-24,14:54,https://www.ndtv.com/amritsar-news/man-in-punjab-kills-nri-daughter-with-iron-rod-hangs-himself-in-amritsar-punjab-police-1998654,9,0.41
NDTV, Punjab Police Detain Hardliners For Questioning In Amritsar Attack,amritsar news,2018-11-20,14:54,https://www.ndtv.com/amritsar-news/amritsar-attack-punjab-police-detain-hardliners-for-questioning-1950234,9,0.42
Times of India, Punjab Bathinda police register 227 cases under NDPS Act in 5 months,amritsar news,2019-06-17,14:55,https://timesofindia.indiatimes.com/city/amritsar/bathinda-police-registered-227-cases-under-ndps-act-in-5-months/articleshow/69776128.cms,9,0.41
Times of India, Woman dragged punched kicked Congress leader booked,amritsar news,2019-06-17,14:55,https://timesofindia.indiatimes.com/city/amritsar/in-muktsar-cong-leader-booked-after-brother-aides-assault-woman/articleshow/69796088.cms,10,1.0
NDTV, Amritsar Trends On Twitter After Users Say They Heard Loud Sounds,amritsar news,2019-03-15,14:54,https://www.ndtv.com/amritsar-news/amritsar-trends-on-twitter-after-users-heard-loud-sounds-2007817,11,1.0
Times of India, Amritsar on path to become smart city,amritsar news,2019-06-17,14:55,https://timesofindia.indiatimes.com/city/amritsar/amritsar-on-path-to-become-smart-city/articleshow/69773200.cms,12,0.67
