Source,Heading,Category,Date,Time,URL,Cluster,cluster_similarity_value
Hindiustan Times, Yeddyurappa pushes for mid terms polls in Karnataka again,bengaluru news,2019-05-28,13:43:00,https://www.hindustantimes.com/india-news/yeddyurappa-pushes-for-mid-terms-polls-in-karnataka-again/story-ZamLVH0bGVhFeilJGaYmDP.html,0,0.7
Hindiustan Times, ‘ Cong MLAs unhappy with Karnataka govt may take decision soon ’ Yeddyurappa,bengaluru news,2019-05-10,14:29:00,https://www.hindustantimes.com/india-news/congress-mlas-unhappy-with-karnataka-govt-may-take-decision-soon-bs-yeddyurappa/story-B3Y5RHyztnhm0etAFeaedL.html,0,0.4
Hindiustan Times, Rumours rife as 2 Karnataka Congress MLAs skip meet,bengaluru news,2019-05-30,07:46:00,https://www.hindustantimes.com/india-news/rumours-rife-as-2-karnataka-congress-mlas-skip-meet/story-1m9HdHXQikFAX4jAo2uv8O.html,1,0.22
Hindiustan Times, Karnataka Congress issues whip as it looks to stymie rebels,bengaluru news,2019-02-06,07:00:00,https://www.hindustantimes.com/bengaluru/karnataka-congress-issues-whip-as-it-looks-to-stymie-rebels/story-2DBEdFTzXmkn7oYyoON6aI.html,1,0.18
Hindiustan Times, Four Karnataka Congress MLAs refuse to budge despite issuing whip,bengaluru news,2019-02-07,09:13:00,https://www.hindustantimes.com/india-news/four-karnataka-congress-mlas-refuse-to-budge-despite-issuing-whip/story-AW7Q52w3yzIFSZHpWNAx2M.html,1,0.22
Hindiustan Times, On the run for a month Karnataka Congress MLA arrested in Gujarat,bengaluru news,2019-02-21,07:33:00,https://www.hindustantimes.com/india-news/on-the-run-for-a-month-karnataka-congress-mla-arrested-in-gujarat/story-5ESru5W6CX6x8ebIbaOXRK.html,1,0.16
Hindiustan Times, Deve Gowda warns Congress to control its MLAs,bengaluru news,2019-01-30,22:24:00,https://www.hindustantimes.com/lok-sabha-elections/deve-gowda-warns-congress-to-control-its-mlas/story-RQjNm86jI8jrgWLXqIuWUM.html,1,0.16
Hindiustan Times, Missing MLAs haunt Karnataka govt as it readies to present budget tomorrow,bengaluru news,2019-02-07,14:50:00,https://www.hindustantimes.com/india-news/missing-mlas-haunt-karnataka-govt-as-it-readies-to-present-budget-tomorrow/story-M6wdayVVhuZEvQT9CRbNJM.html,1,0.21
Hindiustan Times, Rumours rife as 2 Karnataka Congress MLAs skip meet,bengaluru news,2019-05-30,07:46:00,https://www.hindustantimes.com/india-news/rumours-rife-as-2-karnataka-congress-mlas-skip-meet/story-1m9HdHXQikFAX4jAo2uv8O.html,1,0.2
Hindiustan Times, 4 missing Karnataka Congress MLAs return after several weeks,bengaluru news,2019-02-14,07:11:00,https://www.hindustantimes.com/india-news/missing-karnataka-congress-mla-ramesh-jarkiholi-reaches-bengaluru-report/story-0u5g1WPGB3kkSP0HbXvBpK.html,1,0.31
