Source,Heading,Category,Date,Time,URL,Cluster,cluster_similarity_value
Times of India, Congress hails Kamal Nath ’ s six month rule in MP terms him a silent worker,bhopal news,2019-06-17,14:55,https://timesofindia.indiatimes.com/city/bhopal/cong-hails-naths-6-month-rule-terms-him-a-silent-worker/articleshow/69817447.cms,0,0.37
NDTV, You Seem Unaware Of Our Schemes Kamal Naths Swipe At Gopal Bhargav,bhopal news,2019-05-22,14:54,https://www.ndtv.com/bhopal-news/you-seem-unaware-of-our-schemes-kamal-naths-swipe-at-gopal-bhargav-2041185,0,0.35
Times of India, Five day film festival Ekagra commences with Mrinal Sen ’ s Bengali gem ‘ Bhuvan Shome ’ in Bhopal,bhopal news,2019-06-17,14:55,https://timesofindia.indiatimes.com/city/bhopal/Five-day-film-festival-Ekagra-commences-with-Mrinal-Sens-Bengali-gem-Bhuvan-Shome-in-Bhopal/articleshow/47922291.cms,1,0.52
NDTV, Bhopal Police Official Shot Dead At His House Probe On,bhopal news,2019-05-01,14:54,https://www.ndtv.com/bhopal-news/bhopal-police-official-shot-dead-at-his-house-probe-on-2031577,2,1.0
Times of India, Historical mela hosted for women by women at Gohar Mahal in Bhopal,bhopal news,2019-06-17,14:55,https://timesofindia.indiatimes.com/city/bhopal/Historical-mela-hosted-for-women-by-women-at-Gohar-Mahal-in-Bhopal/articleshow/48030243.cms,3,0.25
Times of India, Four rape cases in 24 hours in Bhopal,bhopal news,2019-06-17,14:55,https://timesofindia.indiatimes.com/city/bhopal/four-rape-cases-in-24-hours/articleshow/69817471.cms,3,0.23
Times of India, Junior doctors in Bhopal join IMA stir medical services to be affected on Monday,bhopal news,2019-06-17,14:55,https://timesofindia.indiatimes.com/city/bhopal/jr-docs-join-ima-stir-medical-services-to-be-affected-today/articleshow/69817454.cms,3,0.25
Times of India, Priyanka Chopra Prakash Jha address the media at Gangaajal 2 press conference in Bhopal,bhopal news,2019-06-17,14:55,https://timesofindia.indiatimes.com/city/bhopal/Priyanka-Chopra-Prakash-Jha-address-the-media-at-Gangaajal-2-press-conference-in-Bhopal/articleshow/48030297.cms,3,0.25
NDTV, Man Accused Of Raping Killing Bhopal Girl Sent To Days Judicial Custody,bhopal news,2019-06-11,14:54,https://www.ndtv.com/bhopal-news/man-accused-of-raping-killing-bhopal-girl-sent-to-days-judicial-custody-2051589,3,0.26
Times of India, DRM develops four model railway crossings,bhopal news,2019-06-17,14:55,https://timesofindia.indiatimes.com/city/bhopal/drm-develops-four-model-railway-crossings/articleshow/69817472.cms,4,0.33
