Source,Heading,Category,Date,Time,URL,Cluster,cluster_similarity_value
The Hindu, Some lessons in composting waste,chennai news,2019-06-17,00:36:00,https://www.thehindu.com/news/cities/chennai/some-lessons-in-composting-waste/article27958473.ece,0,0.69
The Hindu, Corporation finds city is not ready yet for zero waste mission,chennai news,2019-06-17,00:32:00,https://www.thehindu.com/news/cities/chennai/corporation-finds-city-is-not-ready-yet-for-zero-waste-mission/article27958467.ece,0,0.38
The Hindu, Residents send out a graphic message,chennai news,2019-06-17,00:48:00,https://www.thehindu.com/news/cities/chennai/residents-send-out-a-graphic-message-abhiramapuram-3rd-street-lane/article27958569.ece,1,0.69
NDTV, Election Result India Not Just About Hindi Speaking States Stalins Message To BJP,chennai news,2019-05-25,14:54,https://www.ndtv.com/india-news/election-result-2019-dmk-chief-mk-stalin-sends-message-to-bjp-says-india-is-more-than-hindi-speaking-2042920,1,0.37
The Hindu, Can diabetes during pregnancy be managed,chennai news,2019-06-17,00:38:00,https://www.thehindu.com/news/cities/chennai/can-diabetes-during-pregnancy-be-managed/article27958477.ece,2,0.06
The Hindu, Worker dies after stone slab collapses on him,chennai news,2019-06-17,00:40:00,https://www.thehindu.com/news/cities/chennai/worker-dies-after-stone-slab-collapses-on-him/article27958481.ece,2,0.07
The Hindu, Youth murdered by armed gang,chennai news,2019-06-17,00:50:00,https://www.thehindu.com/news/cities/chennai/youth-murdered-by-armed-gang-royapettah-high-road/article27958577.ece,2,0.07
The Hindu, Heat wave conditions forecast in parts of north Tamil Nadu for two days,chennai news,2019-06-16,19:09:00,https://www.thehindu.com/news/national/tamil-nadu/heat-wave-conditions-forecast-in-parts-of-north-tamil-nadu-for-two-days/article27956610.ece,2,0.07
Times of India, Popular Tamil dramatist and screenwriter Crazy Mohan passes away,chennai news,2019-06-17,14:55,https://timesofindia.indiatimes.com/videos/city/chennai/popular-tamil-dramatist-and-screenwriter-crazy-mohan-passes-away/videoshow/69723876.cms,2,0.07
Times of India, Soundarya performed at the Rhapsody music concert at Lady Andal auditorium,chennai news,2019-06-17,14:55,https://timesofindia.indiatimes.com/city/chennai/soundarya-performed-at-the-rhapsody-music-concert-at-lady-andal-auditorium/articleshow/69387023.cms,2,0.06
Times of India, Tarini walked the ramp at Fashion Soirée showcased by Karun Raman at Aqua The Park,chennai news,2019-06-17,14:55,https://timesofindia.indiatimes.com/city/chennai/tarini-walked-the-ramp-at-fashion-soire-showcased-by-karun-raman-at-aqua-the-park/articleshow/69522080.cms,2,0.08
Times of India, Madurai School classrooms get attractive train compartment makeover,chennai news,2019-06-17,14:55,https://timesofindia.indiatimes.com/videos/city/chennai/madurai-school-classrooms-get-attractive-train-compartment-makeover/videoshow/69758260.cms,2,0.07
NDTV, Southern Railways Only English Or Hindi Order Scrapped After Criticism,chennai news,2019-06-14,14:54,https://www.ndtv.com/tamil-nadu-news/hindi-imposition-protest-southern-railway-only-english-or-hindi-order-scrapped-after-criticism-2053220,2,0.06
Times of India, Ganja peddlers leave streets to start life afresh,chennai news,2019-06-17,14:55,https://timesofindia.indiatimes.com/city/chennai/reformed-young-ganja-peddlers-leave-streets-to-start-life-afresh/articleshow/69818999.cms,2,0.07
The Hindu, Ambulance staff return ₹69 lakh retrieved from accident site,chennai news,2019-06-17,00:49:00,https://www.thehindu.com/news/cities/chennai/ambulance-staff-return-69-lakh-retrieved-from-accident-site/article27958574.ece,2,0.09
Times of India, Two boys freed from bondage near Chennai,chennai news,2019-06-17,14:55,https://timesofindia.indiatimes.com/city/chennai/two-boys-freed-from-bondage-near-chennai/articleshow/69820563.cms,3,0.12
Indian Express, Chennai Homosexual arrested for chopping off genitals of two men,chennai news,2019-06-13,12:05:20:00,https://indianexpress.com/article/cities/chennai/chennai-homosexual-arrested-for-chopping-off-genitals-of-two-men-5778396/,3,0.1
NDTV, Eight Year Old Chennai Boy Can Read Write Over 106 Languages,chennai news,2019-05-21,14:54,https://www.ndtv.com/chennai-news/eight-year-old-chennai-polyglot-can-read-write-over-106-languages-2040422,3,0.1
NDTV, Lawyers Techies Keep Round The Clock Vigil In DMK War Room In Chennai,chennai news,2019-03-28,14:54,https://www.ndtv.com/tamil-nadu-news/dmk-war-room-in-chennai-keeps-round-the-clock-vigil-on-rival-party-candidates-ahead-of-elections-2013989,3,0.1
Times of India, Mehndi spotted checking out trendy accessories at the Style Bazaar exhibition at Hyatt Regency,chennai news,2019-06-17,14:55,https://timesofindia.indiatimes.com/city/chennai/mehndi-spotted-checking-out-trendy-accessories-at-the-style-bazaar-exhibition-at-hyatt-regency/articleshow/69663780.cms,3,0.09
