Source,Heading,Category,Date,Time,URL,Cluster,cluster_similarity_value
NDTV, Charges To Be Framed Against Goa Congress Legislator In Rape Case,goa news,2019-06-04,14:54,https://www.ndtv.com/goa-news/charges-to-be-framed-against-goa-congress-legislator-atanasio-monserrate-in-rape-case-2047437,0,0.39
NDTV, Goa Congress Accuses BJP Of Luring Its Lawmakers With Crores Of Rupees,goa news,2019-06-09,14:54,https://www.ndtv.com/goa-news/goa-congress-accuses-bjp-of-luring-its-lawmakers-with-crores-of-rupees-2050613,0,0.37
NDTV, 2 Men Arrested For Allegedly Raping 40 Year Old Woman In Goa,goa news,2019-06-14,14:54,https://www.ndtv.com/goa-news/2-men-arrested-for-allegedly-raping-40-year-old-woman-in-goa-2053386,0,0.38
Times of India, Goans take part in Walkathon,goa news,2019-06-17,14:55,https://timesofindia.indiatimes.comhttp://photogallery.indiatimes.com/events/goa/goans-take-part-in-walkathon/articleshow/69163366.cms,1,0.38
NDTV, StandUpForYourself Goan Artists Video On Women Safety Goes Viral,goa news,2019-06-06,14:54,https://www.ndtv.com/goa-news/goa-artistes-durga-gawde-video-on-women-safety-goes-viral-2049234,1,0.33
Times of India, Urvee Adhikaari launches debut collection at India Beach Fashion Week in Goa,goa news,2019-06-17,14:55,https://timesofindia.indiatimes.com/city/goa/Urvee-Adhikaari-launches-debut-collection-at-India-Beach-Fashion-Week-in-Goa/articleshow/49619126.cms,2,0.5
Times of India, PB Lifestyle Ltd organised an opening party over the launch of its new beach club in Goa,goa news,2019-06-17,14:55,https://timesofindia.indiatimes.com/city/goa/Mumbai-based-company-PB-Lifestyle-Ltd-launched-its-new-beach-club-called-Sunset-Ashram-at-Ashwem-Beach-in-North-Goa/articleshow/28593026.cms,2,0.41
Times of India, Pulkit Samrat meets winners of Times Women ’ s Drive at Zuri White Sands in South Goa,goa news,2019-06-17,14:55,https://timesofindia.indiatimes.com/city/goa/Pulkit-Samrat-meets-winners-of-Times-Womens-Drive-at-Zuri-White-Sands-in-South-Goa/articleshow/51360137.cms,3,0.6
NDTV, Goa Chief Minister Warns Poor But No Stern Words For Casinos Congress,goa news,2019-06-13,14:54,https://www.ndtv.com/goa-news/goa-chief-minister-pramod-sawant-warns-poor-but-no-stern-words-for-casinos-congress-2052643,4,0.37
NDTV, Watch Goa Chief Minister Censures Man For Dumping Waste In River,goa news,2019-06-11,14:54,https://www.ndtv.com/goa-news/goa-chief-minister-censures-man-for-dumping-waste-in-river-2051409,4,0.35
NDTV, At NITI Ayog Meet Goa Chief Minister Pushes For Rainwater Harvesting,goa news,2019-06-16,14:54,https://www.ndtv.com/goa-news/at-niti-ayog-meet-goa-chief-minister-pushes-for-rainwater-harvesting-2054097,4,0.35
NDTV, Goa Chief Minister Seeks Report On Case Against Congress Legislator,goa news,2019-06-02,14:54,https://www.ndtv.com/goa-news/goa-chief-minister-seeks-report-on-case-against-congress-legislator-2046721,4,0.35
NDTV, Watch Coast Guard Helicopter Rescues Man From Drowning Off Goa,goa news,2019-06-13,14:54,https://www.ndtv.com/goa-news/watch-coast-guard-helicopter-rescues-man-from-drowning-off-goa-2052857,5,1.0
