Source,Heading,Category,Date,Time,URL,Cluster,cluster_similarity_value
NDTV, Hyderabad Bar Dancer Allegedly Stripped For Refusing Sex With Customers,hyderabad news,2019-06-17,14:54,https://www.ndtv.com/hyderabad-news/bar-dancer-stripped-thrashed-for-refusing-sexual-favours-to-customers-in-hyderabad-2054381,0,0.5
NDTV, Woman Allegedly Stranded In Riyadh Family Seeks Sushma Swarajs Help,hyderabad news,2019-05-15,14:54,https://www.ndtv.com/india-news/hyderabad-woman-allegedly-stranded-in-riyadh-family-seeks-sushma-swarajs-help-2037722,0,0.39
The Hindu, Provide basic amenities to evacuated tribal families HC,hyderabad news,2019-06-17,08:02:00,https://www.thehindu.com/news/national/telangana/provide-basic-amenities-to-16-evacuated-tribal-families-hc/article27958030.ece,1,0.67
The Hindu, Four of a Telugu family found dead in US,hyderabad news,2019-06-17,07:58:00,https://www.thehindu.com/news/cities/Hyderabad/four-telugus-found-dead-in-us/article27958333.ece,1,0.33
Times of India, Hyderabadis headbanging and death growling for the win,hyderabad news,2019-06-17,14:55,https://timesofindia.indiatimes.com/city/hyderabad/Hyderabadis-headbanging-and-death-growling-for-the-win/articleshow/53928733.cms,2,0.29
Times of India, Hyderabadi cricketer T Suman gets hitched to his lady love,hyderabad news,2019-06-17,14:55,https://timesofindia.indiatimes.com/city/hyderabad/Hyderabadi-cricketer-T-Suman-gets-hitched-to-his-lady-love/articleshow/53885776.cms,2,0.28
The Hindu, Assisting the poor in their loved ones ’ last journey,hyderabad news,2019-06-16,21:42:00,https://www.thehindu.com/news/cities/Hyderabad/assisting-the-poor-in-their-loved-ones-last-journey/article27957571.ece,2,0.29
Times of India, A fairy tale reception for cricketer T Suman Julaiikha at Park Hyatt in Hyderabad,hyderabad news,2019-06-17,14:55,https://timesofindia.indiatimes.com/city/hyderabad/A-fairy-tale-reception-for-cricketer-T-Suman-Julaiikha-at-Park-Hyatt-in-Hyderabad/articleshow/54052080.cms,2,0.32
NDTV, Mohd Azharuddin Hits Out Over Demolition Of 200 Year Old Hyderabad Masjid,hyderabad news,2019-05-13,14:54,https://www.ndtv.com/telangana-news/mohammad-azharuddin-hits-out-over-demolition-of-200-year-old-hyderabad-masjid-2037109,3,0.41
The Hindu, ‘ Bring in legislation to protect domestic workers ’,hyderabad news,2019-06-17,07:59:00,https://www.thehindu.com/news/national/telangana/bring-in-legislation-to-protect-domestic-workers/article27958142.ece,4,1.0
