Source,Heading,Category,Date,Time,URL,Cluster,cluster_similarity_value
Hindiustan Times, Temperature crosses 50°C in Churu as heatwave continues,jaipur news,2019-06-04,07:32:00,https://www.hindustantimes.com/india-news/temperature-crosses-50-c-in-churu-as-heatwave-continues/story-n8572jTNwKh88EiDIZj3dK.html,0,0.3
Times of India, Illegal mining continues unabated in Rajasthans Kardhani,jaipur news,2019-06-17,14:55,https://timesofindia.indiatimes.com/videos/city/jaipur/illegal-mining-continues-unabated-in-rajasthans-kardhani/videoshow/69785247.cms,0,0.21
NDTV, Rajasthan Woman Thrashed Stripped Walks Naked To Police Station In Churu,jaipur news,2019-05-13,14:54,https://www.ndtv.com/jaipur-news/rajasthan-woman-thrashed-stripped-by-in-laws-walks-naked-to-police-station-in-churu-2036758,0,0.22
Hindiustan Times, As Churu district reels under heatwave leave of doctors cancelled,jaipur news,2019-06-08,12:00:00,https://www.hindustantimes.com/jaipur/as-churu-district-reels-under-heatwave-leave-of-doctors-cancelled/story-bciEJZFAZt18k9lMYHxA0J.html,0,0.23
Times of India, Showers on Sunday bring down temperature,jaipur news,2019-06-17,14:55,https://timesofindia.indiatimes.com/city/jaipur/showers-on-sunday-bring-down-temps/articleshow/69817297.cms,0,0.19
Hindiustan Times, ‘ Severe heatwave ’ conditions kill three in Barmer Police,jaipur news,2019-06-05,16:35:00,https://www.hindustantimes.com/jaipur/severe-heatwave-conditions-kills-three-in-barmer-police/story-piZY55RSz0qbgv5bglqXAN.html,0,0.23
Hindiustan Times, Rajasthan CM Ashok Gehlot orders high level probe into Sariska tiger ’ s death,jaipur news,2019-06-15,09:28:00,https://www.hindustantimes.com/jaipur/rajasthan-cm-ashok-gehlot-orders-high-level-probe-into-sariska-tiger-s-death/story-hyajCbtnkPGNcSGCqBiatK.html,1,0.19
Hindiustan Times, Tiger ST 16 in Sariska Reserve died of heat stroke Forest department,jaipur news,2019-06-10,12:32:00,https://www.hindustantimes.com/jaipur/tiger-st-16-in-sariska-reserve-died-of-heat-stroke-forest-department/story-B0U6SmXXQxZWTevwDM6fiN.html,1,0.2
Hindiustan Times, Rajasthan CM Ashok Gehlot orders high level probe into Sariska tiger ’ s death,jaipur news,2019-06-15,09:28:00,https://www.hindustantimes.com/jaipur/rajasthan-cm-ashok-gehlot-orders-high-level-probe-into-sariska-tiger-s-death/story-hyajCbtnkPGNcSGCqBiatK.html,1,0.22
Hindiustan Times, Audit shows 69 of swine flu deaths in Rajasthan were in ‘ high risk group ’,jaipur news,2019-06-05,14:15:00,https://www.hindustantimes.com/jaipur/audit-shows-69-of-swine-flu-deaths-in-rajasthan-were-in-high-risk-group/story-d8JugDTugML1BhguBlQzXK.html,1,0.25
Hindiustan Times, Congress MLA gets notice for remarks against Rajasthan CM Ashok Gehlot,jaipur news,2019-06-07,12:25:00,https://www.hindustantimes.com/india-news/congress-mla-gets-notice-for-remarks-against-ashok-gehlot/story-NNYB78d09drkrithWbeVDJ.html,1,0.2
Times of India, Rajasthan CM Ashok Gehlot orders police to give courteous patient hearing to complainants,jaipur news,2019-06-17,14:55,https://timesofindia.indiatimes.com/videos/city/jaipur/rajasthan-cm-ashok-gehlot-orders-police-to-give-courteous-patient-hearing-to-complainants/videoshow/69760457.cms,1,0.38
Times of India, Music and food on their mind Sanam band woos Jaipurs old and young alike,jaipur news,2019-06-17,14:55,https://timesofindia.indiatimes.com/city/jaipur/music-and-food-on-their-mind-sanam-band-woos-jaipurs-old-and-young-alike/articleshow/62778054.cms,2,0.08
NDTV, Patient Suffocated To Death In Major Fire At Jaipur Hospital Alleges Family,jaipur news,2019-05-10,14:54,https://www.ndtv.com/jaipur-news/patient-suffocated-to-death-in-major-fire-at-jaipur-hospital-says-family-2035719,2,0.07
Hindiustan Times, Rajasthan drops RSS ideologue ’ s name from scholarship test triggers row,jaipur news,2019-06-06,10:07:00,https://www.hindustantimes.com/india-news/rajasthan-government-drops-deendayal-upadhyay-s-name-from-scholarship-test/story-5oZS6WNfstftoq62EDXm4J.html,2,0.18
Times of India, Tiger ST 16 dies post tranquillisation in Rajasthan ’ s Alwar,jaipur news,2019-06-17,14:55,https://timesofindia.indiatimes.com/videos/city/jaipur/tiger-st-16-dies-after-tranquillisation-in-rajasthans-alwar/videoshow/69712015.cms,2,0.1
Times of India, 45 varieties of mango on display at exhibition in Rajasthan ’ s Banswara,jaipur news,2019-06-17,14:55,https://timesofindia.indiatimes.com/videos/city/jaipur/45-varieties-of-mango-on-display-at-exhibition-in-rajasthans-banswara/videoshow/69707257.cms,2,0.1
NDTV, 20 Year Old Woman Gang Raped In Jaipur,jaipur news,2019-05-23,14:54,https://www.ndtv.com/india-news/20-year-old-woman-gang-raped-in-jaipur-2041818,2,0.09
