Source,Heading,Category,Date,Time,URL,Cluster,cluster_similarity_value
Times of India, Heatwave conditions prevail in Jammu,jammu news,2019-06-17,14:55,https://timesofindia.indiatimes.com/city/jammu/heatwave-conditions-prevail-in-jammu/articleshow/69701290.cms,0,0.42
NDTV, Jammu University Sets Up 3 Centres For Entrepreneurship Skill Development,jammu news,2019-06-01,14:54,https://www.ndtv.com/education/jammu-university-sets-up-3-centres-for-entrepreneurship-skill-development-2046417,0,0.37
NDTV, Kashmir Officer Found Hanging From Ceiling In Apartment,jammu news,2019-05-15,14:54,https://www.ndtv.com/jammu-news/jammu-kashmir-officer-found-hanging-from-ceiling-in-apartment-2037754,1,0.38
Times of India, Jammu and Kashmir bank case I T officials raid offices locations linked to Dy Mayor of Srinagar,jammu news,2019-06-17,14:55,https://timesofindia.indiatimes.com/city/jammu/jammu-and-kashmir-bank-case-i-t-officials-raid-offices-locations-linked-to-dy-mayor-of-srinagar/articleshow/69738212.cms,1,0.37
Times of India, Verdict in Kathua rape murder case expected by June 10,jammu news,2019-06-17,14:55,https://timesofindia.indiatimes.com/city/jammu/verdict-in-kathua-rape-murder-case-expected-by-june-10/articleshow/69644641.cms,1,0.37
Times of India, 7 arrested for cattle smuggling,jammu news,2019-06-17,14:55,https://timesofindia.indiatimes.com/city/jammu/7-arrested-for-cattle-smuggling/articleshow/69798916.cms,2,0.49
Times of India, HC relief to family of CRPF man who died of cardiac arrest in operational area,jammu news,2019-06-17,14:55,https://timesofindia.indiatimes.com/city/jammu/hc-relief-to-family-of-crpf-man-who-died-of-cardiac-arrest-in-operational-area/articleshow/69686040.cms,2,0.35
Times of India, Drug peddler who gave police the slip held in Jammu,jammu news,2019-06-17,14:55,https://timesofindia.indiatimes.com/city/jammu/drug-peddler-who-gave-police-the-slip-held-in-jammu/articleshow/69681806.cms,3,0.57
Times of India, 11 drug peddlers held in separate incidents in Jammu,jammu news,2019-06-17,14:55,https://timesofindia.indiatimes.com/city/jammu/11-drug-peddlers-held-in-separate-incidents-in-jammu/articleshow/69618346.cms,3,0.55
Times of India, Drug peddler arrested in Jammu,jammu news,2019-06-17,14:55,https://timesofindia.indiatimes.com/city/jammu/drug-peddler-arrested-in-jammu/articleshow/69630139.cms,3,0.54
NDTV, Army Arrests 2 Suspects Near Ratnuchak Military Station In Jammu,jammu news,2019-05-29,14:54,https://www.ndtv.com/india-news/2-arrested-near-ratnuchak-area-military-station-in-jammu-2044578,4,0.38
NDTV, Two Students Of Armys Samba Super 40 Cleared AFCAT Exam,jammu news,2019-05-07,14:54,https://www.ndtv.com/education/two-students-of-armys-samba-super-40-cleared-afcat-exam-2034105,4,0.33
Times of India, Jammu and Kashmir power department launches crackdown on illegal connection holders books 825 people,jammu news,2019-06-17,14:55,https://timesofindia.indiatimes.com/city/jammu/jammu-and-kashmir-power-department-launches-crackdown-on-illegal-connection-holders-books-825-people/articleshow/69722238.cms,5,0.12
Times of India, Jammu and Kashmir 14 injured after bus overturns ITBP officers come to rescue,jammu news,2019-06-17,14:55,https://timesofindia.indiatimes.com/city/jammu/jammu-and-kashmir-14-injured-after-bus-overturns-itbp-officers-come-to-rescue/articleshow/69785669.cms,5,0.19
NDTV, 6 Dead After Bus Skids Into Gorge In Jammu and Kashmir,jammu news,2019-03-02,14:54,https://www.ndtv.com/india-news/srinagar-bound-bus-falls-into-gorge-6-dead-2001532,5,0.14
Times of India, Teen washed away in river in Jammu and Kashmirs Doda,jammu news,2019-06-17,14:55,https://timesofindia.indiatimes.com/city/jammu/teen-washed-away-in-river-in-jammu-and-kashmirs-doda/articleshow/69810530.cms,5,0.16
Times of India, Jammu Kashmir Four killed nine injured after vehicle falls into gorge,jammu news,2019-06-17,14:55,https://timesofindia.indiatimes.com/city/jammu/jammu-kashmir-four-killed-nine-injured-after-vehicle-falls-into-gorge/articleshow/69593879.cms,5,0.17
NDTV, Letter Threatening To Kill PM Received At BJPs Jaipur Office,jammu news,2019-06-03,14:54,https://www.ndtv.com/jammu-news/letter-threatening-to-kill-pm-narendra-modi-received-at-bjps-jaipur-office-2046911,5,0.21
NDTV, Deafening Sound Rattled Bus Stand Victims Recount Jammu Grenade Attack,jammu news,2019-03-08,14:54,https://www.ndtv.com/jammu-news/jammu-grenade-attack-victims-recount-bus-stand-explosion-2004880,6,0.59
NDTV, People Living Along International Border In J K To Get Reservation Benefits,jammu news,2019-02-22,14:54,https://www.ndtv.com/india-news/people-living-along-international-border-in-j-k-to-get-reservation-benefits-1997411,7,0.52
Times of India, Choudhary Lal Singh welcomes Jammu and Kashmir delimitation suggestion,jammu news,2019-06-17,14:55,https://timesofindia.indiatimes.com/city/jammu/choudhary-lal-singh-welcomes-jammu-and-kashmir-delimitation-suggestion/articleshow/69686730.cms,8,1.0
NDTV, Massive Fire Razes 150 Shanties Of Labourers Rohingya In Jammu,jammu news,2019-06-03,14:54,https://www.ndtv.com/jammu-news/massive-fire-razes-150-shanties-of-labourers-rohingyas-in-jammu-2047121,9,1.0
NDTV, Srinagar Hotels Welcome Stranded Visitors Praised By Omar Abdullah,jammu news,2019-02-28,14:54,https://www.ndtv.com/india-news/free-hotel-stay-for-stranded-tourists-in-srinagar-gets-omar-praise-2000663,10,1.0
Times of India, Two cops suspended one sent to police lines after drug peddlar escapes from custody in Jammu and Kashmir,jammu news,2019-06-17,14:55,https://timesofindia.indiatimes.com/city/jammu/two-cops-suspended-one-sent-to-police-lines-after-drug-peddlar-escapes-from-custody-in-jammu-and-kashmir/articleshow/69660894.cms,11,0.59
NDTV, Over 16 85 Lakh Voters To Decide Fate Of 12 Candidates In Udhampur,jammu news,2019-04-09,14:54,https://www.ndtv.com/india-news/over-16-85-lakh-voters-to-decide-fate-of-12-candidates-in-udhampur-2020196,12,1.0
Times of India, 2052 houses okayed under PMAY in Jammu,jammu news,2019-06-17,14:55,https://timesofindia.indiatimes.com/city/jammu/2052-houses-okayed-under-pmay-in-jammu/articleshow/69673754.cms,13,1.0
