Source,Heading,Category,Date,Time,URL,Cluster,cluster_similarity_value
The Hindu, Doctors strike Senior doctors resign en masse across West Bengal,kolkata news,2019-06-14,21:14:00,https://www.thehindu.com/news/cities/kolkata/doctors-strike-senior-doctors-resign-en-masse-across-west-bengal/article27914637.ece,0,0.2
Times of India, Tollygunge Club hosts the 15th Eastern India inter school golf tournament,kolkata news,2019-06-17,14:55,https://timesofindia.indiatimes.comhttp://photogallery.indiatimes.com/events/kolkata/tollygunge-club-hosts-the-15th-eastern-india-inter-school-golf-tournament/articleshow/69737924.cms,0,0.09
Hindiustan Times, Patients suffer as protest intensifies in West Bengal,kolkata news,2019-06-15,01:31:00,https://www.hindustantimes.com/kolkata/patients-suffer-as-protest-intensifies-in-west-bengal/story-v4Cngz1Sgt4iTqpSpJZeyH.html,0,0.19
Indian Express, ‘ We have accepted all demands ’ says Mamata as Centre seeks report from Bengal govt on doctors ’ strike,kolkata news,2019-06-15,20:00:50:00,https://indianexpress.com/article/cities/kolkata/west-bengal-doctors-strike-mamata-banerjee-nrs-hospital-harsh-vardhan-home-ministry-5782288/,0,0.18
The Hindu, Humanity to secular these West Bengal colleges allow faith options,kolkata news,2019-06-09,00:40:00,https://www.thehindu.com/news/national/humanity-to-secular-these-west-bengal-colleges-allow-faith-options/article27699069.ece,0,0.14
Times of India, Black box of crashed AN 32 transport aircraft recovered at crash site,kolkata news,2019-06-17,14:55,https://timesofindia.indiatimes.com/videos/city/kolkata/black-box-of-crashed-an-32-transport-aircraft-recovered-at-crash-site/videoshow/69773206.cms,0,0.09
The Hindu, NHRC notice to police over assault on scribe,kolkata news,2019-06-15,01:35:00,https://www.thehindu.com/news/cities/kolkata/nhrc-notice-to-police-over-assault-on-scribe/article27944681.ece,0,0.11
Hindiustan Times, Richa Singh of Kolkata who bagged 4th rank in ISC exam made DCP for a day Here ’ s what happened next,kolkata news,2019-05-09,12:29:00,https://www.hindustantimes.com/education/richa-singh-of-kolkata-who-bagged-4th-rank-in-isc-exam-made-dcp-for-a-day-here-s-what-happened-next/story-XS4LszjwsrviR6sHSGLm9O.html,1,0.38
Indian Express, Kolkata Doctors refuse to meet Mamata Banerjee as strike enters fifth day,kolkata news,2019-06-15,15:56:23:00,https://indianexpress.com/article/cities/kolkata/kolkata-doctors-strike-refuse-to-meet-mamata-banerjee-5782113/,1,0.29
Times of India, West Bengal medical college violence Doctors refuse to meet Mamata Banerjee,kolkata news,2019-06-17,14:55,https://timesofindia.indiatimes.com/videos/city/kolkata/west-bengal-medical-college-violence-doctors-refuse-to-meet-mamata-banerjee/videoshow/69797946.cms,1,0.42
Hindiustan Times, Lok Sabha election result 2019 ‘ All losers are not losers ’ tweets Mamata Banerjee after BJP makes big gains in Bengal,kolkata news,2019-05-23,16:24:00,https://www.hindustantimes.com/lok-sabha-elections/lok-sabha-election-result-2019-all-losers-are-not-losers-tweets-mamata-banerjee-after-bjp-makes-big-gains-in-bengal/story-4zXAmJb8Mpe1ts7FWbT9qN.html,2,0.16
Times of India, BJP trio held for TMC mans murder in Hooghly,kolkata news,2019-06-17,14:55,https://timesofindia.indiatimes.com/city/kolkata/bjp-trio-arrested-for-tmc-mans-murder-in-hooghly/articleshow/69817838.cms,2,0.13
Hindiustan Times, Lok Sabha elections 2019 A new challenge for Mamata Banerjee on home turf,kolkata news,2019-05-24,08:15:00,https://www.hindustantimes.com/lok-sabha-elections/lok-sabha-elections-2019-a-new-challenge-for-mamata-banerjee-on-home-turf/story-CsJAaatPGo3QAFaZ8sOH6H.html,2,0.16
Hindiustan Times, Lok Sabha elections 2019 Is TMC ’ s hold on tribal areas slipping,kolkata news,2019-05-12,07:39:00,https://www.hindustantimes.com/lok-sabha-elections/lok-sabha-elections-2019-is-tmc-s-hold-on-tribal-areas-slipping/story-1LZrNpnFvLDgqBfnMKlPjP.html,2,0.12
Hindiustan Times, Lok Sabha elections 2019 Northern western parts propel BJP show,kolkata news,2019-05-24,08:18:00,https://www.hindustantimes.com/lok-sabha-elections/lok-sabha-elections-2019-northern-western-parts-propel-bjp-show/story-ANuqGQePT3oZTuJ0xnMrmI.html,2,0.16
Hindiustan Times, Lok Sabha election results 2019 Behind BJP ’ s Bengal inroads months of planning silent toil,kolkata news,2019-05-24,14:39:00,https://www.hindustantimes.com/lok-sabha-elections/lok-sabha-election-results-2019-behind-bjp-s-bengal-inroads-months-of-planning-silent-toil/story-a0ctCiNGEKzQA8EFIyVezJ.html,2,0.15
Hindiustan Times, Lok Sabha elections 2019 Opposition attacks TMC after clashes firing,kolkata news,2019-04-30,07:22:00,https://www.hindustantimes.com/lok-sabha-elections/lok-sabha-elections-2019-oppn-attacks-tmc-after-clashes-firing/story-5S59Dh9auTYbeKzD4r9WoK.html,2,0.16
Hindiustan Times, Lok Sabha elections 2019 Campaigns curbed after fierce Bengal showdown,kolkata news,2019-05-17,12:55:00,https://www.hindustantimes.com/lok-sabha-elections/lok-sabha-elections-2019-campaigns-curbed-after-fierce-bengal-showdown/story-wJwEAGoyKlGI7crrJlzeIK.html,2,0.16
Hindiustan Times, Lok Sabha Elections 2019 Once ‘ invincible ’ Mamata Banerjee fiercely fighting for her turf,kolkata news,2019-05-23,09:03:00,https://www.hindustantimes.com/lok-sabha-elections/lok-sabha-elections-2019-once-invinicble-mamata-banerjee-fiercely-fighting-for-her-turf/story-YLeqlbQmrtgGx5sefhm3uN.html,2,0.2
Hindiustan Times, Shah alleges Didi made Bengal ‘ Kangal ’ TMC calls him ‘ low life ’,kolkata news,2019-05-14,07:54:00,https://www.hindustantimes.com/lok-sabha-elections/puke-worthy-on-amit-shah-s-kangal-bangla-remark-trinamool-s-reply/story-hTsr0RXPOwPXF0VWKZaY2J.html,2,0.14
Hindiustan Times, Lok Sabha elections 2019 Bombs hurled cars smashed as TMC BJP battle escalates,kolkata news,2019-05-20,07:37:00,https://www.hindustantimes.com/lok-sabha-elections/lok-sabha-elections-2019-bombs-hurled-cars-smashed-as-tmc-bjp-battle-escalates/story-9j5hI1ubGpBXOlPn1EP5lJ.html,2,0.15
Hindiustan Times, Lok Sabha elections 2019 Prestige battle between BJP and TMC on high profile seat in Bengal,kolkata news,2019-04-30,07:29:00,https://www.hindustantimes.com/lok-sabha-elections/lok-sabha-elections-2019-prestige-battle-between-bjp-and-tmc-on-high-profile-seat-in-bengal/story-tMNZgdk8sFlFe8LI7cbWWK.html,2,0.09
Hindiustan Times, WBBSE 10th Madhyamik result declared Check West Bengal board Class 10 results at wbbse org,kolkata news,2019-05-21,09:55:00,https://www.hindustantimes.com/education/wbbse-10th-madhyamik-result-declared-check-west-bengal-board-class-10-results-at-wbbse-org/story-GIIrPuyB90YxoxZn8QmZEK.html,3,0.34
Hindiustan Times, West Bengal Board Result 2019 WBBSE 10th Madhyamik result declared check it here,kolkata news,2019-05-21,10:10:00,https://www.hindustantimes.com/education/west-bengal-board-result-2019-date-wbbse-10th-madhyamik-result-to-be-declared-on-may-21-at-wbbse-org/story-51LWB0M4Nur6lT8xoWFnyK.html,3,0.41
Hindiustan Times, WBBSE 10th Madhyamik Result 2019 declared Here ’ s the direct link to check West Bengal Board Board result at wbresults nic in,kolkata news,2019-05-21,10:26:00,https://www.hindustantimes.com/education/wbbse-10th-madhyamik-result-2019-declared-here-s-the-direct-link-to-check-west-bengal-board-board-result-at-wbresults-nic-in/story-vgOhOg7QYoIm8RfPHmBFsN.html,3,0.24
Hindiustan Times, West Bengal board 10th result 2019 declared Saugata Das tops WBBSE matric exam with 99 14 marks,kolkata news,2019-05-21,14:56:00,https://www.hindustantimes.com/education/west-bengal-board-10th-result-2019-declared-saugata-das-tops-wbbse-matric-exam-with-99-14-marks/story-IbdD0yYIatrLshKu1bYqCP.html,3,0.48
NDTV, All India Doctors Strike Monday Centre Blames Mamata Banerjee 10 Facts,kolkata news,2019-06-14,14:54,https://www.ndtv.com/india-news/west-bengal-doctors-protest-spreads-health-services-hit-in-delhi-mumbai-hyderabad-2053030,4,0.12
