Source,Heading,Category,Date,Time,URL,Cluster,cluster_similarity_value
Hindiustan Times, ‘ Severe heat wave ’ conditions likely at some places in UP says Met department,lucknow news,2019-06-10,10:57:00,https://www.hindustantimes.com/lucknow/severe-heat-wave-conditions-likely-at-some-places-in-up-says-met-department/story-ulU2wISIYZ96yCvLnc15yH.html,0,0.39
Hindiustan Times, CBI raids 21 places including houses of ex UP minister ’ s kin,lucknow news,2019-06-13,08:15:00,https://www.hindustantimes.com/india-news/cbi-raids-21-places-including-houses-of-ex-up-minister-s-kin/story-QdEhf0FH3Oeaco2IPE79IO.html,0,0.37
Hindiustan Times, Decision on new UP BJP chief soon several names in contention,lucknow news,2019-06-13,11:23:00,https://www.hindustantimes.com/lucknow/decision-on-new-up-bjp-chief-soon-several-names-in-contention/story-Dvc7nHYHMRYQEmf2zd4qxN.html,0,0.37
Hindiustan Times, 7 year old raped murdered in Gorakhpur Accused held,lucknow news,2019-06-16,08:38:00,https://www.hindustantimes.com/lucknow/7-year-old-raped-murdered-in-gorakhpur-accused-held/story-JDopfjFIfMDRUSaqdI5yZL.html,1,0.39
Hindiustan Times, One person arrested for rape murder of 10 year old girl in UP ’ s Hamirpur,lucknow news,2019-06-10,11:15:00,https://www.hindustantimes.com/lucknow/one-person-arrested-for-rape-murder-of-10-year-old-girl-in-up-s-hamirpur/story-5hZYiCxMONtmLesSkg93LJ.html,1,0.26
NDTV, 17 Year Old Wrestler Charged For Molesting National Level Grappler,lucknow news,2019-06-14,14:54,https://www.ndtv.com/lucknow-news/lucknow-uttar-pradesh-17-year-old-wrestler-charged-for-molesting-national-level-grappler-2052950,1,0.24
Hindiustan Times, Yog to be a subject at school level AYUSH secretary,lucknow news,2019-06-16,08:30:00,https://www.hindustantimes.com/education/yog-to-be-a-subject-at-school-level-ayush-secretary/story-AXBDZchPjlJLfFiLXYfqgM.html,1,0.18
Hindiustan Times, Anticipatory bail provision back in UP after 43 years,lucknow news,2019-06-13,07:47:00,https://www.hindustantimes.com/india-news/anticipatory-bail-provision-back-in-up-after-43-years/story-2o4DgljLteKapkxg6GSoRM.html,1,0.2
Times of India, A fun filled evening for the ladies,lucknow news,2019-06-17,14:55,https://timesofindia.indiatimes.comhttp://photogallery.indiatimes.com/events/lucknow/a-fun-filled-evening-for-the-ladies/articleshow/69799979.cms,2,1.0
Indian Express, Agra Doctor among four arrested for conspiring to kill gym trainer,lucknow news,2019-06-17,10:47:26:00,https://indianexpress.com/article/cities/lucknow/doctor-among-four-arrested-for-conspiring-to-kill-gym-trainer-5783729/,3,0.28
