Source,Heading,Category,Date,Time,URL,Cluster,cluster_similarity_value
Times of India, Crackdown on plastic bags usage PPCB MC raid 80 shops in city,ludhiana news,2019-06-17,14:55,https://timesofindia.indiatimes.com/city/ludhiana/crackdown-on-plastic-bags-usage-ppcb-mc-raid-80-shops-in-city/articleshow/69817199.cms,0,0.5
NDTV, Four Killed In Factory Fire In Densely Populated Locality In Ludhiana,ludhiana news,2018-10-10,14:54,https://www.ndtv.com/ludhiana-news/four-killed-in-factory-fire-in-densely-populated-locality-in-punjabs-ludhiana-1929630,1,0.48
NDTV, Huge Fire Engulfs Ludhiana Factory 100 Fire Engines Used,ludhiana news,2018-04-27,14:54,https://www.ndtv.com/ludhiana-news/huge-fire-engulfs-ludhiana-factory-100-fire-engines-used-1843761,1,0.42
NDTV, Over 200 Milk Samples Fail Adulteration Test In Ludhiana,ludhiana news,2018-07-14,14:54,https://www.ndtv.com/ludhiana-news/over-200-milk-samples-fail-adulteration-test-in-ludhiana-1883322,1,0.42
Times of India, Labourer 25 booked day after wife hangs herself,ludhiana news,2019-06-17,14:55,https://timesofindia.indiatimes.com/city/ludhiana/labourer-25-booked-day-after-wife-hangs-herself/articleshow/69817113.cms,2,0.38
Times of India, Day temp to fall to 40C till Tuesday,ludhiana news,2019-06-17,14:55,https://timesofindia.indiatimes.com/city/ludhiana/day-temp-to-fall-to-40c-till-tuesday/articleshow/69817125.cms,2,0.4
Times of India, Dairy unit worker 35 found murdered on Hambran Road,ludhiana news,2019-06-17,14:55,https://timesofindia.indiatimes.com/city/ludhiana/dairy-unit-worker-35-found-murdered-on-hambran-road/articleshow/69817091.cms,3,0.56
Times of India, When municipal corporation commissioner knocks at doors in Joshi Nagar for segregation of waste,ludhiana news,2019-06-17,14:55,https://timesofindia.indiatimes.com/city/ludhiana/when-municipal-corporation-commissioner-knocks-at-doors-in-joshi-nagar-for-segregation-of-waste/articleshow/69822735.cms,4,0.56
Times of India, Father son accuse MLA aide of attacking them,ludhiana news,2019-06-17,14:55,https://timesofindia.indiatimes.com/city/ludhiana/father-son-accuse-mla-aide-of-attacking-them/articleshow/69817141.cms,5,0.57
NDTV, 1 Arrested In Connection With Rape Of 21 Yr Old Woman In Ludhiana,ludhiana news,2019-02-13,14:54,https://www.ndtv.com/ludhiana-news/1-arrested-in-connection-with-rape-of-21-yr-old-woman-in-ludhiana-1992637,6,0.31
Times of India, Man gets 5 year RI for attempt to murder,ludhiana news,2019-06-17,14:55,https://timesofindia.indiatimes.com/city/ludhiana/man-gets-5-year-ri-for-attempt-to-murder/articleshow/69817131.cms,6,0.29
NDTV, 25 Year Old Ludhiana Woman Serious After Acid Attack Police,ludhiana news,2018-11-17,14:54,https://www.ndtv.com/ludhiana-news/police-25-year-old-ludhiana-woman-serious-after-acid-attack-1948805,6,0.29
Times of India, Meeting fixed between taxation professionals dept officials,ludhiana news,2019-06-17,14:55,https://timesofindia.indiatimes.com/city/ludhiana/meeting-fixed-between-taxation-professionals-dept-officials/articleshow/69817257.cms,7,1.0
NDTV, Ludhianas Gurpreet Singh Tops Punjab Class 10 Board Exams Celebrations Follow,ludhiana news,2018-05-09,14:54,https://www.ndtv.com/cities/pseb-class-10-result-ludhiana-gurpreet-singh-tops-in-punjab-with-98-per-cent-1849395,8,0.29
NDTV, Punjab Class 7 Students Arm Stamped Over Failure To Pay School Fees,ludhiana news,2019-05-27,14:54,https://www.ndtv.com/ludhiana-news/ludhiana-punjab-class-7-students-arm-stamped-over-failure-to-pay-school-fees-2043810,8,0.29
NDTV, AAP Leaders Hold Protest Against Punjab Minister,ludhiana news,2019-03-05,14:54,https://www.ndtv.com/india-news/aap-leaders-hold-protest-against-punjab-minister-2003143,8,0.3
Times of India, Woman held for duping kidney patient of Rs15L accomplice on run,ludhiana news,2019-06-17,14:55,https://timesofindia.indiatimes.com/city/ludhiana/woman-held-for-duping-kidney-patient-of-rs15l-accomplice-on-run/articleshow/69817078.cms,9,0.53
Times of India, Teenage girl hangs self after tiff with brother,ludhiana news,2019-06-17,14:55,https://timesofindia.indiatimes.com/city/ludhiana/teenage-girl-hangs-self-after-tiff-with-brother/articleshow/69817213.cms,10,0.38
Times of India, Woman 35 dies brother hurt as house catches fire,ludhiana news,2019-06-17,14:55,https://timesofindia.indiatimes.com/city/ludhiana/woman-35-dies-brother-hurt-as-house-catches-fire/articleshow/69817106.cms,10,0.38
NDTV, Youth Brutally Killed As He Tried Saving Girl From Molesters In Ludhiana,ludhiana news,2018-09-21,14:54,https://www.ndtv.com/ludhiana-news/youth-brutally-killed-as-he-tried-saving-girl-from-molesters-in-ludhiana-1920163,10,0.38
Times of India, ‘ Scholarship SC staffers promotions issues pushed Dalits away from Congress ’,ludhiana news,2019-06-17,14:55,https://timesofindia.indiatimes.com/city/ludhiana/scholarship-sc-staffers-promotions-issues-pushed-dalits-away-from-cong/articleshow/69817807.cms,11,1.0
Times of India, PSPCL fires up thermal plants,ludhiana news,2019-06-17,14:55,https://timesofindia.indiatimes.com/city/ludhiana/pspcl-fires-up-thermal-plants-as-demand-shoots-back-to-10k-mw/articleshow/69817800.cms,12,1.0
NDTV, Fake Entertainment Bank Of India Cash Used To Buy Gold Worth Rs 2 Lakh,ludhiana news,2018-10-25,14:54,https://www.ndtv.com/ludhiana-news/fake-entertainment-bank-of-india-cash-used-to-buy-jewellery-worth-rs-2-lakh-1937238,13,1.0
NDTV, Number Of Deaths In Ludhiana Cylinder Blast Climbs To 7,ludhiana news,2018-05-02,14:54,https://www.ndtv.com/ludhiana-news/number-of-deaths-in-ludhiana-cylinder-blast-climbs-to-7-1845997,14,0.44
NDTV, Man Wanted In Shooting Case Jumps To Death As Police Raid To Catch Him,ludhiana news,2018-10-29,14:54,https://www.ndtv.com/ludhiana-news/man-wanted-in-shooting-case-jumps-to-death-as-police-raid-to-catch-him-1938990,14,0.42
