Source,Heading,Category,Date,Time,URL,Cluster,cluster_similarity_value
Hindiustan Times, To improve drinking water quality BMC to build STPs at areas polluting lake water,mumbai news,2019-06-16,02:42:00,https://www.hindustantimes.com/mumbai-news/to-improve-drinking-water-quality-bmc-to-build-stps-at-areas-polluting-lake-water/story-qA3J7hE6t0AUIpVCNVRr9N.html,0,0.29
Times of India, Nagpur 100 year old submerged well visible as Gorewada Lake dried up for the first time,mumbai news,2019-06-17,14:55,https://timesofindia.indiatimes.com/videos/city/mumbai/nagpur-100-year-old-submerged-well-visible-as-gorewada-lake-dried-up-for-the-first-time/videoshow/69802090.cms,0,0.26
Hindiustan Times, Wards must sort process their own waste says BMC,mumbai news,2019-06-17,02:28:00,https://www.hindustantimes.com/mumbai-news/wards-must-sort-process-their-own-waste-says-bmc/story-tgKlGshuL3X6KPAuBYFijI.html,0,0.26
NDTV, Parts Of Mumbai May Face 10 15 Per Cent Water Cut Till June 14,mumbai news,2019-06-12,14:54,https://www.ndtv.com/mumbai-news/parts-of-mumbai-may-face-10-15-per-cent-water-cut-till-june-14-2052362,0,0.27
Hindiustan Times, 28 yr old assaults bites cop at GTB Nagar station held,mumbai news,2019-06-17,08:34:00,https://www.hindustantimes.com/mumbai-news/28-yr-old-assaults-bites-cop-at-gtb-nagar-station-held/story-Tlbx6CDI7DvtNmCEMZOWAM.html,1,0.17
Hindiustan Times, Arm reattached man can now hold objects,mumbai news,2019-06-15,05:43:00,https://www.hindustantimes.com/mumbai-news/arm-reattached-man-can-now-hold-objects/story-zyIganZotLddTckYXwOxHO.html,1,0.17
Hindiustan Times, Of guns cobras and stories that don ’ t pop,mumbai news,2019-06-16,00:07:00,https://www.hindustantimes.com/mumbai-news/of-guns-cobras-and-stories-that-don-t-pop/story-yiE43PaRpT2YNRqKBq7jgK.html,1,0.16
Hindiustan Times, Man duped of Rs1L by ‘ customer care staff ’,mumbai news,2019-06-16,03:31:00,https://www.hindustantimes.com/mumbai-news/man-duped-of-rs1l-by-customer-care-staff/story-Yh2ww3PkoBaeFhO7jK02jN.html,1,0.18
NDTV, 62 Year Man Dies After Hoarding Falls On Him In Mumbai,mumbai news,2019-06-13,14:54,https://www.ndtv.com/mumbai-news/62-year-man-dies-after-hoarding-falls-on-him-in-mumbai-2052393,1,0.21
Indian Express, Mumbai Man held for stealing handbag with Rs 5 4 lakh valuables,mumbai news,2019-06-17,09:11:48:00,https://indianexpress.com/article/cities/mumbai/man-held-for-stealing-handbag-with-rs-5-4-lakh-valuables-5783583/,2,0.18
NDTV, Senior Cop Accused Of Accepting Rs 2 Lakh Bribe From Criminal Suspended,mumbai news,2019-06-13,14:54,https://www.ndtv.com/mumbai-news/senior-cop-accused-of-accepting-rs-2-lakh-bribe-from-criminal-suspended-2052937,2,0.16
Times of India, 2 lakh trees to be axed for e way,mumbai news,2019-06-17,14:55,https://timesofindia.indiatimes.comhttps://mumbaimirror.indiatimes.com/mumbai/other/2-lakh-trees-to-be-axed-for-e-way/articleshow/69818027.cms,2,0.19
Indian Express, Mumbai Two arrested for duping woman of Rs 1 05 lakh,mumbai news,2019-06-17,02:25:50:00,https://indianexpress.com/article/cities/mumbai/mumbai-two-arrested-for-duping-woman-of-rs-1-05-lakh-5783601/,2,0.15
NDTV, Man Accused Of Sexually Assaulting Boy Jumps Off Court Building Dies,mumbai news,2019-06-15,14:54,https://www.ndtv.com/mumbai-news/man-accused-of-sexually-assaulting-boy-jumps-off-court-building-dies-2053931,2,0.17
Hindiustan Times, Devendra Fadnavis to revamp his cabinet today Shiv Sena likely to get two new berths,mumbai news,2019-06-16,03:50:00,https://www.hindustantimes.com/mumbai-news/devendra-fadnavis-to-revamp-his-cabinet-today-shiv-sena-likely-to-get-two-new-berths/story-shvlpYG7mC9Gjrx4bdGmhJ.html,3,0.11
Times of India, Cabinet expansion in Maharashtra saw 13 new ministers inducted in Fadnavis government,mumbai news,2019-06-17,14:55,https://timesofindia.indiatimes.com/videos/city/mumbai/cabinet-expansion-in-maharashtra-saw-13-new-ministers-inducted-in-fadnavis-government/videoshow/69812240.cms,3,0.14
Indian Express, Maharashtra Cabinet expansion Bandra boy Ashish Shelar ’ s wait finally over,mumbai news,2019-06-17,09:26:59:00,https://indianexpress.com/article/cities/mumbai/maharashtra-cabinet-expansion-bandra-boy-ashish-shelars-wait-finally-over-5783625/,3,0.12
Hindiustan Times, Maharashtra cabinet reshuffle Vikhe Patil gets housing portfolio,mumbai news,2019-06-17,08:34:00,https://www.hindustantimes.com/mumbai-news/maharashtra-cabinet-reshuffle-vikhe-patil-gets-housing-portfolio/story-IpE5P1PC1IphxZCjXTBzkK.html,3,0.13
Times of India, Uddhav Thackeray 18 Shiv Sena MPs to visit Ayodhya on June 16,mumbai news,2019-06-17,14:55,https://timesofindia.indiatimes.com/videos/city/mumbai/uddhav-thackeray-18-shiv-sena-mps-to-visit-ayodhya-on-june-16/videoshow/69787513.cms,3,0.16
Hindiustan Times, Bring ordinance Sena will agitate for Ram temple says Uddhav Thackeray,mumbai news,2019-06-17,08:28:00,https://www.hindustantimes.com/lucknow/bring-ordinance-sena-will-agitate-for-ram-temple-says-uddhav-thackeray/story-I5HpfeC6x3H0tWG4sP44AN.html,3,0.15
Times of India, Watch CM Fadnavis inaugurates Chhatrapati Shivaji Maharaj ’ s statue,mumbai news,2019-06-17,14:55,https://timesofindia.indiatimes.com/videos/city/mumbai/watch-cm-fadnavis-inaugurates-chhatrapati-shivaji-maharajs-statue/videoshow/69781725.cms,3,0.15
Hindiustan Times, Maharashtra cabinet reshuffle Vikhe Patil gets housing portfolio,mumbai news,2019-06-17,08:34:00,https://www.hindustantimes.com/mumbai-news/maharashtra-cabinet-reshuffle-vikhe-patil-gets-housing-portfolio/story-IpE5P1PC1IphxZCjXTBzkK.html,3,0.16
Indian Express, Maharashtra Cabinet expansion After sacking clamour for action against BJP MLA grows,mumbai news,2019-06-17,09:19:51:00,https://indianexpress.com/article/cities/mumbai/maharashtra-cabinet-expansion-after-sacking-clamour-for-action-against-bjp-mla-grows-5783606/,3,0.2
The Hindu, School fee row parents call off stir after ZP letter,mumbai news,2019-06-15,23:30:00,https://www.thehindu.com/news/cities/mumbai/school-fee-row-parents-call-off-stir-after-zp-letter/article27951693.ece,4,0.05
The Hindu, IIW proposes unified norms for bridges,mumbai news,2019-06-17,01:59:00,https://www.thehindu.com/news/cities/mumbai/iiw-proposes-unified-norms-for-bridges/article27959264.ece,4,0.04
Times of India, Doctors gather to protest against attack on Kolkata junior doctors,mumbai news,2019-06-17,14:55,https://timesofindia.indiatimes.com/videos/city/mumbai/doctors-gather-to-protest-against-attack-on-kolkata-junior-doctors/videoshow/69786443.cms,4,0.05
Times of India, Vir Das hosts special screening of 31st October,mumbai news,2019-06-17,14:55,https://timesofindia.indiatimes.com/city/mumbai/Vir-Das-hosts-special-screening-of-31st-October/articleshow/54976690.cms,4,0.05
Times of India, Men In Black Promotions,mumbai news,2019-06-17,14:55,https://timesofindia.indiatimes.comhttp://photogallery.indiatimes.com/events/mumbai/men-in-black-promotions/articleshow/69789902.cms,4,0.05
Hindiustan Times, SC relief for Dhananjay Munde in alleged illegal purchase of land in Beed,mumbai news,2019-06-15,05:38:00,https://www.hindustantimes.com/mumbai-news/sc-relief-for-dhananjay-munde-in-alleged-illegal-purchase-of-land-in-beed/story-L64NeQQkw95Nacx1gjQFEJ.html,4,0.04
The Hindu, Institute for budding politicians enters third year,mumbai news,2019-06-17,07:33:00,https://www.thehindu.com/news/cities/mumbai/institute-for-budding-politicians-enters-third-year/article27961023.ece,4,0.05
Times of India, Celebs participate in Run for The Oceans 2019 event,mumbai news,2019-06-17,14:55,https://timesofindia.indiatimes.comhttp://photogallery.indiatimes.com/events/mumbai/celebs-participate-in-run-for-the-oceans-2019-event/articleshow/69771281.cms,4,0.04
Indian Express, BJP ignoring party members promoting outsiders Khadse,mumbai news,2019-06-17,03:03:02:00,https://indianexpress.com/article/cities/mumbai/bjp-ignoring-party-members-promoting-outsiders-khadse-5783634/,4,0.04
Hindiustan Times, 1 year on murder of wine shop owner in Goregaon unsolved,mumbai news,2019-06-17,08:35:00,https://www.hindustantimes.com/mumbai-news/1-year-on-murder-of-wine-shop-owner-in-goregaon-unsolved/story-h2icDG5VziIy5lZLZZk0dK.html,4,0.06
The Hindu, A night to remember Khusrau and Kabir,mumbai news,2019-06-17,01:35:00,https://www.thehindu.com/news/cities/mumbai/a-night-to-remember-khusrau-and-kabir/article27959049.ece,4,0.05
Hindiustan Times, Truck runs over 30 yr old biker in Bhiwandi,mumbai news,2019-06-17,02:41:00,https://www.hindustantimes.com/mumbai-news/truck-runs-over-30-yr-old-biker-in-bhiwandi/story-lWnpU42lH6UEqvt5PjUZ6L.html,4,0.06
Hindiustan Times, Did law of land cost Prakash Mehta post of housing minister,mumbai news,2019-06-17,02:17:00,https://www.hindustantimes.com/mumbai-news/did-law-of-land-cost-prakash-mehta-post-of-housing-minister/story-N2HMR3IiexD8Ep2HH0MHKL.html,4,0.04
Hindiustan Times, FGC survivors share their stories to bring about change,mumbai news,2019-06-16,02:48:00,https://www.hindustantimes.com/mumbai-news/fgc-survivors-share-their-stories-to-bring-about-change/story-u8YXBX7kah8Le10HZi3eSM.html,4,0.06
Times of India, Comedians perform at Past Forward event,mumbai news,2019-06-17,14:55,https://timesofindia.indiatimes.comhttp://photogallery.indiatimes.com/events/mumbai/comedians-perform-at-past-forward-event/articleshow/69785440.cms,4,0.06
Hindiustan Times, Cut offs lowered more students qualify for admission to IITs,mumbai news,2019-06-15,07:37:00,https://www.hindustantimes.com/education/cut-offs-lowered-more-students-qualify-for-admission-to-iits/story-VXSIYqU951dLcA6uJJErwL.html,4,0.06
The Hindu, Speeding dumper halts traffic on Sion Panvel road,mumbai news,2019-06-15,23:34:00,https://www.thehindu.com/news/cities/mumbai/speeding-dumper-halts-traffic-on-sion-panvel-road/article27951712.ece,4,0.05
NDTV, All India Doctors Strike Monday Centre Blames Mamata Banerjee 10 Facts,mumbai news,2019-06-14,14:54,https://www.ndtv.com/india-news/west-bengal-doctors-protest-spreads-health-services-hit-in-delhi-mumbai-hyderabad-2053030,4,0.04
The Hindu, A night to remember Khusrau and Kabir,mumbai news,2019-06-17,01:35:00,https://www.thehindu.com/news/cities/mumbai/a-night-to-remember-khusrau-and-kabir/article27959049.ece,4,0.08
Hindiustan Times, DGCA draft proposal seeks to make ops of choppers safer,mumbai news,2019-06-16,03:26:00,https://www.hindustantimes.com/mumbai-news/dgca-draft-proposal-seeks-to-make-ops-of-choppers-safer/story-kXeg01Cy09w6wEcidHU1wO.html,4,0.05
