Source,Heading,Category,Date,Time,URL,Cluster,cluster_similarity_value
Hindiustan Times, 2007 rape case Preparations underway to execute accused at Yerawada jail,pune news,2019-06-15,17:01:00,https://www.hindustantimes.com/pune-news/2007-rape-case-preparations-underway-to-execute-accused-at-yerawada-jail/story-RkBs9Ho42Ftpv7YbPyWgUJ.html,0,0.1
Hindiustan Times, Talent mobility will benefit everyone says EU delegation to India at event in Pune,pune news,2019-06-15,16:42:00,https://www.hindustantimes.com/pune-news/talent-mobility-will-benefit-everyone-says-eu-delegation-to-india-at-event-in-pune/story-X9wwoyWvNpNNorTm8kn0jJ.html,0,0.08
Times of India, Celebrating Rabindranath Tagore through song and dance,pune news,2019-06-17,14:55,https://timesofindia.indiatimes.comhttp://photogallery.indiatimes.com/events/pune/celebrating-rabindranath-tagore-through-song-and-dance/Celebrating-Rabindranath-Tagore-through-song-and-dance-/articleshow/69282060.cms,0,0.09
Times of India, Brett Lee interacts with Puneites,pune news,2019-06-17,14:55,https://timesofindia.indiatimes.com/city/pune/Brett-Lee-interacts-with-Puneites/articleshow/51763769.cms,0,0.08
Times of India, Morning walkers stop concrete work at Taljai,pune news,2019-06-17,14:55,https://timesofindia.indiatimes.comhttps://punemirror.indiatimes.com/pune/civic/morning-walkers-stop-concrete-work-at-taljai/articleshow/69817136.cms,0,0.08
Indian Express, ‘ India has a scarcity of good teachers e learning can solve that ’,pune news,2019-06-17,01:52:39:00,https://indianexpress.com/article/cities/pune/testbook-pass-e-learning-iit-bombay-5783576/,0,0.09
Hindiustan Times, Chandrapur boy tops JEE Advanced,pune news,2019-06-15,03:57:00,https://www.hindustantimes.com/pune-news/chandrapur-boy-tops-jee-advanced/story-VNXbVdAiOfDMY8rDOtK91I.html,0,0.09
Indian Express, Interview of Manjusha Gokhale scholar ‘ Ramayana contains many things to help develop history of ancient India ’,pune news,2019-06-16,05:01:42:00,https://indianexpress.com/article/cities/pune/interview-of-manjusha-gokhale-scholar-ramayana-contains-many-things-to-help-develop-history-of-ancient-india-5782683/,0,0.08
Hindiustan Times, Principal Speak Organise gender equity programmes says Chaskar Manohar principal Ramkrishna More college,pune news,2019-06-14,16:48:00,https://www.hindustantimes.com/pune-news/principal-speak-organise-gender-equity-programmes-says-chaskar-manohar-principal-ramkrishna-more-college/story-WhrBqAuKHAp5w8IrHJqxoN.html,0,0.08
Hindiustan Times, Action against officials responsible for delay of projects Girish Bapat,pune news,2019-06-15,16:46:00,https://www.hindustantimes.com/pune-news/action-against-officials-responsible-for-delay-of-projects-girish-bapat/story-KymiSw8P9vVVSRZrd10DcN.html,0,0.08
Times of India, All Women Power Rally 2019,pune news,2019-06-17,14:55,https://timesofindia.indiatimes.comhttp://photogallery.indiatimes.com/events/pune/all-women-power-rally-2019/articleshow/68795028.cms,0,0.08
Hindiustan Times, Road to Sinhagad fort in Pune almost ready but with reduced width,pune news,2019-06-17,14:47:00,https://www.hindustantimes.com/pune-news/road-to-sinhagad-fort-in-pune-almost-ready-but-with-reduced-width/story-PTXZGsPzqEGSkWSZDDrUYL.html,1,0.08
Hindiustan Times, Vehicles damaged as vandals go on a rampage in Pune ’ s Mangalwar peth area,pune news,2019-06-14,15:45:00,https://www.hindustantimes.com/pune-news/vehicles-damaged-as-vandals-go-on-a-rampage-in-pune-s-mangalwar-peth-area/story-xKEKyLRu4GNqkSt5QJe9WO.html,1,0.07
Hindiustan Times, Most violations of RTO rules in Pune are done by oversized vehicles,pune news,2019-06-15,16:55:00,https://www.hindustantimes.com/pune-news/most-violations-of-rto-rules-in-pune-are-done-by-oversized-vehicles/story-bBrtKJL73cVGirkS7j3AII.html,1,0.05
Hindiustan Times, Arun Khore Pune postman who became a leading Dalit chronicler,pune news,2019-06-16,18:34:00,https://www.hindustantimes.com/pune-news/how-a-pune-postman-became-a-leading-dalit-chronicler/story-OOvyNNILEmMAFUfNlOuJMM.html,1,0.08
Times of India, Pune Bus hits 2 vehicles after brake failure,pune news,2019-06-17,14:55,https://timesofindia.indiatimes.com/videos/city/pune/pune-bus-hits-2-vehicles-after-brake-failure/videoshow/69791085.cms,1,0.08
Hindiustan Times, FIRs against 300 in Pune for driving on wrong side of the road,pune news,2019-06-16,16:32:00,https://www.hindustantimes.com/pune-news/firs-against-300-in-pune-for-driving-on-wrong-side-of-the-road/story-t8mCw53zGPxNMHRTjgxsiO.html,1,0.08
Times of India, Naseeruddin Shah and Kamal Haasan at the opening ceremony of Film Preservation and Restoration Workshop 2016 in Pune,pune news,2019-06-17,14:55,https://timesofindia.indiatimes.com/city/pune/Naseeruddin-Shah-and-Kamal-Haasan-at-the-opening-ceremony-of-Film-Preservation-and-Restoration-Workshop-2016-in-Pune/articleshow/51295088.cms,1,0.07
NDTV, 3 Women Out On Morning Walk In Pune Crushed To Death By Vehicle,pune news,2019-05-15,14:54,https://www.ndtv.com/pune-news/3-women-out-on-morning-walk-in-pune-crushed-to-death-by-vehicle-2037907,1,0.07
