Source,Heading,Category,Date,Time,URL,Cluster,cluster_similarity_value
The Hindu, Garbage piling up in Pathanamthitta town,thiruvananthapuram news,2019-06-12,23:16:00,https://www.thehindu.com/news/cities/Thiruvananthapuram/garbage-piling-up-in-pathanamthitta-town/article27891430.ece,0,0.1
The Hindu, Corporation revenues to rise with entertainment tax,thiruvananthapuram news,2019-06-17,00:55:00,https://www.thehindu.com/news/cities/Thiruvananthapuram/corporation-revenues-to-rise-with-entertainment-tax/article27958650.ece,0,0.09
The Hindu, Sea erosion over 80 villages in Thiruvananthapuram in danger zone,thiruvananthapuram news,2019-06-15,07:38:00,https://www.thehindu.com/news/cities/Thiruvananthapuram/no-respite-from-the-sea/article27944016.ece,0,0.06
The Hindu, Corporation to develop Rajaji Nagar,thiruvananthapuram news,2019-06-16,00:43:00,https://www.thehindu.com/news/cities/Thiruvananthapuram/corporation-to-develop-rajaji-nagar/article27952165.ece,0,0.08
The Hindu, KITE schools to sign MoU,thiruvananthapuram news,2019-06-16,00:46:00,https://www.thehindu.com/news/cities/Thiruvananthapuram/kite-schools-to-sign-mou/article27952178.ece,0,0.09
The Hindu, Pipe burst Supply to stabilise by today,thiruvananthapuram news,2019-06-17,00:55:00,https://www.thehindu.com/news/cities/Thiruvananthapuram/pipe-burst-supply-to-stabilise-by-today/article27958637.ece,0,0.09
NDTV, Shashi Tharoors Squeamishly Vegetarian Tweet Caught In Farrago Of Jabs,thiruvananthapuram news,2019-03-30,14:54,https://www.ndtv.com/kerala-news/lok-sabha-elections-2019-shashi-tharoors-squeamishly-vegetarian-tweet-caught-in-farrago-of-jabs-2015233,0,0.09
Times of India, Truck gets trapped as road caves in,thiruvananthapuram news,2019-06-17,14:55,https://timesofindia.indiatimes.com/city/thiruvananthapuram/truck-gets-trapped-as-road-caves-in/articleshow/69817105.cms,0,0.09
The Hindu, Access to railway station gets easier,thiruvananthapuram news,2019-06-13,00:42:00,https://www.thehindu.com/news/cities/Thiruvananthapuram/access-to-railway-station-gets-easier/article27891955.ece,0,0.09
Times of India, ‘ Criminal negligence by shop resulted in massive losses ’,thiruvananthapuram news,2019-06-17,14:55,https://timesofindia.indiatimes.com/city/thiruvananthapuram/criminal-negligence-by-shop-resulted-in-massive-losses/articleshow/69817080.cms,0,0.09
The Hindu, Vellayani Lake to be deepened,thiruvananthapuram news,2019-06-13,00:48:00,https://www.thehindu.com/news/cities/Thiruvananthapuram/vellayani-lake-to-be-deepened/article27892016.ece,0,0.09
