Source,Heading,Category,Date,Time,URL,Cluster,cluster_similarity_value
Times of India, Mathura Elderly mans mutilated body found residents vandalise police post,agra news,2019-06-19,00:59,https://timesofindia.indiatimes.com/city/agra/mathura-elderly-mans-mutilated-body-found-residents-vandalise-police-post/articleshow/69844081.cms,0,0.53
NDTV, Police At Taj Mahal Take Aim At Troops Of Monkeys With Slingshots,agra news,2019-01-25,00:58,https://www.ndtv.com/agra-news/taj-mahal-police-take-aim-at-troops-of-monkey-with-slingshots-1983333,1,0.32
NDTV, UP Government Given 4 Weeks For Vision Document On Taj Mahal Preservation,agra news,2019-02-14,00:58,https://www.ndtv.com/agra-news/up-government-given-4-weeks-for-vision-document-on-taj-mahal-preservation-1993225,1,0.25
NDTV, Visiting Taj Mahal Pay Fine If You Spend More Than 3 Hours Inside,agra news,2019-06-12,00:58,https://www.ndtv.com/agra-news/agra-for-taj-mahal-visit-pay-fine-if-you-spend-more-than-3-hours-inside-2051938,1,0.24
NDTV, Agra Activists To Build Taj Mahal Replica With Plastic Polythene Waste,agra news,2019-01-22,00:58,https://www.ndtv.com/agra-news/agra-activists-to-build-taj-mahal-replica-with-plastic-polythene-waste-1981587,1,0.27
NDTV, Schools To Shut Early As Temperatures In Agra Touch 45 Degrees,agra news,2019-05-01,00:58,https://www.ndtv.com/agra-news/taj-city-agra-sizzles-at-45-schools-to-shut-early-2031255,2,0.54
NDTV, Woman Allegedly Poisons Husband He Blames Her In Video Before Death,agra news,2019-05-12,00:58,https://www.ndtv.com/agra-news/woman-laces-husband-s-milk-with-poison-in-agra-video-viral-2036372,3,1.0
Times of India, With 96 deaths in six months Yamuna Expressway turns deadlier,agra news,2019-06-19,00:59,https://timesofindia.indiatimes.com/city/agra/with-96-deaths-in-6-months-yamuna-eway-turns-deadlier/articleshow/69831275.cms,4,0.42
Times of India, Eight of a family among nine killed in road accidents on Yamuna expressway,agra news,2019-06-19,00:59,https://timesofindia.indiatimes.com/city/agra/eight-of-a-family-among-nine-killed-in-road-accidents-on-yamuna-e-way/articleshow/69816668.cms,4,0.41
Times of India, Woman ’ s body found near Yamuna expressway,agra news,2019-06-19,00:59,https://timesofindia.indiatimes.com/city/agra/womans-body-found-near-yamuna-e-way/articleshow/69816691.cms,4,0.4
Times of India, BJP leader murdered by brother over property dispute in Aligarh,agra news,2019-06-19,00:59,https://timesofindia.indiatimes.com/city/agra/bjp-leader-murdered-by-brother-over-property-dispute-in-aligarh/articleshow/69832075.cms,5,0.91
NDTV, PM Modi To Address Rally In Agra Tomorrow As Lok Sabha Polls Near,agra news,2019-01-08,00:58,https://www.ndtv.com/india-news/pm-modi-to-address-rally-in-agra-tomorrow-as-lok-sabha-polls-near-1974469,6,1.0
NDTV, Man Kills Wife Alleged Lover With Spade In Agra,agra news,2019-02-07,00:58,https://www.ndtv.com/agra-news/man-kills-wife-alleged-lover-with-spade-in-agra-1989558,7,0.63
Times of India, ‘ Probe usage of fuel by garbage vehicles in Agra ’,agra news,2019-06-19,00:59,https://timesofindia.indiatimes.com/city/agra/probe-cost-of-fuel-of-garbage-vehicles/articleshow/69831253.cms,8,0.39
NDTV, Panic Buttons To Be Installed At Major Spots In Agra,agra news,2019-06-05,00:58,https://www.ndtv.com/agra-news/agra-panic-buttons-to-be-installed-at-major-spots-in-agra-2048103,8,0.39
Times of India, Rain brings relief from scorching heat in Agra,agra news,2019-06-19,00:59,https://timesofindia.indiatimes.com/city/agra/rain-brings-relief-from-scorching-heat/articleshow/69832124.cms,8,0.4
Times of India, With no drinking water UP family seeks PM ’ s permission to end life,agra news,2019-06-19,00:59,https://timesofindia.indiatimes.com/city/agra/unavailability-of-drinking-water-hathras-family-seeks-pm-modis-permission-to-end-life/articleshow/69816306.cms,9,1.0
Times of India, Illegal eateries a motorists ’ nightmare,agra news,2019-06-19,00:59,https://timesofindia.indiatimes.com/city/agra/illegal-eateries-unauthorised-bus-stands-motorists-nightmare-on-yamuna-e-way/articleshow/69832092.cms,10,1.0
NDTV, Schools In Agra To Remain Closed Till January 9 Due To Cold Wave,agra news,2019-01-07,00:58,https://www.ndtv.com/agra-news/schools-in-agra-to-remain-closed-till-january-9-due-to-cold-wave-say-officials-1974072,11,1.0
Times of India, Agra civic body sends notice to 16 ad agencies for violating unipole norms,agra news,2019-06-19,00:59,https://timesofindia.indiatimes.com/city/agra/amc-sends-notice-to-16-ad-agencies-for-violating-unipole-norms/articleshow/69816659.cms,12,1.0
Times of India, Clerical mistakes sloppy verification cause long delay for 42000 farmers in Agra,agra news,2019-06-19,00:59,https://timesofindia.indiatimes.com/city/agra/pm-kisan-scheme-clerical-mistakes-sloppy-verification-cause-long-delay-for-42k-farmers-in-agra/articleshow/69816720.cms,13,1.0
