Source,Heading,Category,Date,Time,URL,Cluster,cluster_similarity_value
Times of India, Aurangabad Private hospitals join nationwide agitation observe bandh,aurangabad news,2019-06-19,00:59,https://timesofindia.indiatimes.com/city/aurangabad/pvt-hospitals-join-nationwide-agitation-observe-bandh/articleshow/69831214.cms,0,1.0
Times of India, Youth held with marijuana worth Rs 5 25 lakh,aurangabad news,2019-06-19,00:59,https://timesofindia.indiatimes.com/city/aurangabad/youth-held-with-marijuana-worth-rs-5-25-lakh/articleshow/69842639.cms,1,0.6
Times of India, Aurangabad police to scan criminals posing as labourers,aurangabad news,2019-06-19,00:59,https://timesofindia.indiatimes.com/city/aurangabad/police-to-scan-criminals-posing-as-labourers/articleshow/69831203.cms,2,0.23
Times of India, Two trains cancelled till September,aurangabad news,2019-06-19,00:59,https://timesofindia.indiatimes.com/city/aurangabad/2-trains-cancelled-till-september/articleshow/69831210.cms,2,0.2
Times of India, Jackky Bhagnani promotes his upcoming film Rangrezz in Aurangabad,aurangabad news,2019-06-19,00:59,https://timesofindia.indiatimes.com/city/aurangabad/Jackky-Bhagnani-promotes-his-upcoming-film-Rangrezz-in-Aurangabad/articleshow/32367834.cms,2,0.26
Times of India, World Dance Day celebrated in Aurangabad,aurangabad news,2019-06-19,00:59,https://timesofindia.indiatimes.com/city/aurangabad/World-Dance-Day-celebrated-in-Aurangabad/articleshow/47202877.cms,2,0.33
NDTV, Maharashtra Woman Kills Husband With Help Of Her Cousin They Were Lovers,aurangabad news,2018-07-26,00:58,https://www.ndtv.com/cities/maharashtra-woman-kills-husband-with-help-of-her-cousin-they-were-lovers-1889848,3,0.29
NDTV, Woman Left Infant Son To Drown In A Drum Said She Wanted A Girl Cops,aurangabad news,2018-06-25,00:58,https://www.ndtv.com/aurangabad-news/maharashtra-woman-kills-10-month-old-son-as-she-wanted-a-daughter-1872939,3,0.28
NDTV, During Funeral Lightning Strikes Crematorium Killing 4 In Bihar,aurangabad news,2018-07-01,00:58,https://www.ndtv.com/aurangabad-news/during-funeral-lightning-strikes-crematorium-killing-4-in-bihar-1876177,3,0.27
NDTV, Upset Over Fight For Rs 40 Maharashtra Teen Kills Twin Brother Police,aurangabad news,2019-02-27,00:58,https://www.ndtv.com/aurangabad-news/aurangabad-maharashtra-teen-14-kills-elder-brother-for-rs-40-in-fit-of-rage-maharashtra-police-1999865,3,0.28
Times of India, Classical music concert organised by Dr Babasaheb Marathwada University in Aurangabad,aurangabad news,2019-06-19,00:59,https://timesofindia.indiatimes.com/city/aurangabad/Classical-music-concert-organised-by-Dr-Babasaheb-Marathwada-University-in-Aurangabad/articleshow/32406984.cms,4,0.73
NDTV, Vegetable Vendor Hangs Himself Over Incorrect Power Bill Of Rupees 8 64 Lakh In Maharashtra,aurangabad news,2018-05-10,00:58,https://www.ndtv.com/aurangabad-news/vegetable-vendor-hangs-himself-over-incorrect-power-bill-of-rupees-8-64-lakh-in-maharashtra-1850463,5,0.26
NDTV, Today One Maratha Is Leaving Man Commits Suicide Over Quota Demand,aurangabad news,2018-07-30,00:58,https://www.ndtv.com/aurangabad-news/aurangabad-man-commits-suicide-over-maratha-quota-demand-today-one-maratha-is-leaving-1892261,5,0.23
NDTV, 56 Year Old Maharashtra Journalist Commits Suicide By Hanging Himself,aurangabad news,2019-04-15,00:58,https://www.ndtv.com/aurangabad-news/aurangabad-maharashtra-sundar-vilas-latpate-56-year-old-maharashtra-journalist-commits-suicide-by-ha-2023040,5,0.21
Times of India, Tears cackles as schools offer rousing welcome to students,aurangabad news,2019-06-19,00:59,https://timesofindia.indiatimes.com/city/aurangabad/tears-cackles-as-schools-offer-rousing-welcome-to-students/articleshow/69831193.cms,6,0.53
Times of India, MIM corporators protest against ‘ unnecessary ’ spendings by mayor,aurangabad news,2019-06-19,00:59,https://timesofindia.indiatimes.com/city/aurangabad/mim-corporators-protest-against-unnecessary-spendings-by-mayor/articleshow/69831223.cms,7,0.37
NDTV, Maharashtra Dairy Farmers In A Unique Protest To Deliver Free Milk At Collectors Office,aurangabad news,2018-05-01,00:58,https://www.ndtv.com/aurangabad-news/maharashtra-dairy-farmers-in-a-unique-protest-to-deliver-free-milk-at-collectors-office-1845325,7,0.36
Times of India, With 16mm rainfall region ’ s deficiency stands at 79,aurangabad news,2019-06-19,00:59,https://timesofindia.indiatimes.com/city/aurangabad/with-16mm-rainfall-regions-deficiency-stands-at-79/articleshow/69831200.cms,8,1.0
NDTV, Aurangabad Lawyer Sentenced For Contempt Of Court After 13 Years,aurangabad news,2018-09-04,00:58,https://www.ndtv.com/aurangabad-news/aurangabad-lawyer-sentenced-for-contempt-of-court-after-13-years-1911100,9,0.38
Times of India, Chitrakala Mahotsav held at Saraswati Bhuvan College attract art lovers in Aurangabad,aurangabad news,2019-06-19,00:59,https://timesofindia.indiatimes.com/city/aurangabad/Chitrakala-Mahotsav-held-at-Saraswati-Bhuvan-College-attract-art-lovers-in-Aurangabad/articleshow/32409293.cms,9,0.42
Times of India, National Moot Court Competition at the Manikchand Pahade Law College in Aurangabad,aurangabad news,2019-06-19,00:59,https://timesofindia.indiatimes.com/city/aurangabad/National-Moot-Court-Competition-at-the-Manikchand-Pahade-Law-College-in-Aurangabad/articleshow/32367763.cms,9,0.44
Times of India, Fashionistas of Aurangabad walk the ramp for Mr and Mrs Fashion Icon,aurangabad news,2019-06-19,00:59,https://timesofindia.indiatimes.com/city/aurangabad/fashionistas-of-aurangabad-walk-the-ramp-for-mr-and-mrs-fashion-icon/articleshow/69841428.cms,10,0.55
NDTV, Harassed Husbands Burn Effigy Of Ravanas Sister Surpanakha On Dussehra,aurangabad news,2018-10-19,00:58,https://www.ndtv.com/aurangabad-news/harassed-husbands-burn-effigy-of-ravanas-sister-surpanakha-on-dussehra-1934482,11,0.53
Times of India, Activists demand polls through ballot papers,aurangabad news,2019-06-19,00:59,https://timesofindia.indiatimes.com/city/aurangabad/activists-demand-polls-through-ballot-papers/articleshow/69831222.cms,12,1.0
Times of India, Aurangabad Faulty kidney removed via trans vaginal route,aurangabad news,2019-06-19,00:59,https://timesofindia.indiatimes.com/city/aurangabad/faulty-kidney-removed-via-trans-vaginal-route/articleshow/69831227.cms,13,1.0
Times of India, Posters exhibition at GMCH,aurangabad news,2019-06-19,00:59,https://timesofindia.indiatimes.com/city/aurangabad/posters-exhibition-at-gmch/articleshow/69831217.cms,14,1.0
