Source,Heading,Category,Date,Time,URL,Cluster,cluster_similarity_value
Times of India, Mohali Furniture showroom gutted in fire,chandigarh news,2019-06-19,00:59,https://timesofindia.indiatimes.com/videos/city/chandigarh/mohali-furniture-showroom-gutted-in-fire/videoshow/69761852.cms,0,0.06
Hindiustan Times, Navjot Sidhu refuses new portfolio left out of key govt panels,chandigarh news,2019-06-08,23:24:00,https://www.hindustantimes.com/india-news/amarinder-singh-forms-8-consultative-groups-leaves-out-navjot-sidhu/story-5pheynudtomaQPxGRU1B0M.html,0,0.04
Hindiustan Times, India to convey displeasure to Canada for ‘ last minute ’ flag hoisting denial,chandigarh news,2019-06-09,11:01:00,https://www.hindustantimes.com/chandigarh/india-to-convey-displeasure-to-canada-for-last-minute-flag-hoisting-denial/story-PtleERWBZpYXjpIfUj5xFI.html,0,0.05
Times of India, Panchkula traffic police get 25 new bikes,chandigarh news,2019-06-19,00:59,https://timesofindia.indiatimes.com/city/chandigarh/panchkula-traffic-police-get-25-new-bikes/articleshow/69836204.cms,0,0.05
Hindiustan Times, ‘ You must have it in your blood to serve the country ’,chandigarh news,2019-06-07,17:30:00,https://www.hindustantimes.com/punjab/you-must-have-it-in-your-blood-to-serve-the-country/story-Nsy84e6JGfBYVZY8qKQfjO.html,0,0.05
Hindiustan Times, Burglars flee with 68 firearms 1200 rounds CCTV from gun house in Jandiala,chandigarh news,2019-06-18,11:55:00,https://www.hindustantimes.com/chandigarh/burglars-flee-with-68-firearms-1200-rounds-cctv-from-gun-house-in-jandiala/story-rhZqEpARXj07wzeq48OraI.html,0,0.05
Hindiustan Times, Indian Customs allows re export of Pakistani goods stuck at Attari ICP,chandigarh news,2019-06-18,14:07:00,https://www.hindustantimes.com/chandigarh/indian-customs-allows-re-export-of-pakistani-goods-stuck-at-attari-icp/story-P33Ei9lULSZUIR4dwi5a1J.html,0,0.05
Times of India, A peep into Haryanavi culture,chandigarh news,2019-06-19,00:59,https://timesofindia.indiatimes.com/city/chandigarh/a-peep-into-haryanavi-culture/articleshow/69760121.cms,0,0.05
Times of India, Sanya Malhotra launches new watch collection,chandigarh news,2019-06-19,00:59,https://timesofindia.indiatimes.comhttp://photogallery.indiatimes.com/events/chandigarh/sanya-malhotra-launches-new-watch-collection/articleshow/69727294.cms,0,0.05
Times of India, Swara Bhasker attends an event,chandigarh news,2019-06-19,00:59,https://timesofindia.indiatimes.comhttp://photogallery.indiatimes.com/events/chandigarh/swara-bhasker-attends-an-event/articleshow/69268711.cms,0,0.05
Times of India, Future drivers pick up road safety lessons,chandigarh news,2019-06-19,00:59,https://timesofindia.indiatimes.com/videos/city/chandigarh/future-drivers-pick-up-road-safety-lessons/videoshow/69830139.cms,0,0.05
Hindiustan Times, Sunny Deol visits Gurdaspur to review progress of work on Kartarpur corridor,chandigarh news,2019-06-16,10:32:00,https://www.hindustantimes.com/india-news/sunny-deol-visits-gurdaspur-to-review-progress-of-work-on-kartarpur-corridor/story-fVsrgmtIFDnW6TEsHXYtjK.html,0,0.05
Indian Express, Free Fragrance Tuition ensures underprivileged children an equal footing in society,chandigarh news,2019-06-18,09:54:56:00,https://indianexpress.com/article/chandigarh/free-fragrance-tuition-ensures-underprivileged-children-an-equal-footing-in-society-578571/,0,0.04
Hindiustan Times, SGPC takes steps to turn Golden Temple complex green,chandigarh news,2019-06-05,12:36:00,https://www.hindustantimes.com/chandigarh/sgpc-takes-steps-to-turn-golden-temple-complex-green/story-okzxuyEjGQSvuWjNKe727M.html,0,0.04
NDTV, Health Official Among 7 Dead In Chhattisgarh Due To Swine Flu,chandigarh news,2019-02-23,00:58,https://www.ndtv.com/india-news/health-department-joint-director-among-7-swine-flu-victims-in-chhattisgarh-1997996,0,0.05
Hindiustan Times, Patiala Amritsar medical colleges to retain 200 MBBS seats each,chandigarh news,2019-06-10,11:27:00,https://www.hindustantimes.com/education/patiala-amritsar-medical-colleges-to-retain-200-mbbs-seats-each/story-eVCp96LcMefDT77tZlQAJO.html,0,0.05
Hindiustan Times, Roads leading to Shimla Manali choked due to heavy tourist influx,chandigarh news,2019-06-09,12:37:00,https://www.hindustantimes.com/chandigarh/roads-leading-to-shimla-manali-choked-due-to-heavy-tourist-influx/story-nfQItoj3JHGGiL8wBSxl3M.html,0,0.04
Hindiustan Times, 459 Gentleman Cadets pass out of IMA,chandigarh news,2019-06-09,12:26:00,https://www.hindustantimes.com/chandigarh/459-gentleman-cadets-pass-out-of-ima/story-D9SZhdmVRgNiFImnRLk09H.html,0,0.05
Hindiustan Times, Kotkapura firing Ex Akali MLA 5 cops named in 2nd chargesheet filed by SIT,chandigarh news,2019-06-07,15:02:00,https://www.hindustantimes.com/chandigarh/kotkapura-firing-ex-akali-mla-5-cops-named-in-2nd-chargesheet-filed-by-sit/story-syhj3JDROBlJTFMlezwzoJ.html,0,0.04
Hindiustan Times, Research in particle physics took Manjit Kaur from PU to CERN,chandigarh news,2019-06-07,17:09:00,https://www.hindustantimes.com/punjab/research-in-particle-physics-took-manjit-kaur-from-pu-to-cern/story-l6lVoYnyd0zOVqePnLXCoO.html,0,0.05
Indian Express, Head constable suspended for ‘ aiding ’ drug peddlers in Ferozepur,chandigarh news,2019-06-18,11:22:00:00,https://indianexpress.com/article/cities/chandigarh/head-constable-suspended-for-aiding-drug-peddlers-in-ferozepur-5785955/,0,0.04
Hindiustan Times, Open borewell owners to face legal action under Punjab government,chandigarh news,2019-06-14,13:56:00,https://www.hindustantimes.com/chandigarh/open-borewell-owners-to-face-legal-action-under-punjab-government/story-cPeXDr29zXJDCnTqAU1RnN.html,1,1.0
Hindiustan Times, 2 year old Punjab boy stuck for 110 hours in borewell dies after being pulled out,chandigarh news,2019-06-11,12:41:00,https://www.hindustantimes.com/india-news/two-year-old-child-stuck-in-borewell-for-110-hours-pulled-out/story-Jkth0fBElErIofDGk5RcwO.html,2,0.22
Hindiustan Times, Baptised Sikh dera follower team up for rescue of Fatehveer win hearts,chandigarh news,2019-06-12,08:47:00,https://www.hindustantimes.com/chandigarh/baptised-sikh-dera-follower-team-up-for-rescue-of-fatehveer-win-hearts/story-v4cMM56X1DRNB21AUDbQoJ.html,2,0.26
Hindiustan Times, 3 year old boy falls into 25 ft well in Pathankot rescued,chandigarh news,2019-06-15,09:34:00,https://www.hindustantimes.com/chandigarh/3-year-old-boy-falls-into-25-ft-well-in-pathankot-rescued/story-bMMRirw93nN08RwInIZD9N.html,2,0.28
Times of India, On cam Ward attendant stitches patients wound in Jalandhar hospital,chandigarh news,2019-06-19,00:59,https://timesofindia.indiatimes.com/videos/city/chandigarh/on-cam-ward-attendant-stitches-patients-wound-in-jalandhar-hospital/videoshow/69809859.cms,3,0.25
Hindiustan Times, Faridkot custodial death Protesters seek justice for Jaspal hold sit in near MLA ’ s residence,chandigarh news,2019-06-06,11:49:00,https://www.hindustantimes.com/chandigarh/faridkot-custodial-death-protesters-seek-justice-for-jaspal-hold-sit-in-near-mla-s-residence/story-AQ7tOmPOW0RW1uczE0mTCL.html,3,0.23
Hindiustan Times, Denied leave for sister ’ s wedding Rohtak doctor commits suicide Police,chandigarh news,2019-06-15,09:15:00,https://www.hindustantimes.com/chandigarh/pgims-rohtak-doctor-kills-self-hod-booked-for-abetment/story-ZLrQIcs7Lg5IaKwKaxxdYN.html,3,0.21
