Source,Heading,Category,Date,Time,URL,Cluster,cluster_similarity_value
Indian Express, AIIMS trauma centre doctor abused police detain kin of patient,delhi news,2019-06-18,08:18:53:00,https://indianexpress.com/article/cities/delhi/aiims-trauma-centre-doc-abused-police-detain-kin-of-patient-5785452/,0,0.17
The Hindu, AIIMS doctors on strike after attack,delhi news,2019-06-17,22:48:00,https://www.thehindu.com/news/national/two-held-for-abusing-aiims-doctor/article27971733.ece,0,0.11
Hindiustan Times, Patients hit as govt docs strike work in Delhi,delhi news,2019-06-18,07:29:00,https://www.hindustantimes.com/delhi-news/patients-hit-as-govt-docs-strike-work-in-delhi/story-26S0FHVTxxOtve7QJ2UPzN.html,0,0.13
Hindiustan Times, AIIMS Safdarjung doctors resume work take out candle light march,delhi news,2019-06-16,01:18:00,https://www.hindustantimes.com/delhi-news/aiims-safdarjung-doctors-resume-work-take-out-candle-light-march/story-eyFi3N9gok0kN0ZWkRtLtK.html,0,0.12
Hindiustan Times, Warfront like conditions say AIIMS doctors after junior resident assaulted,delhi news,2019-06-17,13:03:00,https://www.hindustantimes.com/delhi-news/aiims-doctors-go-on-strike-after-alleged-abuse-of-colleague-by-patient-s-relatives/story-RIK3HtYpz8mJ3Ij0MHcpzJ.html,0,0.1
The Hindu, Over 10000 doctors across India march in solidarity,delhi news,2019-06-17,10:51:00,https://www.thehindu.com/news/cities/Delhi/over-10000-doctors-across-india-march-in-solidarity/article27963444.ece,0,0.12
Hindiustan Times, Police bust two gangs involved in stealing vehicles,delhi news,2019-06-17,08:03:00,https://www.hindustantimes.com/delhi-news/police-bust-two-gangs-involved-in-stealing-vehicles/story-zfyaykBTyP9khTFFRTYSaO.html,0,0.11
The Hindu, Surprise from police for victims of phone theft,delhi news,2019-06-18,01:29:00,https://www.thehindu.com/news/cities/Delhi/surprise-from-police-for-victims-of-phone-theft/article28023559.ece,0,0.12
NDTV, Doctors In Delhi Resume Duties After Strike Ends,delhi news,2019-06-18,00:58,https://www.ndtv.com/delhi-news/doctors-in-delhi-resume-duties-after-strike-ends-2054978,0,0.13
Hindiustan Times, SC declines urgent hearing on PIL for doctors ’ security,delhi news,2019-06-19,00:02:00,https://www.hindustantimes.com/delhi-news/sc-declines-urgent-hearing-on-pil-for-doctors-security/story-CKzuX93g9u7xkDBjXdHNGI.html,0,0.13
Hindiustan Times, Ex call centre employee killed for refusing to pay Rs50 lakh extortion money,delhi news,2019-06-16,10:42:00,https://www.hindustantimes.com/delhi-news/16-year-old-held-for-murder-of-former-call-centre-worker/story-y2SCJW0KuqeeGQfVZ3wDXN.html,0,0.1
Times of India, Delhiite participate in The Bubble Parade to break silence around child sexual abuse,delhi news,2019-06-19,00:59,https://timesofindia.indiatimes.comhttp://photogallery.indiatimes.com/events/delhi/delhiite-participate-in-the-bubble-parade-to-break-silence-around-child-sexual-abuse/articleshow/69564346.cms,0,0.13
NDTV, Delhi Wakes Up To Rain Cloud Cover To Keep Weather Pleasant,delhi news,2019-06-18,00:58,https://www.ndtv.com/delhi-news/delhi-weather-pre-monsoon-showers-cloud-cover-to-keep-weather-pleasant-2054930,1,0.07
