Source,Heading,Category,Date,Time,URL,Cluster,cluster_similarity_value
Times of India, GDA to start razing illegal buildings in Ghaziabad from June 17,ghaziabad news,2019-06-19,00:59,https://timesofindia.indiatimes.com/city/ghaziabad/gda-to-start-razing-illegal-buildings-in-ghaziabad-from-june-17/articleshow/69796014.cms,0,0.27
Times of India, Five month data shows Ghaziabad road accident rate dip,ghaziabad news,2019-06-19,00:59,https://timesofindia.indiatimes.com/city/ghaziabad/5-month-data-shows-ghaziabad-road-accident-rate-dip/articleshow/69807297.cms,0,0.23
Times of India, GDA plans to hike rates of green belts leased out,ghaziabad news,2019-06-19,00:59,https://timesofindia.indiatimes.com/city/ghaziabad/gda-plans-to-hike-rates-of-green-belts-leased-out/articleshow/69795945.cms,0,0.25
Times of India, Ghaziabad Headmaster of school stabbed multiple times,ghaziabad news,2019-06-19,00:59,https://timesofindia.indiatimes.com/city/ghaziabad/headmaster-of-school-stabbed-multiple-times/articleshow/69779779.cms,0,0.25
Times of India, Ghaziabad Tension over eviction drive in Indirapuram,ghaziabad news,2019-06-19,00:59,https://timesofindia.indiatimes.com/city/ghaziabad/tension-in-gzb-after-gda-eviction-drive/articleshow/69817691.cms,0,0.25
NDTV, 3 Police Teams Formed To Arrest Ghaziabad Techie Who Killed Wife 3 Kids,ghaziabad news,2019-04-24,00:58,https://www.ndtv.com/ghaziabad-news/ghaziabad-3-police-teams-formed-to-arrest-techie-who-killed-wife-3-kids-2027654,1,0.36
Times of India, Ghaziabad Close call for 12 families as fire rages in parking area,ghaziabad news,2019-06-19,00:59,https://timesofindia.indiatimes.com/city/ghaziabad/close-call-for-12-families-as-fire-rages-in-parking-area/articleshow/69795929.cms,1,0.27
NDTV, Ex Techie Who Confessed On WhastApp To Killing Wife 3 Children Arrested,ghaziabad news,2019-04-24,00:58,https://www.ndtv.com/ghaziabad-news/ghaziabad-ex-techie-who-confessed-killing-wife-children-on-whatsapp-arrested-2027759,1,0.4
Times of India, Three firms enter fray for traffic management tech in Ghaziabad,ghaziabad news,2019-06-19,00:59,https://timesofindia.indiatimes.com/city/ghaziabad/3-firms-enter-fray-for-traffic-management-tech-in-gzb/articleshow/69833472.cms,2,0.65
NDTV, Noida Woman Married In Ghaziabad Killed For Dowry Alleges Father,ghaziabad news,2019-05-17,00:58,https://www.ndtv.com/ghaziabad-news/noida-woman-married-in-ghaziabad-killed-for-dowry-alleges-father-2039251,3,0.6
