Source,Heading,Category,Date,Time,URL,Cluster,cluster_similarity_value
Times of India, Army Major killed in Anantnag gunbattle was from Meerut,meerut news,2019-06-19,00:59,https://timesofindia.indiatimes.com/city/meerut/army-major-killed-in-anantnag-gunbattle-was-from-meerut/articleshow/69831935.cms,0,0.26
NDTV, 15 Kg Gold Robbed From Finance Company Firm In Meerut,meerut news,2019-02-22,00:58,https://www.ndtv.com/india-news/15-kg-gold-robbed-from-finance-company-firm-in-meerut-1997429,0,0.23
Times of India, Criminal with 25k bounty killed in encounter in Saharanpur,meerut news,2019-06-19,00:59,https://timesofindia.indiatimes.com/city/meerut/criminal-with-25k-bounty-killed-in-encounter-in-saharanpur/articleshow/69816622.cms,0,0.24
NDTV, Fire At Pesticide Factory In Meerut Rescue Operations Underway,meerut news,2019-06-15,00:58,https://www.ndtv.com/meerut-news/fire-at-pesticide-factory-in-uttar-pradeshs-meerut-rescue-operations-underway-2053594,0,0.23
Times of India, In UP woman throws hot oil on ex lover on his wedding day held,meerut news,2019-06-19,00:59,https://timesofindia.indiatimes.com/city/meerut/woman-throws-hot-oil-on-ex-lover-on-his-wedding-day-held/articleshow/69816643.cms,1,0.26
Times of India, Alert locals foil Rs 24 lakh loot bid in Saharanpur,meerut news,2019-06-19,00:59,https://timesofindia.indiatimes.com/city/meerut/alert-locals-foil-rs-24-lakh-loot-bid-in-saharanpur/articleshow/69831920.cms,1,0.23
NDTV, Over Rs 30000 Crore Cleared For Delhi Meerut High Speed Rail Corridor,meerut news,2019-02-20,00:58,https://www.ndtv.com/delhi-news/over-rs-30-000-crore-cleared-for-delhi-meerut-high-speed-rail-corridor-1996284,1,0.24
Times of India, Woman commits suicide over dispute with husband gives poison to daughter,meerut news,2019-06-19,00:59,https://timesofindia.indiatimes.com/city/meerut/woman-commits-suicide-over-dispute-with-husband-gives-poison-to-daughter/articleshow/69806466.cms,1,0.23
NDTV, Bar Association Cancels Membership of Woman Lawyer For Reckless Driving,meerut news,2018-10-26,00:58,https://www.ndtv.com/meerut-news/meerut-bar-association-cancels-membership-of-woman-lawyer-for-reckless-driving-1937886,2,0.32
NDTV, BJP Leader Thrashes Drunk Cop At His Restaurant In UP Arrested,meerut news,2018-10-20,00:58,https://www.ndtv.com/meerut-news/bjp-leader-thrashes-drunk-cop-at-his-restaurant-in-up-arrested-1934881,2,0.3
NDTV, Anti Encroachment Drive Triggers Violence In Meerut 150 Shanties Burnt,meerut news,2019-03-07,00:58,https://www.ndtv.com/meerut-news/meerut-violence-anti-encroachment-drive-triggers-violence-in-meerut-150-shanties-burnt-2004097,2,0.27
