Source,Heading,Category,Date,Time,URL,Cluster,cluster_similarity_value
NDTV, Congresss Nana Patole Charged For Brawl At Nagpur Counting Centre,nagpur news,2019-05-26,00:58,https://www.ndtv.com/nagpur-news/congresss-nana-patole-charged-for-brawl-at-nagpur-counting-centre-2043305,0,1.0
NDTV, My Happiness For Nagpur Metro Is Most Because Nitin Gadkari,nagpur news,2019-03-08,00:58,https://www.ndtv.com/nagpur-news/most-happy-says-nitin-gadkari-after-nagpur-metro-is-launched-2004474,1,0.42
NDTV, PM Modi To Flag Off First Phase Of Nagpur Metro Tomorrow,nagpur news,2019-03-06,00:58,https://www.ndtv.com/nagpur-news/pm-modi-to-flag-off-first-phase-of-nagpur-metro-on-tomorrow-2003255,1,0.4
NDTV, Give Jobs To i Bhumiputras i Will Bring Law If Needed Nitin Gadkari,nagpur news,2019-03-06,00:58,https://www.ndtv.com/india-news/give-jobs-to-bhumiputras-will-bring-law-if-needed-nitin-gadkari-2003746,1,0.4
NDTV, Nagpur Cop Shunted Out For Showering Cash On Schoolgirls At Event Police,nagpur news,2019-01-28,00:58,https://www.ndtv.com/nagpur-news/nagpur-cop-shunted-out-for-showering-cash-on-schoolgirls-at-event-police-1984460,2,0.7
Times of India, Students of ETC department of Yeshwantrao Chavan College of Engineering attend farewell bash in Nagpur,nagpur news,2019-06-19,00:59,https://timesofindia.indiatimes.com/city/nagpur/Students-of-ETC-department-of-Yeshwantrao-Chavan-College-of-Engineering-attend-farewell-bash-in-Nagpur/articleshow/52416149.cms,3,0.34
Times of India, Raisoni College organises get together for students in Nagpur,nagpur news,2019-06-19,00:59,https://timesofindia.indiatimes.com/city/nagpur/Raisoni-College-organises-get-together-for-students-in-Nagpur/articleshow/50230419.cms,3,0.31
Times of India, Students have a gala time at Saptrang 2K19,nagpur news,2019-06-19,00:59,https://timesofindia.indiatimes.comhttp://photogallery.indiatimes.com/events/nagpur/students-have-a-gala-time-at-saptrang-2k19/articleshow/69322226.cms,3,0.3
Times of India, Rotary Vision financial aid for needy students,nagpur news,2019-06-19,00:59,https://timesofindia.indiatimes.com/city/nagpur/rotary-vision-financial-aid-for-needy-students/articleshow/69832718.cms,3,0.28
Times of India, Kids steal the show in dramas staged by Fundoos Theatre,nagpur news,2019-06-19,00:59,https://timesofindia.indiatimes.com/city/nagpur/kids-steal-the-show-in-dramas-staged-by-fundoos-theatre/articleshow/69833184.cms,4,0.56
NDTV, Teen GoAir Staff Wished Mother On Birthday Then Hanged Himself Police,nagpur news,2019-05-31,00:58,https://www.ndtv.com/nagpur-news/19-year-old-goair-employee-manthan-chavan-wishes-mother-happy-birthday-then-commits-suicide-2045929,5,0.5
Times of India, Cultural fest organised at Chitnavis Centre in Nagpur,nagpur news,2019-06-19,00:59,https://timesofindia.indiatimes.com/city/nagpur/Cultural-fest-organised-at-Chitnavis-Centre-in-Nagpur/articleshow/50280677.cms,6,0.38
NDTV, 4 Black Bucks Spotted Deer Among 9 Animals Found Dead In Rescue Centre,nagpur news,2019-02-07,00:58,https://www.ndtv.com/nagpur-news/4-black-bucks-spotted-deer-among-9-animals-found-dead-in-nagpur-rescue-centre-1989573,6,0.34
Times of India, Government Chitrakala Mahavidyalaya hosts an exciting cultural fest Aakar in Nagpur,nagpur news,2019-06-19,00:59,https://timesofindia.indiatimes.com/city/nagpur/Government-Chitrakala-Mahavidyalaya-hosts-an-exciting-cultural-fest-Aakar-in-Nagpur/articleshow/50976875.cms,6,0.35
NDTV, Brother Sister Duo In Their 70s Found Dead Inside House In Nagpur,nagpur news,2019-01-16,00:58,https://www.ndtv.com/nagpur-news/nagpur-brother-sister-duo-in-their-70s-found-dead-inside-house-in-tatya-tope-nagar-1978593,6,0.36
NDTV, Dead Lizard Allegedly Found In Food At Haldirams Outlet Shut Down,nagpur news,2019-05-15,00:58,https://www.ndtv.com/nagpur-news/nagpur-dead-lizard-allegedly-found-in-food-at-haldirams-outlet-shut-down-2038242,7,0.3
NDTV, Woman Set On Fire Allegedly By Money Lender Dies In Nagpur,nagpur news,2019-05-15,00:58,https://www.ndtv.com/nagpur-news/woman-set-on-fire-allegedly-by-money-lender-dies-in-nagpur-2037729,7,0.31
NDTV, Couple Both Ex JNU Scholars Allege Theft By Cops At Nagpur Home,nagpur news,2019-01-15,00:58,https://www.ndtv.com/india-news/nagpur-maharashtra-shivshankar-das-shipra-ukre-ex-jnu-jawaharlal-nehru-university-scholars-allege-th-1977789,7,0.32
NDTV, Worlds Shortest Woman Votes In Nagpur Has A Message,nagpur news,2019-04-11,00:58,https://www.ndtv.com/nagpur-news/lok-sabha-elections-2019-worlds-shortest-woman-jyoti-amge-votes-in-nagpur-has-a-message-2021361,7,0.35
NDTV, Parents Await Sons Body After His Death On Ship In Saudi Port,nagpur news,2019-03-03,00:58,https://www.ndtv.com/nagpur-news/parents-await-sons-body-after-his-death-on-ship-in-saudi-port-2002098,8,0.52
Times of India, Jaripatka residents gherao mayor over ‘ poor ’ water supply,nagpur news,2019-06-19,00:59,https://timesofindia.indiatimes.com/city/nagpur/jaripatka-residents-gherao-mayor-over-poor-water-supply/articleshow/69829832.cms,9,1.0
Times of India, TV actors Ashish Dixit and Shweta Kanoje tie the knot in Nagpur,nagpur news,2019-06-19,00:59,https://timesofindia.indiatimes.comhttp://photogallery.indiatimes.com/events/nagpur/tv-actors-ashish-dixit-and-shweta-kanoje-tie-the-knot-in-nagpur/articleshow/69596186.cms,10,0.2
Times of India, GMCs at Amravati Buldhana get in principle approval Mahajan,nagpur news,2019-06-19,00:59,https://timesofindia.indiatimes.com/city/nagpur/gmcs-at-amravati-buldhana-get-in-principle-approval-mahajan/articleshow/69832359.cms,11,1.0
Times of India, John Abraham Varun Dhawan and Jacqueline Fernandez promote Dishoom in Nagpur,nagpur news,2019-06-19,00:59,https://timesofindia.indiatimes.com/city/nagpur/John-Abraham-Varun-Dhawan-and-Jacqueline-Fernandez-promote-Dishoom-in-Nagpur/articleshow/52915451.cms,12,1.0
Times of India, ‘ Lincoln ’ s letter ’ throws open insightful facets,nagpur news,2019-06-19,00:59,https://timesofindia.indiatimes.com/city/nagpur/lincolns-letter-throws-open-insightful-facets/articleshow/69833191.cms,13,0.5
Times of India, Patients miss appointments but show solidarity with docs condemn attacks,nagpur news,2019-06-19,00:59,https://timesofindia.indiatimes.com/city/nagpur/patients-miss-appointments-but-show-solidarity-with-docs-condemn-attacks/articleshow/69832929.cms,14,1.0
Times of India, SC commission calls for report on boy suffering burns after punishment,nagpur news,2019-06-19,00:59,https://timesofindia.indiatimes.com/city/nagpur/sc-commission-calls-for-report-on-boy-suffering-burns-after-punishment/articleshow/69832667.cms,15,1.0
Times of India, Eka Lagnachi Pudhchi Gosht A play,nagpur news,2019-06-19,00:59,https://timesofindia.indiatimes.comhttp://photogallery.indiatimes.com/events/nagpur/eka-lagnachi-pudhchi-gosht-a-play/articleshow/69483561.cms,16,0.54
