Source,Heading,Category,Date,Time,URL,Cluster,cluster_similarity_value
Hindiustan Times, Light rain makes it breezy and pleasant in Gurugram,others,2019-06-18,00:27:00,https://www.hindustantimes.com/gurgaon/light-rain-makes-it-breezy-and-pleasant-in-gurugram/story-0DxtjNPf8329s7lHcETreL.html,0,0.05
The Hindu, Fire dept zeroes in on ‘ high risk ’ apartments,others,2019-06-18,00:22:00,https://www.thehindu.com/news/cities/Kochi/fire-dept-zeroes-in-on-high-risk-apartments/article28023087.ece,0,0.04
Hindiustan Times, ‘ Car parks at Sadar Bazar Kaman Sarai need of the hour ’ Shoppers,others,2019-06-15,23:53:00,https://www.hindustantimes.com/gurgaon/car-parks-at-sadar-bazar-kaman-sarai-need-of-the-hour-shoppers/story-k5rWakdIyFDuh2sP4QnAsI.html,0,0.03
Hindiustan Times, DTCP recommends cancellation of OC to Ardee City mall for violating building plan,others,2019-06-18,08:31:00,https://www.hindustantimes.com/gurgaon/dtcp-recommends-cancellation-of-oc-to-ardee-city-mall-for-violating-building-plan/story-iQSa6sqC4TjAyCvootugpJ.html,0,0.04
The Hindu, Battery car for senior citizens at Collectorate,others,2019-06-17,19:13:00,https://www.thehindu.com/news/cities/Tiruchirapalli/battery-car-for-senior-citizens-at-collectorate/article28017892.ece,0,0.04
The Hindu, Forest dept proposes to enhance green cover in Pudukottai,others,2019-06-17,18:45:00,https://www.thehindu.com/news/cities/Tiruchirapalli/forest-dept-proposes-to-enhance-green-cover-in-pudukottai/article28013904.ece,0,0.04
The Hindu, Committee calls for show of strength on Cauvery issue,others,2019-06-17,19:06:00,https://www.thehindu.com/news/cities/Tiruchirapalli/committee-calls-for-show-of-strength-on-cauvery-issue/article28016804.ece,0,0.03
The Hindu, Not a channel but a receptacle for trash,others,2019-06-17,09:32:00,https://www.thehindu.com/news/cities/Madurai/not-a-channel-but-a-receptacle-for-trash/article27961610.ece,0,0.04
Hindiustan Times, Govt secretary Vinay Singh takes charge as MCG commissioner,others,2019-06-15,04:24:00,https://www.hindustantimes.com/gurgaon/govt-secretary-vinay-singh-takes-charge-as-mcg-commissioner/story-Pu74P38Gmns93Mxrm9dr3O.html,0,0.04
The Hindu, Stop memo against auctioning of pokkali fields for fish cultivation,others,2019-06-16,09:25:00,https://www.thehindu.com/news/cities/Kochi/stop-memo-against-auctioning-of-pokkali-fields-for-fish-cultivation/article27952542.ece,0,0.03
