Source,Heading,Category,Date,Time,URL,Cluster,cluster_similarity_value
Hindiustan Times, Over 100 reported dead as central Bihar reels under intense heat,patna news,2019-06-18,12:40:00,https://www.hindustantimes.com/patna/over-100-reported-dead-as-central-bihar-reels-under-intense-heat/story-vpomt0EMbH5DvF3fR87hIL.html,0,0.33
Hindiustan Times, 79 die of heatstroke in central Bihar Gaya bans outdoor activities,patna news,2019-06-18,07:49:00,https://www.hindustantimes.com/india-news/79-die-of-heatstroke-as-bihar-sizzles-at-45-c/story-Ku7C1OllQFxxhHHZX63Z5O.html,0,0.21
Hindiustan Times, Maoists shoot dead five policemen in Seraikela Kharsawan,patna news,2019-06-15,03:39:00,https://www.hindustantimes.com/patna/maoists-shoot-dead-five-policemen-in-seraikela-kharsawan/story-x2AtJRTqUU6EWpIEyQAieJ.html,0,0.18
NDTV, Patna Schools To Be Shut Till June 19 Due To Extreme Heat,patna news,2019-06-16,00:58,https://www.ndtv.com/education/heatwave-in-north-india-patna-schools-to-be-shut-till-june-19-due-to-extreme-heat-2054190,0,0.21
Hindiustan Times, Better options of flights from Lucknow to metros now,patna news,2019-06-08,12:47:00,https://www.hindustantimes.com/patna/better-options-of-flights-from-lucknow-to-metros-now/story-VYmUuFbjgrAt7TPnKDXhWO.html,0,0.18
Hindiustan Times, Gates Foundation to support Bihar beyond 2021 says health minister,patna news,2019-06-08,12:34:00,https://www.hindustantimes.com/patna/gates-foundation-to-support-bihar-beyond-2021-says-health-minister/story-hyMKAIZO9eTQGSXJsXZPEP.html,1,0.21
Times of India, Encephalitis deaths Bihar health minister shown black flags,patna news,2019-06-19,00:59,https://timesofindia.indiatimes.com/videos/city/patna/encephalitis-deaths-bihar-health-minister-shown-black-flags/videoshow/69826711.cms,1,0.24
Hindiustan Times, Minister ’ s comment on controlled crime jars in Bihar on review day,patna news,2019-06-08,12:42:00,https://www.hindustantimes.com/patna/minister-s-comment-on-controlled-crime-jars-in-bihar-on-review-day/story-1GdEcB9JUO6VqObz89PVaP.html,1,0.27
Hindiustan Times, ‘ How many wickets down ’ Bihar Health Min asks during meet on encephalitis,patna news,2019-06-18,07:46:00,https://www.hindustantimes.com/india-news/how-many-wickets-down-bihar-health-min-asks-during-meet-on-encephalitis/story-O4jG8p7kLjIALlDnniDE0L.html,2,1.0
Times of India, 12 people die due to heatstroke in Gaya Medical College,patna news,2019-06-19,00:59,https://timesofindia.indiatimes.com/videos/city/patna/12-people-die-due-to-heatstroke-in-gaya-medical-college/videoshow/69809233.cms,3,0.26
