Source,Heading,Category,Date,Time,URL,Cluster,cluster_similarity_value
NDTV, University Of Kashmir Scores A Grade In NAAC Re Accreditation,srinagar news,2019-05-23,00:58,https://www.ndtv.com/education/university-of-kashmir-scores-a-grade-in-naac-accreditation-2041982,0,1.0
NDTV, No Military Movement Today Civilians Permitted On Jammu Srinagar Highway,srinagar news,2019-04-17,00:58,https://www.ndtv.com/india-news/jammu-srinagar-highway-civilians-allowed-as-no-military-movement-planned-today-2024470,1,0.37
Times of India, Massive landslide blocks Jammu Srinagar national highway,srinagar news,2019-06-19,00:59,https://timesofindia.indiatimes.com/city/srinagar/massive-landslide-blocks-jammu-srinagar-national-highway/articleshow/69493531.cms,1,0.37
Times of India, Traffic restrictions on Jammu Srinagar highway to end next week,srinagar news,2019-06-19,00:59,https://timesofindia.indiatimes.com/city/srinagar/traffic-restrictions-on-jammu-srinagar-highway-to-end-next-week/articleshow/69441211.cms,1,0.41
NDTV, Outraged Srinagar Protests Against Custodial Death Of School Principal,srinagar news,2019-03-21,00:58,https://www.ndtv.com/india-news/outraged-srinagar-protests-against-custodial-death-of-school-principal-rizwan-asad-pandit-2010939,2,0.36
NDTV, Baby Allegedly Burnt To Death At Jammu And Kashmir Government Hospital,srinagar news,2019-02-04,00:58,https://www.ndtv.com/srinagar-news/baby-allegedly-burnt-to-death-at-jammu-and-kashmir-government-hospital-1988082,2,0.46
NDTV, 2 Terrorists Shot Planned Attack On Srinagar Republic Day Event Sources,srinagar news,2019-01-26,00:58,https://www.ndtv.com/india-news/in-srinagar-two-terrorists-killed-planned-attack-on-republic-day-event-say-police-sources-1983538,3,0.29
Times of India, J and K government starts electric buses from Jammu to Katra,srinagar news,2019-06-19,00:59,https://timesofindia.indiatimes.com/city/srinagar/government-starts-electric-buses-from-jammu-to-katra/articleshow/69535757.cms,3,0.25
Times of India, Drug peddler who gave police the slip held in Jammu,srinagar news,2019-06-19,00:59,https://timesofindia.indiatimes.com/city/srinagar/drug-peddler-who-gave-police-the-slip-held-in-jammu/articleshow/69686835.cms,4,0.44
Times of India, Gang of burglars busted in Srinagar five held,srinagar news,2019-06-19,00:59,https://timesofindia.indiatimes.com/city/srinagar/gang-of-burglars-busted-in-srinagar-five-held/articleshow/69810425.cms,4,0.39
Times of India, Two cops suspended one sent to police lines after drug peddlar escapes from custody in Jammu and Kashmir,srinagar news,2019-06-19,00:59,https://timesofindia.indiatimes.com/city/srinagar/two-cops-suspended-one-sent-to-police-lines-after-drug-peddlar-escapes-from-custody-in-jammu-and-kashmir/articleshow/69660930.cms,4,0.41
Times of India, Jammu and Kashmir bank case I T officials raid offices locations linked to Dy Mayor of Srinagar,srinagar news,2019-06-19,00:59,https://timesofindia.indiatimes.com/city/srinagar/jammu-and-kashmir-bank-case-i-t-officials-raid-offices-locations-linked-to-dy-mayor-of-srinagar/articleshow/69738210.cms,5,0.33
Times of India, Fire breaks out in Army barrack in Pulwama,srinagar news,2019-06-19,00:59,https://timesofindia.indiatimes.com/city/srinagar/fire-breaks-out-in-army-barrack-in-pulwama/articleshow/69629898.cms,5,0.31
Times of India, Verdict in Kathua rape murder case expected by June 10,srinagar news,2019-06-19,00:59,https://timesofindia.indiatimes.com/city/srinagar/verdict-in-kathua-rape-murder-case-expected-by-june-10/articleshow/69644642.cms,5,0.3
NDTV, Case Filed Against Army Soldiers For Thrashing Jammu And Kashmir Official,srinagar news,2019-04-17,00:58,https://www.ndtv.com/india-news/jammu-and-kashmir-case-filed-against-army-soldier-for-thrashing-official-2024540,5,0.31
NDTV, Infant Dies After Woman Gives Birth On Srinagar Road Probe Ordered,srinagar news,2019-01-19,00:58,https://www.ndtv.com/srinagar-news/jammu-and-kashmir-infant-dies-after-woman-gives-birth-on-srinagar-road-probe-ordered-1980247,6,0.53
NDTV, 5 Of Family Found Dead Under Mysterious Circumstances In Srinagar,srinagar news,2019-01-05,00:58,https://www.ndtv.com/srinagar-news/5-of-family-found-dead-under-mysterious-circumstances-in-srinagar-1973017,7,0.63
NDTV, Jammu And Kashmir Receives Rain Fresh Snow,srinagar news,2019-03-02,00:58,https://www.ndtv.com/india-news/jammu-and-kashmir-receives-rain-fresh-snow-2001557,8,0.36
NDTV, Cold Wave Conditions Continue To Grip Kashmir Valley,srinagar news,2019-01-09,00:58,https://www.ndtv.com/india-news/cold-wave-conditions-continue-to-grip-kashmir-valley-1974886,8,0.41
Times of India, Srinagar martial arts academy trains players to pack a punch,srinagar news,2019-06-19,00:59,https://timesofindia.indiatimes.com/city/srinagar/srinagar-martial-arts-academy-trains-players-to-pack-a-punch/articleshow/69576984.cms,9,1.0
NDTV, Farooq Abdullah Files Nomination Papers For Srinagar Lok Sabha Seat,srinagar news,2019-03-25,00:58,https://www.ndtv.com/srinagar-news/farooq-abdullah-files-nomination-papers-for-srinagar-lok-sabha-seat-2012423,10,0.53
Times of India, Government teachers to get salary only after getting attendance certificate in Jammu and Kashmirs Kishtwar,srinagar news,2019-06-19,00:59,https://timesofindia.indiatimes.com/city/srinagar/government-teachers-to-get-salary-only-after-getting-attendance-certificate-in-jammu-and-kashmirs-kishtwar/articleshow/69839096.cms,11,0.57
Times of India, This 26 year old is 1st Kashmiri woman to summit Everest,srinagar news,2019-06-19,00:59,https://timesofindia.indiatimes.com/city/srinagar/this-26-yr-old-is-1st-kashmiri-woman-to-summit-everest/articleshow/69453004.cms,12,1.0
Times of India, Security arrangements for Kheer Bhawani fair reviewed,srinagar news,2019-06-19,00:59,https://timesofindia.indiatimes.com/city/srinagar/security-arrangements-for-kheer-bhawani-fair-reviewed/articleshow/69701280.cms,13,1.0
Times of India, Restrictions in parts of Srinagar ahead of proposed march by separatists,srinagar news,2019-06-19,00:59,https://timesofindia.indiatimes.com/city/srinagar/restrictions-in-parts-of-srinagar-ahead-of-proposed-march-by-separatists/articleshow/69425089.cms,14,1.0
Times of India, Tourist guide drowns after saving five lives from Lidder river in Pahalgam,srinagar news,2019-06-19,00:59,https://timesofindia.indiatimes.com/city/srinagar/tourist-guide-drowns-after-saving-five-lives-from-lidder-river-in-pahalgam/articleshow/69608797.cms,15,1.0
