Source,Heading,Category,Date,Time,URL,Cluster,cluster_similarity_value
NDTV, BJP Leader Krishan Kumar Sehrwat Joins AAP In Delhi,surat news,2019-04-27,00:58,https://www.ndtv.com/delhi-news/bjp-leader-krishan-kumar-sehrwat-joins-aap-in-delhi-2029357,0,0.53
Times of India, Sugar cane producers diversify to biofuel,surat news,2019-06-19,00:59,https://timesofindia.indiatimes.com/city/surat/sugar-cane-producers-diversify-to-biofuel/articleshow/69806900.cms,1,0.28
Times of India, New expanded terminal building to handle over 40 international flights daily,surat news,2019-06-19,00:59,https://timesofindia.indiatimes.com/city/surat/new-expanded-terminal-building-to-handle-over-40-intl-flights-daily/articleshow/69806924.cms,1,0.27
Times of India, Custodial death Criminal conspiracy angle to cover up case not yet probed,surat news,2019-06-19,00:59,https://timesofindia.indiatimes.com/city/surat/custodial-death-criminal-conspiracy-angle-to-cover-up-case-not-yet-probed/articleshow/69806806.cms,1,0.27
NDTV, Train Hawker Sent To 10 Day Judicial Custody For Mimicking Politicians,surat news,2019-06-02,00:58,https://www.ndtv.com/surat-news/train-hawker-sent-to-10-day-judicial-custody-for-mimicking-politicians-2046651,1,0.27
Times of India, Son of retired IPS officer booked for impersonating cop,surat news,2019-06-19,00:59,https://timesofindia.indiatimes.com/city/surat/son-of-retd-ips-officer-booked-for-impersonating-cop/articleshow/69817665.cms,2,0.45
Times of India, Paper reveals cash deposits by graft accused charity officer,surat news,2019-06-19,00:59,https://timesofindia.indiatimes.com/city/surat/paper-reveals-cash-deposits-by-graft-accused-charity-officer/articleshow/69778546.cms,2,0.37
NDTV, Extremely Anguished PM Tweets Condolences After Surat Fire Kills 19,surat news,2019-05-24,00:58,https://www.ndtv.com/india-news/surat-coaching-class-fire-extremely-anguished-pm-narendra-modi-tweets-condolences-after-surat-fire-k-2042633,3,0.34
NDTV, Three Of 20 Students Killed In Surat Coaching Centre Fire Pass 12th Exams,surat news,2019-05-25,00:58,https://www.ndtv.com/india-news/three-of-20-students-killed-in-surat-coaching-centre-fire-pass-class-12th-exams-2042979,3,0.28
NDTV, 20 Dead In Surat Coaching Centre Fire Students Jumped Off Building,surat news,2019-05-24,00:58,https://www.ndtv.com/india-news/huge-fire-at-multi-storey-building-in-surat-18-fire-engines-at-the-spot-2042615,3,0.27
NDTV, Two Officials Arrested For Negligence After Surat Coaching Centre Fire,surat news,2019-05-31,00:58,https://www.ndtv.com/surat-news/surat-coaching-centre-fire-two-officials-arrested-for-negligence-2046189,3,0.25
NDTV, Surat Traffic Cop Suspended After Video Shows Him Abusing PM Modi,surat news,2019-05-31,00:58,https://www.ndtv.com/surat-news/surat-traffic-cop-suspended-after-video-shows-him-abusing-pm-modi-2046200,4,0.57
Times of India, Doctors observe strike to show solidarity with West Bengal colleagues,surat news,2019-06-19,00:59,https://timesofindia.indiatimes.com/city/surat/doctors-observe-strike-to-show-solidarity-with-w-bengal-colleagues/articleshow/69832205.cms,5,0.19
NDTV, Car Catches Fire On Surat Flyover No Casualties Reported,surat news,2019-05-13,00:58,https://www.ndtv.com/surat-news/car-catches-fire-on-surat-flyover-no-casualties-reported-2037004,5,0.22
Times of India, Doctors to stay away from work in Surat on Monday,surat news,2019-06-19,00:59,https://timesofindia.indiatimes.com/city/surat/docs-to-stay-away-from-work-in-city-on-monday/articleshow/69806850.cms,5,0.22
Times of India, Surat Two of eight accused cops surrender,surat news,2019-06-19,00:59,https://timesofindia.indiatimes.com/city/surat/two-of-8-accused-cops-surrender/articleshow/69795401.cms,5,0.22
Times of India, Surat fire tragedy Bhargav Butani submits dubious affidavits for bail,surat news,2019-06-19,00:59,https://timesofindia.indiatimes.com/city/surat/butani-submits-dubious-affidavits-for-bail/articleshow/69832237.cms,5,0.25
Times of India, Experts begin work on groundwater management plan for farmers,surat news,2019-06-19,00:59,https://timesofindia.indiatimes.com/city/surat/experts-begin-work-on-groundwater-mgmt-plan-for-farmers/articleshow/69817673.cms,5,0.19
Times of India, Record 583 units of blood donated,surat news,2019-06-19,00:59,https://timesofindia.indiatimes.com/city/surat/record-583-units-of-blood-donated/articleshow/69817656.cms,6,1.0
Times of India, Gujarat MLA Jignesh Mevani booked for defaming Valsad school,surat news,2019-06-19,00:59,https://timesofindia.indiatimes.com/city/surat/mevani-booked-for-defaming-valsad-school/articleshow/69806820.cms,7,0.92
