Newspaper,Heading,Date,Time,URL
Time of India,UGC to assess quality of PhDs awarded in the last decade,2019-06-03, 20:32:00,https://timesofindia.indiatimes.com/home/education/news/ugc-to-assess-quality-of-phds-awarded-in-the-last-decade/articleshow/69637531.cms
Time of India,"TOEFL duration reduced, to include best scores feature",2019-06-03, 20:27:00,https://timesofindia.indiatimes.com/home/education/news/toefl-duration-reduced-to-include-best-scores-feature/articleshow/69637459.cms
Time of India,Talking Point: Education reforms needed in next five years,2019-06-03, 20:24:00,https://timesofindia.indiatimes.com/home/education/news/talking-point-education-reforms-needed-in-next-five-years/articleshow/69637416.cms
Time of India,Return of Boards in class V and VIII in Punjab,2019-06-03, 20:20:00,https://timesofindia.indiatimes.com/home/education/news/return-of-boards-in-class-v-and-viii-in-punjab/articleshow/69637357.cms
Time of India,Bihar ITI CAT 2019 rank card released @bceceboard.bihar.gov.in; here's direct link,2019-06-03, 20:13:00,https://timesofindia.indiatimes.com/home/education/news/bihar-iti-cat-2019-result-declared-bceceboard-bihar-gov-in-check-direct-link-here/articleshow/69627940.cms
Time of India,Rajasthan board declared class 10 results 2019 today; 79.85% pass,2019-06-03, 20:10:00,https://timesofindia.indiatimes.com/home/education/news/rajasthan-board-declared-class-10-results-2019-today-79-85-pass/articleshow/69637171.cms
Time of India,Research centre to develop technologies for the differently abled,2019-06-03, 20:02:00,https://timesofindia.indiatimes.com/home/education/news/research-centre-to-develop-technologies-for-the-differently-abled/articleshow/69637089.cms
Time of India,Noteworthy changes in DU admissions 2019,2019-06-03, 19:54:00,https://timesofindia.indiatimes.com/home/education/news/noteworthy-changes-in-du-admissions-2019/articleshow/69637002.cms
Time of India,"Niche Course: NGO Management aims to offer an edge to HIV workers, jail inmates",2019-06-03, 19:49:00,https://timesofindia.indiatimes.com/home/education/news/niche-course-ngo-management-aims-to-offer-an-edge-to-hiv-workers-jail-inmates/articleshow/69636940.cms
Time of India,Making a change: Kerala girl starts social enterprise to evade gender inequality in rural areas,2019-06-03, 19:46:00,https://timesofindia.indiatimes.com/home/education/news/making-a-change-kerala-girl-starts-social-enterprise-to-evade-gender-inequality-in-rural-areas/articleshow/69636904.cms
Time of India,Homemakers volunteer to revolutionise education for the poor,2019-06-03, 19:43:00,https://timesofindia.indiatimes.com/home/education/news/homemakers-volunteer-to-revolutionise-education-for-the-poor/articleshow/69636866.cms
Time of India,"ARPIT-Swayam at JNU to target 6,000 in-service teachers",2019-06-03, 19:35:00,https://timesofindia.indiatimes.com/home/education/news/arpit-swayam-at-jnu-to-target-6000-in-service-teachers/articleshow/69636798.cms
Time of India,Course Cursor: Here’s what a course in Development Studies at IIT Madras has to offer,2019-06-03, 19:32:00,https://timesofindia.indiatimes.com/home/education/news/course-cursor-heres-what-a-course-in-development-studies-at-iit-madras-has-to-offer/articleshow/69636732.cms
Time of India,Cambridge Assessment plans to expand in India,2019-06-03, 19:22:00,https://timesofindia.indiatimes.com/home/education/news/cambridge-assessment-plans-to-expand-in-india/articleshow/69636560.cms
Time of India,Get ready for QR coded degrees and certificates,2019-06-03, 19:12:00,https://timesofindia.indiatimes.com/home/education/news/get-ready-for-qr-coded-degrees-and-certificates/articleshow/69636483.cms
Time of India,Calcutta University resorts to online admission for transparency,2019-06-03, 19:09:00,https://timesofindia.indiatimes.com/home/education/news/calcutta-university-resorts-to-online-admission-for-transparency/articleshow/69636424.cms
Time of India,BSER Rajasthan Board Class 10th result 2019 declared @rajresults.nic.in; 79.85% pass,2019-06-03, 19:01:00,https://timesofindia.indiatimes.com/home/education/news/bser-rajasthan-board-class-10th-result-2019-released-rajresults-nic-in/articleshow/69619212.cms
Time of India,Rajasthan Class X result declared,2019-06-03, 17:33:00,https://timesofindia.indiatimes.com/home/education/news/rajasthan-class-x-result-declared/articleshow/69634996.cms
Time of India,"RBSE 10th result 2019 declared @ rajresults.nic.in, girls outshine boys",2019-06-03, 17:20:00,https://timesofindia.indiatimes.com/home/education/news/rbse-10th-result-2019-rajasthan-class-x-results-rajresults-nic-in-check-updates-here/articleshow/69626793.cms
