Newspaper,Heading,Date,Time,URL
Hindiustan Times,"JNUEE 2019: Take action against entrance paper leaks, JNUSU tells admin","Jun 11, 2019",09:53:00,https://www.hindustantimes.com/education/jnuee-2019-take-action-against-entrance-paper-leaks-jnusu-tells-admin/story-eIm5PehwslLxVkxAclwSyN.html
Hindiustan Times,Admissions go on-campus as glitches hit online process in Gurugram ,"Jun 11, 2019",09:53:00,https://www.hindustantimes.com/education/admissions-go-on-campus-as-glitches-hit-online-process-in-gurugram/story-3Aq0Tg6vYmucPErKJyRHpM.html
Hindiustan Times,UGC cracks whip to fill vacant posts in universities ,"Jun 11, 2019",09:53:00,https://www.hindustantimes.com/education/ugc-cracks-whip-to-fill-vacant-posts-in-universities/story-bqmw3bcY9dFva8azWI8iIP.html
Hindiustan Times,"TS ICET Result 2019: Telangana ICET results on June 13, here’s how to download rank card","Jun 11, 2019",17:45:00,https://www.hindustantimes.com/education/ts-icet-result-2019-telangana-icet-results-on-june-13-here-s-how-to-download-rank-card/story-OW1THSolo59iH3gpmd5lAO.html
Hindiustan Times,Scholarships to 5 crore minority students in next 5 years: Union minister Naqvi,"Jun 11, 2019",16:41:00,https://www.hindustantimes.com/education/scholarships-to-5-crore-minority-students-in-next-5-years-announces-union-minister-naqvi/story-zkBeHEienuLHJFrR9gduwJ.html
Hindiustan Times,"8-year-old Indian expat student collects 15,000 kg paper waste in Dubai","Jun 11, 2019",17:45:00,https://www.hindustantimes.com/education/8-year-old-indian-expat-student-collects-15-000-kg-paper-waste-in-dubai/story-13szhoVDVfkbhyjQsNp9YJ.html
Hindiustan Times,"HSSC Recruitment 2019: Over 6000 vacancies announced for constable, SI posts, application begins from June 12","Jun 11, 2019",16:13:00,https://www.hindustantimes.com/education/hssc-recruitment-2019-over-6000-vacancies-announced-for-constable-si-posts-application-begins-from-june-12/story-LUfAxkeQPdg8w8jQl2P2vI.html
Hindiustan Times,AIIMS MBBS Result 2019 likely to be declared tomorrow. Here’s how to check,"Jun 11, 2019",16:38:00,https://www.hindustantimes.com/education/aiims-mbbs-result-2019-to-be-declared-tomorrow-here-s-how-to-check/story-XqN9qQN2w7rqxnrZp6gJUI.html
Hindiustan Times,FYJC race: State push for SSC students?,"Jun 11, 2019",11:59:00,https://www.hindustantimes.com/education/fyjc-race-state-push-for-ssc-students/story-hoNXK5rhsozmdWodYOSWAP.html
Hindiustan Times,NTA ICAR AIEEA admit card to be released on June 17,"Jun 11, 2019",10:51:00,https://www.hindustantimes.com/education/nta-icar-aieea-admit-card-to-be-released-on-june-17/story-ZcTg43zDesbz8UDdoBbneM.html
Hindiustan Times,Admissions go on-campus as glitches hit online process in Gurugram ,"Jun 11, 2019",09:53:00,https://www.hindustantimes.com/education/admissions-go-on-campus-as-glitches-hit-online-process-in-gurugram/story-3Aq0Tg6vYmucPErKJyRHpM.html
