Newspaper,Heading,Date,Time,URL
Hindiustan Times,"UK Board 10th, 12th result 2019: Here are the highlights",2019-05-30,18:51:00,https://www.hindustantimes.com/education/uttarakhand-ubse-10th-12th-result-2019-live-updates/story-zHMmd7kxXVcknvrLLBPVrL.html
Hindiustan Times,Uttarakhand UBSE Result 2019: What anxious students waiting for Class 10 and Class 12 board exam results said,2019-05-29,18:45:00,https://www.hindustantimes.com/education/uttarakhand-ubse-result-2019-what-anxious-students-waiting-for-class-10-and-class-12-board-exam-results-said/story-79dkqtOuCTBt8gpbsaNHwO.html
Hindiustan Times,UBSE 10th 12th result 2019: Uttarakhand board results will declared today at ubse.uk.gov.in,2019-05-30,07:36:00,https://www.hindustantimes.com/education/ubse-10th-12th-result-2019-uttarakhand-board-results-will-declared-today-at-ubse-uk-gov-in/story-Z2qAEeTbqEFZnYzy5Lb0cN.html
Hindiustan Times,"Day after STF raids on its  headquarters, UPPSC postpones PCS (Mains) 2018 exam",2019-05-30,15:07:00,https://www.hindustantimes.com/education/day-after-stf-raids-on-its-headquarters-uppsc-postpones-pcs-mains-2018-exam/story-XzNKyFpR6RAAxNqpaVttbP.html
Hindiustan Times,Uttrakhand Board Result 2019: UK board girls outsmart boys in both Class 10 and Class 12,2019-05-30,14:04:00,https://www.hindustantimes.com/education/uttrakhand-board-result-2019-uk-board-girls-outsmart-boys-in-both-class-10-and-class-12/story-DfurDePVwf5J3FzjbyTw3K.html
Hindiustan Times,CISF head constable exam admit card date: Hall ticket to be released on June 1 at cisfrectt.in ,2019-05-30,13:21:00,https://www.hindustantimes.com/education/cisf-head-constable-admit-card-date-hall-ticket-to-be-released-on-june-1-at-cisfrectt-in/story-VUmorFhsbU3tqMxNWT9zQM.html
Hindiustan Times,How to make the most of your retake year ,2019-05-30,17:50:00,https://www.hindustantimes.com/education/how-to-make-the-most-of-your-retake-year/story-WhZ1rjj1dZl4Yh0RigZ7oI.html
Hindiustan Times,"NEET answer key 2019 released at ntaneet.nic.in, here’s how to raise objections",2019-05-30,18:51:00,https://www.hindustantimes.com/education/neet-answer-key-2019-released-at-ntaneet-nic-in-here-s-how-to-raise-objections/story-3dGeD0UzGS7p0RgWweYbTJ.html
Hindiustan Times,"UK Board Result  2019: UBSE 10th, 12th results declared, 80.13% pass class 12 and 76.43% pass Class 10",2019-05-30,11:22:00,https://www.hindustantimes.com/education/uk-board-result-2019-ubse-10th-12th-results-declared-80-13-pass-class-12-and-76-43-pass-class-10/story-puCGveCECIGyRqcAiEVzbL.html
Hindiustan Times,"UK board 10th, 12th Result 2019 out, 80.13% pass Uttarakhand Class 12 and 76.43% pass Class 10 exams ",2019-05-30,11:45:00,https://www.hindustantimes.com/education/uk-board-10th-12th-result-2019-out-80-13-pass-uttarakhand-class-12-and-76-43-pass-class-10-exams/story-dcKtpFL5yHK4lwdTYGTRyL.html
Hindiustan Times,"UK 10th, 12th result 2019 declared, where and how to check Uttarakhand board Class 10 and Class 12 results",2019-05-30,11:44:00,https://www.hindustantimes.com/education/ubse-10th-12th-result-2019-where-and-how-to-check-uttarakhand-board-class-10-and-class-12-results/story-pS4S4IPbEtwJ3N3czzbt8J.html
Hindiustan Times,"UK Board 10th, 12th result 2019: Here are the highlights",2019-05-30,18:51:00,https://www.hindustantimes.com/education/uttarakhand-ubse-10th-12th-result-2019-live-updates/story-zHMmd7kxXVcknvrLLBPVrL.html
