Newspaper,Heading,Date,Time,URL
Hindiustan Times,MSBSHSE 12th result 2019 declared today. Check Maharashtra HSC scores at mahresults.nic.in,2019-05-28,14:36:00,https://www.hindustantimes.com/education/msbshse-12th-result-2019-declared-today-check-maharashtra-board-scores-at-mahresults-nic-in/story-Tl9fVeDJQYalaVyjQo8QxM.html
Hindiustan Times,Maharashtra Board Result 2019: MSBSHSE 12th result declared at mahresult.nic.in ,2019-05-28,13:07:00,https://www.hindustantimes.com/education/maharashtra-board-result-2019-msbshse-12th-result-to-be-declared-at-1pm-tomorrow-at-mahresult-nic-in/story-cobfu43HnAbraTo2FZ6k3M.html
Hindiustan Times,"TSBIE Telangana board TS inter 12th revaluation result 2019 declared, here’s direct link to check",2019-05-28,10:57:00,https://www.hindustantimes.com/education/tsbie-telangana-board-ts-inter-12th-revaluation-result-2019-declared-here-s-direct-link-to-check/story-2fiI8zC1roFoJzdt3s94VJ.html
Hindiustan Times,UGC to study quality of PhD thesis for doctoral degrees awarded in last 10 yrs,2019-05-28,16:45:00,https://www.hindustantimes.com/india-news/ugc-to-study-quality-of-phd-thesis-for-doctoral-degrees-awarded-in-last-10-yrs/story-xq4hAJttCS6MucU1GbWfWK.html
Hindiustan Times,"DU Campus Prep: Hey, soon-to-be Fuchchas, ready for DU life?",2019-05-28,15:06:00,https://www.hindustantimes.com/education/du-campus-prep-hey-soon-to-be-fuchchas-ready-for-du-life/story-vlwWSyl9kPXRrTfx5mx4xM.html
Hindiustan Times,DU Admission 2019: Cutoff relief for students as all MILs included in DU list,2019-05-28,14:33:00,https://www.hindustantimes.com/education/du-admission-2019-cutoff-relief-for-students-as-all-mils-included-in-du-list/story-e3mps9QhsOyK4vlDn6j93J.html
Hindiustan Times,Record 1.77 lakh students apply for degree courses at LNMU ,2019-05-28,14:28:00,https://www.hindustantimes.com/education/record-1-77-lakh-students-apply-for-degree-courses-at-lnmu/story-Tp1wYmptCS8TrKCPlmbpBL.html
Hindiustan Times,Kerala Plus One Result 2019 Declared: DHSE declares Kerala Board 11th result today,2019-05-28,13:46:00,https://www.hindustantimes.com/education/kerala-plus-one-result-2019-declared-dhse-declared-kerala-board-11th-result-today/story-pesbL7dK1JlG0C3ehvoB3O.html
Hindiustan Times,Maharashtra Board Result 2019 Highlights: HSC 12th Result declared,2019-05-28,16:16:00,https://www.hindustantimes.com/education/maharashtra-board-hsc-result-2019-msbshse-12th-result-live-updates/story-5acmbbHML5wGL7bm2UhKcM.html
Hindiustan Times,MSBSHSE 12th result 2019 declared today. Check Maharashtra HSC scores at mahresults.nic.in,2019-05-28,14:36:00,https://www.hindustantimes.com/education/msbshse-12th-result-2019-declared-today-check-maharashtra-board-scores-at-mahresults-nic-in/story-Tl9fVeDJQYalaVyjQo8QxM.html
Hindiustan Times,"TSBIE Telangana board TS inter 12th revaluation result 2019 declared, here’s direct link to check",2019-05-28,10:57:00,https://www.hindustantimes.com/education/tsbie-telangana-board-ts-inter-12th-revaluation-result-2019-declared-here-s-direct-link-to-check/story-2fiI8zC1roFoJzdt3s94VJ.html
Hindiustan Times,"College, varsity teachers to get lessons in constitutional values",2019-05-28,07:31:00,https://www.hindustantimes.com/education/college-varsity-teachers-to-get-lessons-in-constitutional-values/story-TXQctQSlfMuQUdtmTG1kFN.html
Hindiustan Times,JEE Advanced Paper 2: Quick analysis of the exam based on students reactions,2019-05-27,19:17:00,https://www.hindustantimes.com/education/jee-advanced-paper-2-quick-analysis-of-the-exam-based-on-students-reactions/story-suwCY98FGDiL8gJZctx1FP.html
Hindiustan Times,Maharashtra Board Result 2019: MSBSHSE 12th result declared at mahresult.nic.in ,2019-05-28,13:07:00,https://www.hindustantimes.com/education/maharashtra-board-result-2019-msbshse-12th-result-to-be-declared-at-1pm-tomorrow-at-mahresult-nic-in/story-cobfu43HnAbraTo2FZ6k3M.html
Hindiustan Times,"Telangana inter recounting result 2019 declared, here’s how to check",2019-05-28,10:41:00,https://www.hindustantimes.com/education/telangana-inter-revaluation-result-2019-expected-today-here-s-how-to-check/story-SvN35zXn9dTXGlFR4bOXxJ.html
Hindiustan Times,"CLAT 2019: Check question paper analysis, expected cutoff here",2019-05-27,16:15:00,https://www.hindustantimes.com/education/clat-2019-check-question-paper-analysis-expected-cutoff-here/story-ZYpvAWfTxAO75xe7qhDEGK.html
Hindiustan Times,"JEE Advanced 2019: Expected cutoff, question paper analysis, expert comments here",2019-05-27,15:07:00,https://www.hindustantimes.com/education/jee-advanced-2019-expected-cutoff-question-paper-analysis-expert-comments-here/story-b7goVv2AlZy6VY1S7uDDcK.html
Hindiustan Times,"Vidya Bharti goes digital, launches its website and mobile app",2019-05-27,14:56:00,https://www.hindustantimes.com/education/vidya-bharti-goes-digital-launches-its-website-and-mobile-app/story-s4nJvH9UhzBK8FHhHVoCfO.html
Hindiustan Times,"MBOSE 10th, 12th (Arts) Results 2019 declared. St. Mary’s School top in Class X, St. Anthony’s in Class XII ",2019-05-27,14:45:00,https://www.hindustantimes.com/education/mbose-10th-12th-arts-results-2019-declared-st-mary-s-school-top-in-class-x-st-anthony-s-in-class-xii/story-LZbuORpZH3C5XkmNPJ3dhI.html
Hindiustan Times,"UBSE result 2019 date and time: Uttarakhand board 10th, 12th results on May 30",2019-05-27,12:28:00,https://www.hindustantimes.com/education/ubse-result-2019-date-and-time-uttarakhand-board-10th-12th-results-on-may-30/story-EicEl4GuWIsiXj6HQKHQNK.html
Hindiustan Times,"West Bengal 12th Result 2019: WBCHSE announces result, overall pass percent is 86.92. Full details here",2019-05-27,11:39:00,https://www.hindustantimes.com/education/west-bengal-12th-result-2019-wbchse-announces-result-overall-pass-percent-is-86-92-full-details-here/story-5Kge4h9kQTB3VHG0rAegaL.html
Hindiustan Times,West Bengal 12th Result 2019 declared. Direct link to check WBCHSE 12th board marks here,2019-05-27,11:12:00,https://www.hindustantimes.com/education/west-bengal-12th-result-2019-declared-direct-link-to-check-wbchse-12th-board-marks-here/story-TXSpXCoiFNCpEl2zRI0k6M.html
Hindiustan Times,"Announced: West Bengal 12th Result 2019 declared at wbchse.nic.in, check it here",2019-05-27,11:23:00,https://www.hindustantimes.com/education/west-bengal-12th-result-2019-declared-at-wbchse-nic-in-full-details-here/story-ZMtkEstWzfzSnHG1TTSVWM.html
Hindiustan Times,BSEB: Bihar Board inter exam pattern changed. Read full details here,2019-05-27,08:59:00,https://www.hindustantimes.com/education/bseb-bihar-board-inter-exam-pattern-changed-read-full-details-here/story-ViDl2uYgEMiUTv5Bp59nsI.html
Hindiustan Times,"West Bengal 12th Result 2019: WBCHSE Class 12 result declared, check at wbchse.nic.in",2019-05-27,11:26:00,https://www.hindustantimes.com/education/west-bengal-12th-result-2019-wbchse-result-will-be-declared-today-check-board-result-at-wbchse-nic-in/story-v6Tl41agTktVDc7Mn8RSWJ.html
Hindiustan Times,"West Bengal 12th Result 2019 declared, here are the highlights",2019-05-27,16:35:00,https://www.hindustantimes.com/education/west-bengal-12th-result-2019-live-updates/story-LAfzlubLDdIfJGmKweg8MJ.html
Hindiustan Times,MBoSE Meghalaya Board results for Class 10 and Class 12 (Arts) to be declared today,2019-05-27,06:59:00,https://www.hindustantimes.com/education/mbose-meghalaya-board-results-for-class-10-and-class-12-arts-to-be-declared-today/story-LrCR6osaE7o3HUqBlcTIXI.html
Hindiustan Times,GSHSEB Gujarat 12th Board Results: 79 schools score less than 10% result ,2019-05-26,15:33:00,https://www.hindustantimes.com/education/gshseb-gujarat-12th-board-results-79-schools-score-less-than-10-result/story-FVRsWHViyX3AJmXl35RAMI.html
Hindiustan Times,Mumbra’s kids get the reading bug from ‘suitcase’ library ,2019-05-26,15:29:00,https://www.hindustantimes.com/education/mumbra-s-kids-get-the-reading-bug-from-suitcase-library/story-X6H4cOjjlrv0selLygm41O.html
Hindiustan Times,"Government- aided Sanskrit colleges facing acute shortage of teachers, principals   ",2019-05-28,18:01:00,https://www.hindustantimes.com/education/government-aided-sanskrit-colleges-facing-acute-shortage-of-teachers-principals/story-BG4h8fySHWxcmCCbwJLBsK.html
Hindiustan Times,WBCHSE 12th Result 2019: Where and how to check West Bengal 12th Board Results at wbchse.nic.in,2019-05-27,11:47:00,https://www.hindustantimes.com/education/wbchse-12th-result-2019-where-and-how-to-check-west-bengal-12th-board-results-at-wbchse-nic-in/story-lfAXF6ni22KfdTUTINZzmL.html
Hindiustan Times,Dubai-based Indian boy finalist in Google Science Fair,2019-05-26,14:48:00,https://www.hindustantimes.com/education/dubai-based-indian-boy-finalist-in-google-science-fair/story-ZLB9sHYekcW1Z7ahNIVQkO.html
Hindiustan Times,"SSC SI in Delhi Police, CAPF, ASI in CISF Result 2018-19 announced ",2019-05-26,13:25:00,https://www.hindustantimes.com/education/ssc-si-in-delhi-police-capf-asi-in-cisf-result-2018-19-announced/story-Np7dwIRVIJE8wA047qJqzJ.html
Hindiustan Times,West Bengal 12th Result 2019: WBCHSE Uccha Madhyamik results tomorrow,2019-05-26,12:35:00,https://www.hindustantimes.com/education/west-bengal-12th-result-2019-wbchse-uccha-madhyamik-results-tomorrow/story-J7fSEeWlfymrJn7qWw5smJ.html
Hindiustan Times,"NTA UGC- NET admit card 2019  to release tomorrow, here’s how to download",2019-05-26,12:24:00,https://www.hindustantimes.com/education/nta-ugc-net-admit-card-2019-to-release-tomorrow-here-s-how-to-download/story-x5wq96LuMiHizO6jLJhjQK.html
Hindiustan Times,JEE Advanced 2019 to be conducted by IIT Roorkee tomorrow. Everything you need to know about test,2019-05-26,12:07:00,https://www.hindustantimes.com/education/jee-advanced-2019-to-be-conducted-by-iit-roorkee-tomorrow-everything-you-need-to-know-about-test/story-ZJuaXRD9ST5vIyNNrLwA1L.html
Hindiustan Times,"Indian Army Women Recruitment 2019: Check details of vacancy, eligibility and other details. Apply before June 8",2019-05-26,10:27:00,https://www.hindustantimes.com/education/indian-army-women-recruitment-2019-check-details-of-vacancy-eligibility-and-other-details-apply-before-june-8/story-rQ3jB54qQg7ZybKKYIncNP.html
Hindiustan Times,"UPSC civil services 2019 prelims on June 2: Read last minute tips, expert advice and books to revise ",2019-05-26,09:12:00,https://www.hindustantimes.com/education/upsc-civil-services-2019-prelims-on-june-2-read-last-minute-tips-expert-advice-and-books-to-revise/story-dlX8PK8bMvjD2cJtAhSC3L.html
