Newspaper,Heading,Category,Date,Time,URL
Time of India,TS Inter Supplementary hall ticket 2019 released for 1st and 2nd year at bie.telangana.gov.in,board exams,2019-06-07,22:05,https://timesofindia.indiatimes.com/home/education/board-exams/ts-inter-supplementary-hall-ticket-2019-for-1st-and-2nd-year-released-at-bie-telangana-gov-in/articleshow/69674427.cms
Time of India,Tamil Nadu Board Exam 2019: Date sheet for class 10 and 12 released,board exams,2019-06-07,22:05,https://timesofindia.indiatimes.com/home/education/board-exams/tamil-nadu-board-exam-2019-date-sheet-for-class-10-and-12-released/articleshow/67742012.cms
Time of India,Quadratic Equation formulas and concepts: Learn how to solve questions easily,board exams,2019-06-07,22:05,https://timesofindia.indiatimes.com/home/education/board-exams/quadratic-equations-learn-important-formulas-and-concepts-in-easy-steps/articleshow/65841662.cms
Time of India,BSEH Class 12 result on May 18 on bseh.org.in,board exams,2019-06-07,22:05,https://timesofindia.indiatimes.com/home/education/board-exams/bseh-class-12-result-on-may-18-on-bseh-org-in/articleshow/64110253.cms
Time of India,BSEH Class 10 Result 2018 to be released on May 21 at bseh.org.in,board exams,2019-06-07,22:05,https://timesofindia.indiatimes.com/home/education/board-exams/bseh-class-10-result-2018-to-be-released-on-may-21-at-bseh-org-in/articleshow/64110097.cms
Time of India,GSEB HSC Result 2018: Gujarat class 12th science results released @ gseb.org; check your result here,board exams,2019-06-07,22:05,https://timesofindia.indiatimes.com/home/education/board-exams/gseb-hsc-result-2018-gujarat-class-12-science-results-today-gseb-org/articleshow/64100678.cms
Time of India,"MBOSE HSSLC Result 2018: Meghalaya HSSLC Science, Commerce, Vocational results declared @ results.mbose.in",board exams,2019-06-07,22:05,https://timesofindia.indiatimes.com/home/education/board-exams/mbose-result-2018-meghalaya-board-hsslc-result-for-science-commerce-vocational-streams-today-mbose-in/articleshow/64100685.cms
Time of India,Chhattisgarh class 10 and 12 results: Girls outshine boys,board exams,2019-06-07,22:05,https://timesofindia.indiatimes.com/home/education/board-exams/chhattisgarh-class-10-and-12-results-girls-outshine-boys/articleshow/64098973.cms
Time of India,Kerala SSLC results 2018: KBPE Class 10th result likely on May 3,board exams,2019-06-07,22:05,https://timesofindia.indiatimes.com/home/education/board-exams/kbpe-likely-to-release-kerala-class-10-result-in-first-week-of-may/articleshow/63974910.cms
Time of India,Odisha board results likely to be announced on first week of May,board exams,2019-06-07,22:05,https://timesofindia.indiatimes.com/home/education/board-exams/odisha-board-results-likely-to-be-announced-on-first-week-of-may/articleshow/63974382.cms
Time of India,"CBSE to release Class 10 & 12 results on time, no delay due to economics paper: CBSE official",board exams,2019-06-07,22:05,https://timesofindia.indiatimes.com/home/education/board-exams/cbse-to-release-class-10-12-results-on-time-no-delay-due-to-economics-paper-cbse-official/articleshow/63973701.cms
Time of India,"AP SSC Results 2018: Andhra Pradesh 10th Class results released, pass percentage 94.48%",board exams,2019-06-07,22:05,https://timesofindia.indiatimes.com/home/education/board-exams/ap-ssc-results-2018-andhra-pradesh-10th-class-results-soon-live-updates/articleshow/63960090.cms
Time of India,"UP Board results: Anjali Verma tops class X, Rajneesh Shukla & Akash Maurya top class XII",board exams,2019-06-07,22:05,https://timesofindia.indiatimes.com/home/education/board-exams/up-board-results-anjali-verma-tops-class-x-rajneesh-shukla-akash-maurya-tops-class-xii/articleshow/63959474.cms
Time of India,Andhra Pradesh class 10th result today; here is download link,board exams,2019-06-07,22:05,https://timesofindia.indiatimes.com/home/education/board-exams/ap-ssc-results-2018-andhra-pradesh-class-10th-result-2018-tomorrow-register-here-for-result/articleshow/63948736.cms
Time of India,UP Board result 2018: UPMSP Class 10 &12 result tomorrow; register here for result SMS,board exams,2019-06-07,22:05,https://timesofindia.indiatimes.com/home/education/board-exams/up-board-result-2018-upmsp-class-10-12-result-tomorrow-register-here-for-result-sms/articleshow/63949048.cms
Time of India,Karnataka PUC Results 2018 date declared; Details here,board exams,2019-06-07,22:05,https://timesofindia.indiatimes.com/home/education/board-exams/karnataka-puc-results-2018-date-released-check-here/articleshow/63924724.cms
Time of India,JKBOSE results 2018: Class 12 part 2 results for Jammu region released @ jkbose.jk.gov.in; check here,board exams,2019-06-07,22:05,https://timesofindia.indiatimes.com/home/education/board-exams/jkbose-results-2018-class-12-part-2-results-for-jammu-region-released-on-jkbose-jk-gov-in/articleshow/63916012.cms
Time of India,CBSE Class 12 economics paper re-test on Wednesday,board exams,2019-06-07,22:05,https://timesofindia.indiatimes.com/home/education/board-exams/cbse-class-12-economics-paper-re-test-on-wednesday/articleshow/63899543.cms
Time of India,"UP Board Results 2018: UPMSP Board 2018 Class 10, 12 Results on April 29; get your result here",board exams,2019-06-07,22:05,https://timesofindia.indiatimes.com/home/education/board-exams/upmsp-board-results-2018-up-board-class-10-12-results-date-and-time-confirmed-check-here/articleshow/63892797.cms
Time of India,HP BOSE Class 12 Board Results 2018 declared; check your result here,board exams,2019-06-07,22:05,https://timesofindia.indiatimes.com/home/education/board-exams/hp-bose-class-12-board-results-2018-releases-today-live-updates/articleshow/63892406.cms
Time of India,NEET 2018: Last-minute preparation tips to make the cut,entrance exams,2019-06-07,22:05,https://timesofindia.indiatimes.com/home/education/entrance-exams/neet-2018-last-minute-preparation-tips-to-make-the-cut/articleshow/64039621.cms
Time of India,"JEE Advanced 2018 registration begins from May 2, exam on May 20",entrance exams,2019-06-07,22:05,https://timesofindia.indiatimes.com/home/education/entrance-exams/jee-advanced-2018-registration-to-begin-from-may-2-exam-on-may-20/articleshow/63978142.cms
Time of India,JEE Main Result 2018: Lucknow boy bags AIR 436 in JEE Main,entrance exams,2019-06-07,22:05,https://timesofindia.indiatimes.com/home/education/entrance-exams/jee-main-result-2018-lucknow-boy-bags-air-436-in-jee-main/articleshow/63977603.cms
Time of India,"CLAT 2018 admit card released, here is the direct link to download CLAT Admit Card 2018",entrance exams,2019-06-07,22:05,https://timesofindia.indiatimes.com/home/education/entrance-exams/clat-2018-admit-card-released-here-is-the-direct-link-to-download-clat-admit-card-2018/articleshow/63931638.cms
Time of India,NEET 2018: Plea in HC seeks to re-allot exam centres for NEET candidates in TN,entrance exams,2019-06-07,22:05,https://timesofindia.indiatimes.com/home/education/entrance-exams/neet-2018-plea-in-hc-seeks-to-re-allot-exam-centres-for-neet-candidates-in-tn/articleshow/63912728.cms
Time of India,JEE Advanced 2018 exam on May 20; here are some smart tips for a high score,entrance exams,2019-06-07,22:05,https://timesofindia.indiatimes.com/home/education/entrance-exams/jee-advanced-2018-exam-on-may-20-here-are-some-smart-tips-for-a-high-score/articleshow/63877360.cms
Time of India,CBSE to release JEE Main 2018 answer key on April 24,entrance exams,2019-06-07,22:05,https://timesofindia.indiatimes.com/home/education/entrance-exams/cbse-to-release-jee-main-2018-answer-key-on-april-24/articleshow/63876996.cms
Time of India,TS EAMCET 2018 hall ticket now available @ eamcet.tsche.ac.in; find direct download link here,entrance exams,2019-06-07,22:05,https://timesofindia.indiatimes.com/home/education/entrance-exams/ts-eamcet-2018-hall-ticket-releases-today-check-and-download-from-eamcet-tsche-ac-in/articleshow/63840355.cms
Time of India,NEET 2018: Only 4 out of 100 candidates will get admission this year,entrance exams,2019-06-07,22:05,https://timesofindia.indiatimes.com/home/education/entrance-exams/neet-2018-only-four-candidates-will-get-admission-out-of-100-this-year/articleshow/63827695.cms
Time of India,VITEEE Results 2018 likely to be declared next week,entrance exams,2019-06-07,22:05,https://timesofindia.indiatimes.com/home/education/entrance-exams/viteee-results-2018-likely-to-be-declared-next-week/articleshow/63816652.cms
Time of India,AP EAMCET 2018 Admit Card released @ sche.ap.gov.in; here's direct link,entrance exams,2019-06-07,22:05,https://timesofindia.indiatimes.com/home/education/entrance-exams/jntu-to-release-ap-eamcet-admit-card-2018-today-check-and-download-here-at-sche-ap-gov-in/articleshow/63813757.cms
Time of India,CG Vyapam BDED18: Apply online for B.Ed & D.El.Ed Entrance Exam 2018,entrance exams,2019-06-07,22:05,https://timesofindia.indiatimes.com/home/education/entrance-exams/cg-vyapam-bded18-apply-online-for-b-ed-d-el-ed-entrance-exam-2018/articleshow/63811704.cms
Time of India,Karnataka CET begins today,entrance exams,2019-06-07,22:05,https://timesofindia.indiatimes.com/home/education/entrance-exams/karnataka-cet-begins-today/articleshow/63809356.cms
Time of India,JNTU to release AP EAMCET Admit Card 2018 today; check and download here at sche.ap.gov.in,entrance exams,2019-06-07,22:05,https://timesofindia.indiatimes.com/home/education/entrance-exams/jntu-to-release-ap-eamcet-admit-card-2018-today-check-and-download-here-at-sche-ap-gov-in/articleshow/63809127.cms
