Source,Heading,Category,Date,Time,URL
Hindiustan Times,"JEE Advanced Result 2019: Kota institutes shine again, 42 AIR holders in Top 100 so far",nil,2019-06-14,19:57:00,https://www.hindustantimes.com/education/jee-advanced-result-2019-kota-institutes-shine-again-42-air-holders-in-top-100-so-far/story-9ylQCAQ7555PDeSf4lZYGN.html
Hindiustan Times,"Announced: CLAT Result 2019 declared, here’s direct link to check",nil,2019-06-14,18:54:00,https://www.hindustantimes.com/education/clat-result-2019-here-s-how-to-check/story-n9CB05uRqmyNK7w9b3DszN.html
Hindiustan Times,"TS ICET Result 2019 declared, here’s direct link to view rank card",nil,2019-06-14,18:01:00,https://www.hindustantimes.com/education/ts-icet-result-2019-declared-here-s-direct-link-to-check/story-5wJKakNsaqiZqryrYUKMIM.html
Hindiustan Times,"TNPSC Group 4 recruitment 2019: Notification out for 6,491 vacancies, check details and how to apply at tnpsc.gov.in",nil,2019-06-14,17:39:00,https://www.hindustantimes.com/education/tnpsc-group-4-recruitment-2019-notification-know-eligibility-criteria-vacancy-how-to-apply-at-tnpsc-gov-in/story-zzOD43JTcUDZzv0nhcjx7M.html
Hindiustan Times,"JEE Advanced 2019: Dhruv Arora  of UP bags AIR-24, here’s how students in the state performed",nil,2019-06-14,14:31:00,https://www.hindustantimes.com/education/jee-advanced-2019-dhruv-arora-of-up-bags-air-24-here-s-how-students-in-the-state-performed/story-ZoJUy5tz9VQ2Dz9UqrZg8N.html
Hindiustan Times,JEE Advanced 2019: Gorakhpur’s Himanshu Gaurav Singh bags AIR 2,nil,2019-06-14,15:20:00,https://www.hindustantimes.com/education/jee-advanced-result-2019-himanshu-gaurav-singh-of-gorakhpur-secures-air-2-says-his-childhood-dream-comes-true/story-JMxfhYpAvPU4caLywmD9DO.html
Hindiustan Times,JEE Advanced Result 2019 Highlights: Here’s everything you need to know,nil,2019-06-14,14:06:00,https://www.hindustantimes.com/education/jee-advanced-result-2019-highlights-here-s-everything-you-need-to-know/story-dCZYPJyXdGDnIp0wozJ9fK.html
Hindiustan Times,"JEE Advanced final answer key 2019 released at jeeadv.ac.in, check details here",nil,2019-06-14,12:40:00,https://www.hindustantimes.com/education/jee-advanced-final-answer-key-2019-released-at-jeeadv-ac-in-check-details-here/story-dIqvtq1KdVx0k7uOP9gExL.html
Hindiustan Times,"UP medical colleges set to get 1,000 more MBBS seats",nil,2019-06-14,12:21:00,https://www.hindustantimes.com/education/up-medical-colleges-set-to-get-1-000-more-mbbs-seats/story-VWRYSaZ0lp2zwtIrUmk3hK.html
Hindiustan Times,JEE Advanced 2019 topper Kartikey Gupta didn’t sleep without clearing doubts. Read his success mantra,nil,2019-06-14,11:52:00,https://www.hindustantimes.com/education/jee-advanced-2019-topper-kartikey-didn-t-sleep-without-clearing-doubts-read-his-success-mantra/story-peeHu4IDKm4VgU6Zo93AoN.html
Hindiustan Times,"JEE Advanced Result 2019 declared at results.jeeadv.ac.in, direct link to check here",nil,2019-06-14,11:37:00,https://www.hindustantimes.com/education/jee-advanced-result-2019-declared-at-results-jeeadv-ac-in-direct-link-to-check-here/story-RYtp0ooXZGbfoRDuHqBodI.html
Hindiustan Times,"As DU cutoff soars, Ambedkar University a viable option for students",nil,2019-06-14,11:25:00,https://www.hindustantimes.com/education/as-du-cutoff-soars-ambedkar-university-a-viable-option-for-students/story-b5ztgSU8vlhjuAEE8z5ByJ.html
Hindiustan Times,JEE Advanced Result 2019:  Kartikey Gupta of Maharashtra bags AIR- 1 ,nil,2019-06-14,12:11:00,https://www.hindustantimes.com/education/jee-advanced-result-2019-kartikey-gupta-of-mumbai-bags-air-1/story-Z6oxFG9adNbzMcDPSy0IvN.html
Hindiustan Times,"JEE Advanced Result 2019 declared at jeeadv.ac.in, check details and direct link here",nil,2019-06-14,18:04:00,https://www.hindustantimes.com/education/jee-advanced-result-2019-declared-at-jeeadv-ac-in-check-details-here/story-32Zer6TL3JzPxnG8YmhrNJ.html
Hindiustan Times,DU Admissions 2019: Fewer options of courses if you are a man,nil,2019-06-14,08:47:00,https://www.hindustantimes.com/education/du-admissions-2019-popular-courses-but-not-for-men/story-CeyaPRPBavjSY2LWZC2LIO.html
Hindiustan Times,DU Admissions 2019: Disabled candidates in a fix over certificate for quota,nil,2019-06-14,09:01:00,https://www.hindustantimes.com/education/du-admissions-2019-disabled-candidates-in-a-fix-over-certificate-for-quota/story-Cm2cus1BQuNyb3piQMWIWO.html
Hindiustan Times,DU Admissions 2019: No EWS option for MPhil/ PhD registration yet,nil,2019-06-14,09:01:00,https://www.hindustantimes.com/education/du-admissions-2019-no-ews-option-for-mphil-phd-registration-yet/story-ju07H417vB9H7aZqLMg2uM.html
Hindiustan Times,JEE Advanced 2019 Result Live Updates: Direct link for results here,nil,2019-06-14,19:33:00,https://www.hindustantimes.com/education/jee-advanced-result-2019-iit-jeeadv-ac-in-live-updates-toppers-cutoff/story-LErcmMbAkYhnmE3iZgnkkN.html
Hindiustan Times,"Announced: JEE Advanced Result 2019 declared, here’s how to check at results.jeeadv.ac.in",nil,2019-06-14,18:10:00,https://www.hindustantimes.com/education/jee-advanced-result-2019-today-here-s-how-to-check-at-jeeadv-ac-in/story-FrQQkadqk5VtaGtYhofEgO.html
Hindiustan Times,JEE Advanced Result 2019 to be declared tomorrow at jeeadv.ac.in ,nil,2019-06-13,18:58:00,https://www.hindustantimes.com/education/jee-advanced-result-2019-to-be-declared-tomorrow-at-jeeadv-ac-in-by-iit-roorkee/story-Bx4ayRG0B7KWe3AOcCkXZM.html
Hindiustan Times,"TRB Recruitment 2019: Tamil Nadu Teachers Recruitment Board announces 2,144 vacancies, apply at trb.tn.nic.in",nil,2019-06-13,16:26:00,https://www.hindustantimes.com/education/trb-recruitment-2019-tamil-nadu-teachers-recruitment-board-announces-2-144-vacancies-apply-at-trb-tn-nic-in/story-p1ebZCY9FqcRkHwzzeYVXP.html
Hindiustan Times,"JEE Advanced final answer key 2019 soon, result tomorrow",nil,2019-06-13,15:03:00,https://www.hindustantimes.com/education/jee-advanced-final-answer-key-2019-released-result-tomorrow/story-dBBQ5Q6D2Xn9MscTtpEFKL.html
Hindiustan Times,TS ICET Result 2019 to be declared today,nil,2019-06-14,06:43:00,https://www.hindustantimes.com/education/ts-icet-result-2019-to-be-declared-on-june-14-confirmed/story-LgR0Ic8m7Qxjy7QSVKtddM.html
Hindiustan Times,"Third time unlucky: Get ready for chaos, delay in Maharahstra’s FYJC admissions",nil,2019-06-13,11:25:00,https://www.hindustantimes.com/education/third-time-unlucky-get-ready-for-chaos-delay-in-maharahstra-s-fyjc-admissions/story-PHnauJJLMV9Eq7MZcPPg8J.html
Hindiustan Times,"Beed orphanage kids ace SSC, HSC exams in Maharashta ",nil,2019-06-13,11:22:00,https://www.hindustantimes.com/education/beed-orphanage-kids-ace-ssc-hsc-exams-in-maharashta/story-d6RA0dm5prSX2I0WkS9z2K.html
Hindiustan Times,Latest disability certification norm worries candidates in Delhi University,nil,2019-06-13,11:12:00,https://www.hindustantimes.com/education/latest-disability-certification-norm-worries-candidates-in-delhi-university/story-TDmZXwWJ51MNKE0v0LThGO.html
Hindiustan Times,"Popular courses, but not for men in Delhi University ",nil,2019-06-13,10:54:00,https://www.hindustantimes.com/education/popular-courses-but-not-for-men-in-delhi-university/story-LGUwI9NYJW7Jd1uiVMThfL.html
Hindiustan Times,"AIIMS MBBS Result 2019: Tricity lad Chetanya Mittal bags AIR 4, three others in top 100 ",nil,2019-06-13,10:26:00,https://www.hindustantimes.com/education/aiims-mbbs-result-2019-tricity-lad-chetanya-mittal-bags-air-4-three-others-in-top-100/story-Z6wPAdvZkfEysSsp8DgKzH.html
Hindiustan Times,"AIIMS MBBS Result 2019: Meet AIR 2 rank holder Vishwa Hitendra Vadodaria, know his success mantra",nil,2019-06-12,23:19:00,https://www.hindustantimes.com/education/aiims-mbbs-result-2019-meet-air-2-rank-holder-vishwa-hitendra-bhadoria-know-his-success-mantra/story-VS5DxUDjGPLkw2wZsXWQmN.html
Hindiustan Times,AIIMS MBBS 2019 Result highlights: Vishwa Hitendra Vadodaria from Gujarat bags AIR 2,nil,2019-06-13,10:25:00,https://www.hindustantimes.com/education/aiims-mbbs-result-2019-entrance-exam-result-aiimsexam-org-live-updates/story-JYJSSSJRExNXU0LNqR2NbK.html
Hindiustan Times,"Announced: AIIMS MBBS result 2019 declared at aiimsexams.org, here’s direct link to check",nil,2019-06-12,23:21:00,https://www.hindustantimes.com/education/aiims-mbbs-result-2019-declared-at-aiimsexams-org-here-s-direct-link-to-check-marks/story-7fSFZbMwhDPxIzaww42QCL.html
Hindiustan Times,"AIIMS MBBS entrance result 2019 declared, here’s how to check",nil,2019-06-12,22:23:00,https://www.hindustantimes.com/education/aiims-mbbs-entrance-result-2019-declared-here-s-how-to-check/story-pu2tBW4ChRJJMFn75Y8w8J.html
Hindiustan Times,VR in education offers one giant leap for students,nil,2019-06-13,14:24:00,https://www.hindustantimes.com/education/vr-in-education-offers-one-giant-leap-for-students/story-cXIUGSKb9KRVkPcfOJoZYM.html
Hindiustan Times,JEE Advanced 2019: Students jittery ahead of declaration of results ,nil,2019-06-12,19:11:00,https://www.hindustantimes.com/education/jee-advanced-2019-students-jittery-ahead-of-declaration-of-results/story-P0ITUUq0fr9X1IsDlxUmtN.html
Hindiustan Times,NTA to hold IGNOU Entrance Test for MBA (OPENMAT) and BEd,nil,2019-06-12,19:11:00,https://www.hindustantimes.com/education/nta-to-hold-ignou-entrance-test-for-mba-openmat-and-bed/story-fUSe6oycg21yiil6NdKh4H.html
Hindiustan Times,Sri Venkateswara College may begin online courses this year,nil,2019-06-12,19:11:00,https://www.hindustantimes.com/education/sri-venkateswara-college-may-begin-online-courses-this-year/story-xm0pemCr7V6zYuoqKlBQcP.html
Hindiustan Times,"AIIMS MBBS Result 2019 expected to be out today at aiimsexams.org, here’s how to check merit list",nil,2019-06-12,17:04:00,https://www.hindustantimes.com/education/aiims-mbbs-result-2019-expected-to-be-out-today-at-aiimsexams-org-here-s-how-to-check-merit-list/story-v5e929xzBmtY6l8y2qFGFK.html
Hindiustan Times,BHU SET cutoff list for Central Hindu School Boys released. Check details here,nil,2019-06-12,13:59:00,https://www.hindustantimes.com/education/bhu-set-cutoff-list-for-central-hindu-school-boys-released-check-details-here/story-FxPknitIMCplZylHzqlpHI.html
Hindiustan Times,DoE organises draw to fill seats in entry level classes in schools,nil,2019-06-12,13:01:00,https://www.hindustantimes.com/education/doe-organises-draw-to-fill-seats-in-entry-level-classes-in-schools/story-tjKOJcyzt83cnUQv5T5N0M.html
Hindiustan Times,"UPSC CDS (II) notification released. Download PDF, link to apply here",nil,2019-06-12,12:50:00,https://www.hindustantimes.com/education/upsc-cds-ii-notification-released-download-pdf-link-to-apply-here/story-XydLoD6pztQkPMSeVNtWgM.html
Hindiustan Times,SC to hear plea on extension of deadline for PG medical seats,nil,2019-06-12,12:14:00,https://www.hindustantimes.com/education/sc-to-hear-plea-on-extension-of-deadline-for-pg-medical-seats/story-RPHi9zFc7geVWdmQONHfZP.html
Hindiustan Times,SSC Phase VI 2018 answer key released at ssc.nic.in ,nil,2019-06-12,12:52:00,https://www.hindustantimes.com/education/ssc-phase-vi-2018-answer-key-released-at-ssc-nic-in/story-917W6cos1WMU8A0bMuWchO.html
Hindiustan Times,UPSC CDS (II) notification to be released today,nil,2019-06-12,12:51:00,https://www.hindustantimes.com/education/upsc-cds-ii-notification-to-be-released-today/story-rGqrejEcHdQYPFIoIgGvwI.html
Hindiustan Times,Government to connect Madrasas to mainstream education,nil,2019-06-12,09:03:00,https://www.hindustantimes.com/education/government-to-connect-madrasas-to-mainstream-education/story-bA77I2WETG2N4LbVEqaNLO.html
Hindiustan Times,'Single umbrella' admission for professional courses begins,nil,2019-06-12,09:08:00,https://www.hindustantimes.com/education/single-umbrella-admission-for-professional-courses-begins/story-xw3mgBgk9EoUQhBLFQmydM.html
Hindiustan Times,SBI SO Recruitment 2019: Last date today to apply for 579 vacancies of specialist cadre officer,nil,2019-06-12,09:08:00,https://www.hindustantimes.com/education/sbi-so-recruitment-2019-last-date-today-to-apply-for-579-vacancies-of-specialist-cadre-officer/story-xLrTK1u6kyd0mrraDJdGaM.html
Hindiustan Times,DU Admissions 2019: Over 3 lakh students register on DU’s website till now,nil,2019-06-12,09:08:00,https://www.hindustantimes.com/education/du-admissions-2019-over-3-lakh-students-register-on-du-s-website-till-now/story-NrCMFskdmdFj7PmiDkFhVP.html
Hindiustan Times,Fill vacancies to provide quality education: HRD Minister to CBSE,nil,2019-06-12,09:08:00,https://www.hindustantimes.com/education/fill-vacancies-to-provide-quality-education-hrd-minister-to-cbse/story-xXltseum7kIp6WoZxB1LvK.html
Hindiustan Times,AIIMS MBBS Result 2019 expected today at aiimsexams.org. Follow these steps to check,nil,2019-06-12,09:00:00,https://www.hindustantimes.com/education/aiims-mbbs-result-2019-expected-today-at-aiimsexam-org-follow-these-steps-to-check/story-BHBzPHNaxX3wzF9co9mdWM.html
Hindiustan Times,"DU Admissions 2019: 55% DU applicants from outside Delhi. UP, Haryana, Bihar among top 10 states",nil,2019-06-12,07:56:00,https://www.hindustantimes.com/education/du-admissions-2019-55-du-applicants-from-outside-delhi-up-haryana-bihar-among-top-10-states/story-Ow4Op7eZxOvwNijonvLfKL.html
