Source,Heading,Category,Date,Time,URL
India Today," DU's new admission norms to UG courses could have been announced earlier: Delhi HCThe Delhi High Court has heard the petition, but will this change the current
scenario?",news,2019-06-14,22:47:00,https://www.indiatoday.in/education-today/news/story/du-s-new-admission-norms-to-ug-courses-could-have-been-announced-earlier-delhi-hc-1549007-2019-06-14
India Today," IIT Advanced 3rd rank holder Archit Bubna shares success mantraThe 3rd rank holder of IIT JEE Advanced Archit Bubna is planning to pursue
computer science at IIT-Bombay or IIT-Delhi.",news,2019-06-14,22:47:00,https://www.indiatoday.in/education-today/news/story/iit-advanced-3rd-rank-holder-archit-bubna-shares-success-mantra-1548987-2019-06-14
India Today," Here's why Supreme Court refused to hear NEET applicant pleaHours after accepting to hear the pleas of a NEET aspirant, Supreme Court
refused to hear the plea because of a number of reasons.",news,2019-06-14,22:47:00,https://www.indiatoday.in/education-today/news/story/here-s-why-supreme-court-refused-to-hear-neet-applicant-plea-1548945-2019-06-14
India Today, 5 important things we all should learn from JEE Advanced second topper Himanshu Singh A talk with JEE Advanced second topper Himanshu Singh.,news,2019-06-14,22:47:00,https://www.indiatoday.in/education-today/news/story/5-important-things-we-all-should-learn-from-jee-advance-second-topper-himanshu-singh-1548911-2019-06-14
India Today, IIT JEE Advanced answer keys paper 1 and 2 released Students can check their IIT JEE Advanced results 2019 at jeeadv.ac.in.,news,2019-06-14,22:47:00,https://www.indiatoday.in/education-today/news/story/iit-jee-advanced-answer-keys-paper-1-and-2-released-1548874-2019-06-14
India Today," Artificial Intelligence, Data Science jobs see upward trend in MumbaiThe amount to be offered for a data science internship is Rs 1 lakh per
month.",news,2019-06-14,22:47:00,https://www.indiatoday.in/education-today/news/story/artificial-intelligence-data-science-jobs-see-upward-trend-in-mumbai-1548816-2019-06-14
India Today," CHSE Odisha +2 Arts, Commerce Board Result 2019 date and time not fixed yet: How to check Odisha 12th @ orissaresults.nic.inThe Council of Higher Secondary Education (CHSE), Odisha is expected to
declare the CHSE Odisha +2 Arts Result 2019 and CHSE Odisha +2 Commerce Board
Result 2019 next week.",news,2019-06-14,22:47:00,https://www.indiatoday.in/education-today/news/story/chse-odisha-2-arts-commerce-board-result-2019-date-and-time-not-fixed-yet-how-to-check-odisha-12th-orissaresults-nic-in-1548783-2019-06-14
India Today," clatconsortiumofnlu.ac.in to release CLAT Result 2019 today: How to check!CLAT Result 2019 to be out today. More than 47,000 candidates who appeared
for the exam can check result at the official website.",news,2019-06-14,22:47:00,https://www.indiatoday.in/education-today/news/story/clatconsortiumofnlu-ac-in-to-release-clat-result-2019-today-how-to-check-1548680-2019-06-14
India Today," NTA UGC NET 2019 Exams to begin from June 20: Dates, exam patternThe UGC NET exam which is held to determine a candidate's eligibility for
Assistant Professor and or Junior Research Fellowship (JRF) was handed over
to NTA by CBSE.",news,2019-06-14,22:47:00,https://www.indiatoday.in/education-today/news/story/nta-ugc-net-2019-exams-to-begin-from-june-20-dates-exam-pattern-1548752-2019-06-14
India Today," JNUSU alleges varsity's online entrance examinations question papers plagiarisedThe Jawaharlal Nehru Students' Union (JNUSU) has alleged that the entrance
examination question papers were taken from UGC-NET papers.",news,2019-06-14,22:47:00,https://www.indiatoday.in/education-today/news/story/jnusu-alleges-varsity-s-online-entrance-examinations-question-papers-plagiarised-1548743-2019-06-14
India Today," Delhi University (DU) Admission 2019: Last date to apply today, check details hereThe online registration process of Delhi University (UG) Admission 2019
closes today, June 14 on the official website, the link for which is du.ac.in",news,2019-06-14,22:47:00,https://www.indiatoday.in/education-today/news/story/delhi-university-du-admission-2019-last-date-to-apply-today-check-details-here-1548683-2019-06-14
India Today," Odisha government to introduce uniform syllabus for UG courses in universitiesThe minister also asked the vice-chancellors to fill up vacant teaching posts
in their respective universities and colleges affiliated under them as soon
as possible.",news,2019-06-14,22:47:00,https://www.indiatoday.in/education-today/news/story/odisha-govt-uniform-syllabus-ug-courses-divd-1548728-2019-06-14
India Today," Here are 10 amazing facts about our universeThe universe is a name that we use to describe the collection of all things
that exist in space. It is made of trillions of stars, galaxies, black holes,
enormous clouds of gas and many other fascinating things",worldly-science,2019-06-14,22:47:00,https://www.indiatoday.in/education-today/gk-current-affairs/story/here-are-10-amazing-facts-about-our-universe-1548015-2019-06-13
India Today," All about Nipah virus: How is it different from swine flu and bird flu?Doctors say that the symptoms of Nipah infection, swine flu and bird flu are
similar, but there are also differences in how the diseases impact people and
also in their treatment.",worldly-science,2019-06-14,22:47:00,https://www.indiatoday.in/education-today/gk-current-affairs/story/difference-nipah-virus-kerala-swine-flu-bird-flu-symptoms-treatment-1545145-2019-06-08
India Today," Researchers find way to turn plastic waste into jet fuel, here's howResearchers have found a way to turn daily plastic waste products into jet
fuel by melting plastic waste at high temperature with activated carbon.",worldly-science,2019-06-14,22:47:00,https://www.indiatoday.in/education-today/gk-current-affairs/story/plastic-waste-into-jet-fuel-conversion-ways-1542541-2019-06-04
India Today," NASA Artemis: 6 things about the 2024 mission to put the first woman on MoonNASA unveiled the calendar for the 'Artemis' 2024 Moon mission that will
return astronauts to the lunar surface by 2024, including the first woman and
the next man.",worldly-science,2019-06-14,22:47:00,https://www.indiatoday.in/education-today/gk-current-affairs/story/nasa-artemis-2024-moon-mission-first-woman-lunar-surface-things-to-know-1533598-2019-05-24
India Today," Areas with productive climate tend to have more languages: StudyLanguage diversity is closely linked to a region's climate and food
production, researchers have found.",worldly-science,2019-06-14,22:47:00,https://www.indiatoday.in/education-today/gk-current-affairs/story/productive-climate-language-diversity-study-1529426-2019-05-20
India Today," List of 6 manned moon missions: These people set foot on lunar surface after Neil ArmstrongDo you know NASA's Apollo program did a total of six moon landings under its
Apollo programme that ran from 1961 to 1972? Here is a list of manned moon
missions and the people who set foot on the lunar surface. Check pics.",worldly-science,2019-06-14,22:47:00,https://www.indiatoday.in/education-today/gk-current-affairs/story/manned-moon-mission-lunar-surface-moon-landing-nasa-1408563-2018-12-13
India Today," This floating device by IIT Roorkee claims to generate electricity from river surfaceA team at Indian Institute of Technology (IIT) Roorkee is testing a prototype
that harnesses energy from flowing surface water.",worldly-science,2019-06-14,22:47:00,https://www.indiatoday.in/education-today/gk-current-affairs/story/iit-roorkee-device-electricity-flowing-water-1442692-2019-01-30
India Today," What is the difference between Mitosis and Meiosis?There are two processes by which the living organisms divide: Mitosis and
Meiosis",worldly-science,2019-06-14,22:47:00,https://www.indiatoday.in/education-today/gk-current-affairs/story/what-is-the-difference-between-mitosis-and-meiosis-1432936-2019-01-17
India Today," Researchers found an ancient celestial object that might give glimpse into the history of the universe Astronomers have found the brightest and the most ancient quasar through the
Gemini Observation. This discovery raise hopes to find more of such
sources. ",worldly-science,2019-06-14,22:47:00,https://www.indiatoday.in/education-today/gk-current-affairs/story/researchers-found-an-ancient-celestial-object-that-might-give-glimpse-into-the-history-of-the-universe-1430660-2019-01-14
India Today," Holy cow! Mysterious blast studied with NASA telescopes leaves science puzzledThe event -- called AT2018cow and nicknamed 'the Cow' after the coincidental
final letters in its official name -- is unlike any celestial outburst ever
seen before, prompting multiple theories about its source.",worldly-science,2019-06-14,22:47:00,https://www.indiatoday.in/education-today/gk-current-affairs/story/cow-blast-studied-nasa-telescopes-science-puzzled-1430591-2019-01-14
India Today," In the past 40 years, Earth's north magnetic pole shifted MASSIVELYThe magnetic pole is moving fast across the Arctic Ocean, thus, the US
military has requested US and UK scientists to update the five-year magnetic
model early -- in order to help navigation.",worldly-science,2019-06-14,22:47:00,https://www.indiatoday.in/education-today/gk-current-affairs/story/past-40-years-earth-north-magnetic-pole-shifted-massively-1430527-2019-01-14
