Source,Heading,Category,Date,Time,URL
Indian Express,MHT-CET 2019: Counselling process to begin today; know documents needed,nil,2019-06-17,2:44:26 pm,https://indianexpress.com/article/education/mht-cet-2019-counselling-begins-documents-needed-how-to-apply-mhtcet2019-mahaonline-gov-in-5784459/
Indian Express,RSOS Rajasthan 10th Result 2019 date and time,nil,2019-06-17,2:17:17 pm,https://indianexpress.com/article/education/rajasthan-rsos-10th-result-2019-date-and-time-rsosapp-rajasthan-gov-in-5783356/
Indian Express,RSOS Rajasthan 10th Result 2019 to be released on this date,nil,2019-06-17,2:15:53 pm,https://indianexpress.com/article/education/rsos-rajasthan-10th-result-2019-to-be-declared-on-this-date-rsosapp-rajasthan-gov-in-5784375/
Indian Express,"CBSE releases class 10, 12 compartment exam admit card for regular and private candidates",nil,2019-06-17,1:45:40 pm,https://indianexpress.com/article/education/cbse-releases-class-10-12-compartment-exam-admit-card-for-regular-and-private-candidates-cbse-nic-in-5784333/
Indian Express,Delhi govt agrees to release grants to 28 DU colleges funded by it,nil,2019-06-17,13:41:38:00,https://indianexpress.com/article/education/delhi-govt-agrees-to-release-grants-to-28-du-colleges-funded-by-it-5784303/
Indian Express,"DU registrations re-open, new eligibility criteria to be out today",nil,2019-06-17,13:32:26:00,https://indianexpress.com/article/education/du-registrations-re-open-new-eligibility-criteria-to-be-out-today-5783632/
Indian Express,Observe Kalam’s birthday as National Students Day: BJP leader to govt,nil,2019-06-17,13:13:09:00,https://indianexpress.com/article/education/observe-kalams-birthday-as-national-students-day-bjp-leader-to-govt-5784385/
Indian Express,"LSAT-India results 2019 declared, how to check",nil,2019-06-17,12:55:52:00,https://indianexpress.com/article/education/study-abroad/lsat-india-results-2019-declared-pearsonvueindia-com-lsatindia-5784324/
Indian Express,"JOSAA 2019: IIT admission process begins, check how to register, seat allotment schedule",nil,2019-06-17,10:59:27:00,https://indianexpress.com/article/education/josaa-2019-iit-admission-process-begins-check-registration-seat-allotment-schedule-how-to-apply-josaa-nic-in-5782984/
Indian Express,"JoSAA 2019: Seat matrix for IIT admissions, counselling released",nil,2019-06-17,10:51:40:00,https://indianexpress.com/article/education/josaa-2019-seat-matrix-for-iit-admissions-counselling-released-josaa-nic-in-5783916/
Indian Express,IGNOU launches certificate programme in Yoga,nil,2019-06-17,10:35:52:00,https://indianexpress.com/article/education/ignou-launches-certificate-programme-in-yoga-ignou-ac-in-5782952/
Indian Express,Proposal sent to HRD ministry to include Yoga in curriculum: Union Ayush Minister,nil,2019-06-17,10:35:49:00,https://indianexpress.com/article/education/proposal-sent-to-hrd-ministry-to-include-yoga-in-curriculum-union-ayush-minister-shripad-naik-5773701/
Indian Express,Osmania University to declare TS EdCET result 2019: Link to activate at 11:30 am,nil,2019-06-17,10:27:01:00,https://indianexpress.com/article/education/osmania-university-declares-ts-edcet-result-2019-edcet-tsche-ac-in-how-to-download-manabadi-5783974/
Indian Express,"Mumbai University first merit to release today, 2.60 lakh students register",nil,2019-06-17,10:04:33:00,https://indianexpress.com/article/education/mumbai-university-admissions-2019-first-merit-to-released-what-next-steps-to-download-cutoff-mu-ac-in/
Indian Express,"AP Open School SSC, Inter Result 2019: How to check result at apopenschool.org",nil,2019-06-17,09:42:59:00,https://indianexpress.com/article/education/ap-open-school-ssc-inter-result-2019-how-to-check-result-at-apopenschool-org-manabadi-5782213/
Indian Express,"Not just IITs, JEE Advanced score is accepted in these top colleges",nil,2019-06-17,09:37:13:00,https://indianexpress.com/article/education/not-just-iits-jee-advanced-score-is-accepted-in-these-top-colleges-also-check-minimum-cut-off-jeeadv-ac-in-5752328/
