Source,Heading,Category,Date,Time,URL,Cluster,cluster_similarity_value
Time of India, Students fret over subject choice in BA,admission news,2019-06-17,14:42,https://timesofindia.indiatimes.com/home/education/admissions/students-fret-over-subject-choice-in-ba/articleshow/59346267.cms,0,0.35
Time of India, Window dressing Some play it cool others go for comfort,admission news,2019-06-17,14:42,https://timesofindia.indiatimes.com/home/education/admissions/window-dressing-some-play-it-cool-others-go-for-comfort/articleshow/59346232.cms,0,0.33
Time of India, MBBS Admissions Kerala high court reserves case for Judgement criticises govt,admission news,2019-06-17,14:42,https://timesofindia.indiatimes.com/home/education/admissions/mbbs-admissions-kerala-high-court-reserves-case-for-judgement-criticises-govt/articleshow/59600015.cms,1,0.35
Time of India, National Law University Jodhpur Admission 2018 25 seats to be reserved for Rajasthan domicile students,admission news,2019-06-17,14:42,https://timesofindia.indiatimes.com/home/education/admissions/national-law-university-jodhpur-admission-2018-25-seats-to-be-reserved-for-rajasthan-domicile-students/articleshow/63186657.cms,1,0.43
Time of India, Simultala school admissions delayed,admission news,2019-06-17,14:42,https://timesofindia.indiatimes.com/home/education/admissions/simultala-school-admissions-delayed/articleshow/59364645.cms,2,1.0
Time of India, 40 of engineering seats vacant in self financed engineering colleges,admission news,2019-06-17,14:42,https://timesofindia.indiatimes.com/home/education/admissions/40-of-engineering-seats-vacant-in-self-financed-engineering-colleges/articleshow/59470784.cms,3,0.57
Time of India, DU admission First sports quota list out on July 13,admission news,2019-06-17,14:42,https://timesofindia.indiatimes.com/home/education/admissions/1st-sports-quota-list-out-on-july-13/articleshow/59520042.cms,4,0.4
Time of India, Admission chaos in DU as cut offs set to drop by 3 in second list,admission news,2019-06-17,14:42,https://timesofindia.indiatimes.com/home/education/admissions/admission-chaos-in-du-as-cut-offs-set-to-drop-by-3-in-second-list/articleshow/59367192.cms,4,0.41
Time of India, Second day of third list sees sparse footfall at DU,admission news,2019-06-17,14:42,https://timesofindia.indiatimes.com/home/education/admissions/second-day-of-third-list-sees-sparse-footfall-at-du/articleshow/59509119.cms,4,0.4
Time of India, FYJC students can begin admissions today,admission news,2019-06-17,14:42,https://timesofindia.indiatimes.com/home/education/admissions/fyjc-students-can-begin-admissions-today/articleshow/59543479.cms,5,0.31
Time of India, Relief for students as APSCHE withdraws show cause notices,admission news,2019-06-17,14:42,https://timesofindia.indiatimes.com/home/education/admissions/relief-for-students-as-apsche-withdraws-show-cause-notices/articleshow/59364641.cms,5,0.28
Time of India, Students confirm their allotted seats,admission news,2019-06-17,14:42,https://timesofindia.indiatimes.com/home/education/admissions/students-confirm-their-allotted-seats/articleshow/59559202.cms,5,0.35
Time of India, New admission rules for FYJC get thumbs up,admission news,2019-06-17,14:42,https://timesofindia.indiatimes.com/home/education/admissions/new-admission-rules-for-fyjc-get-thumbs-up/articleshow/59614394.cms,6,0.5
Time of India, Trouble at Bhagat Singh college over wrong cutoff,admission news,2019-06-17,14:42,https://timesofindia.indiatimes.com/home/education/admissions/trouble-at-bhagat-singh-college-over-wrong-cutoff/articleshow/59656747.cms,7,0.33
Time of India, Chandigarh administration to introduce online admission system in city colleges,admission news,2019-06-17,14:42,https://timesofindia.indiatimes.com/home/education/admissions/chandigarh-administration-to-introduce-online-admission-system-in-city-colleges/articleshow/62916109.cms,7,0.38
Time of India, VJTI increases MTech PhD course fees by up to 250 for new students,admission news,2019-06-17,14:42,https://timesofindia.indiatimes.com/home/education/admissions/vjti-increases-mtech-phd-course-fees-by-up-to-250-for-new-students/articleshow/59674736.cms,8,0.53
