Source,Heading,Category,Date,Time,URL,Cluster,cluster_similarity_value
Time of India, UP Board results Anjali Verma tops class X Rajneesh Shukla Akash Maurya top class XII,board exams,2019-06-17,14:42,https://timesofindia.indiatimes.com/home/education/board-exams/up-board-results-anjali-verma-tops-class-x-rajneesh-shukla-akash-maurya-tops-class-xii/articleshow/63959474.cms,0,1.0
Time of India, TS Inter results 2018 declared Overall pass percentage 67 25 check here,board exams,2019-06-17,14:42,https://timesofindia.indiatimes.com/home/education/board-exams/telangana-intermediate-results-2018-declared-check-here-first-year-result/articleshow/63741774.cms,1,1.0
Time of India, BSEH Class 10 Result 2018 to be released on May 21 at bseh org in,board exams,2019-06-17,14:42,https://timesofindia.indiatimes.com/home/education/board-exams/bseh-class-10-result-2018-to-be-released-on-may-21-at-bseh-org-in/articleshow/64110097.cms,2,0.77
Time of India, Andhra Pradesh 2nd year Intermediate result 2018 declared today Enter Roll No here to get your result,board exams,2019-06-17,14:42,https://timesofindia.indiatimes.com/home/education/board-exams/ap-board-class-12-result-2018-andhra-pradesh-intermediate-second-year-results-will-be-announced-at-3pm-on-april-12/articleshow/63707679.cms,3,0.44
Time of India, HP BOSE Class 12 Board Results 2018 declared check your result here,board exams,2019-06-17,14:42,https://timesofindia.indiatimes.com/home/education/board-exams/hp-bose-class-12-board-results-2018-releases-today-live-updates/articleshow/63892406.cms,3,0.44
Time of India, AP SSC Results 2018 Andhra Pradesh 10th Class results released pass percentage 94 48,board exams,2019-06-17,14:42,https://timesofindia.indiatimes.com/home/education/board-exams/ap-ssc-results-2018-andhra-pradesh-10th-class-results-soon-live-updates/articleshow/63960090.cms,3,0.41
Time of India, Andhra Pradesh 1st year Intermediate results 2018 declared Check your result pass percentage CGPA,board exams,2019-06-17,14:42,https://timesofindia.indiatimes.com/home/education/board-exams/andhra-pradesh-1st-year-intermediate-results-2018-live-updates/articleshow/63743148.cms,3,0.52
Time of India, Goa Board Result 2018 GBSHSE Class 12 results to be released on April 28 get your result here,board exams,2019-06-17,14:42,https://timesofindia.indiatimes.com/home/education/board-exams/goa-board-result-2018-gbshse-likely-to-announce-class-12-results-by-april-end/articleshow/63876832.cms,4,0.45
Time of India, Himachal Pradesh HPBOSE Class 12 Board Results 2018 released heres toppers list,board exams,2019-06-17,14:42,https://timesofindia.indiatimes.com/home/education/board-exams/hpbose-class-12-results-2018-to-be-declared-today-hpbose-org/articleshow/63890518.cms,4,0.46
Time of India, CBSE Class 12 Economics re exam 2018 tomorrow Important tips and sample paper,board exams,2019-06-17,14:42,https://timesofindia.indiatimes.com/home/education/board-exams/cbse-class-12-economics-paper-2018-important-tips-and-sample-paper/articleshow/63890670.cms,5,0.31
Time of India, Class 10 12 exams postponed in Punjab to be held on April 27 CBSE,board exams,2019-06-17,14:42,https://timesofindia.indiatimes.com/home/education/board-exams/class-10-12-exams-postponed-in-punjab-to-be-held-on-april-27-cbse/articleshow/63708453.cms,5,0.29
Time of India, Decision not to conduct class 10 Maths re exam based on trend analysis CBSE to HC,board exams,2019-06-17,14:42,https://timesofindia.indiatimes.com/home/education/board-exams/decision-not-to-conduct-class-10-maths-re-exam-based-on-trend-analysis-cbse-to-hc/articleshow/63845016.cms,5,0.32
Time of India, Delhi Police claim to solve the CBSE Class 10 maths paper leak case,board exams,2019-06-17,14:42,https://timesofindia.indiatimes.com/home/education/board-exams/delhi-police-claim-to-solve-the-cbse-class-10-maths-paper-leak-case/articleshow/63728256.cms,5,0.29
Time of India, CBSE to release Class 10 12 results on time no delay due to economics paper CBSE official,board exams,2019-06-17,14:42,https://timesofindia.indiatimes.com/home/education/board-exams/cbse-to-release-class-10-12-results-on-time-no-delay-due-to-economics-paper-cbse-official/articleshow/63973701.cms,5,0.36
Time of India, Chhattisgarh Board results 2018 CGBSE likely to announce Class 12 results this week on results cg nic in,board exams,2019-06-17,14:42,https://timesofindia.indiatimes.com/home/education/board-exams/chhattisgarh-board-results-2018-cgbse-likely-to-announce-class-12-results-this-week-on-results-cg-nic-in/articleshow/63875666.cms,6,0.55
Time of India, Odisha board results likely to be announced on first week of May,board exams,2019-06-17,14:42,https://timesofindia.indiatimes.com/home/education/board-exams/odisha-board-results-likely-to-be-announced-on-first-week-of-may/articleshow/63974382.cms,6,0.58
