Source,Heading,Category,Date,Time,URL,Cluster,cluster_similarity_value
The Hindu, Draft National Education Policy moots all India entrance tests for UG courses in public colleges,colleges,2019-06-08,10:16:00,https://www.thehindu.com/news/national/draft-national-education-policy-moots-all-india-entrance-tests-for-ug-courses-in-public-colleges/article27690140.ece,0,1.0
The Hindu, Those pesky pre finals,colleges,2019-02-09,15:12:00,https://www.thehindu.com/education/those-pesky-pre-finals/article26223542.ece,1,1.0
The Hindu, Knowledge quiz,colleges,2019-02-16,12:54:00,https://www.thehindu.com/education/knowledge-quiz/article26289492.ece,2,1.0
The Hindu, The cluster concept,colleges,2019-02-17,17:04:00,https://www.thehindu.com/education/the-cluster-concept/article26288853.ece,3,1.0
The Hindu, IIT Delhi looking to hire 100 foreign teachers,colleges,2019-02-16,19:19:00,https://www.thehindu.com/education/colleges/iit-delhi-looking-to-hire-100-foreign-teachers/article26291840.ece,4,1.0
The Hindu, Options aplenty in kangaroo land,colleges,2019-02-16,13:09:00,https://www.thehindu.com/education/options-aplenty-in-kangaroo-land/article26289591.ece,5,1.0
The Hindu, The nuts and bolts of blockchain,colleges,2019-02-09,14:30:00,https://www.thehindu.com/education/the-nuts-and-bolts-of-blockchain/article26223391.ece,6,1.0
The Hindu, The youth mantra,colleges,2019-02-18,12:00:00,https://www.thehindu.com/education/colleges/the-youth-mantra/article26301699.ece,7,1.0
The Hindu, New age engagement,colleges,2019-02-09,14:26:00,https://www.thehindu.com/education/new-age-engagement/article26223313.ece,8,1.0
The Hindu, Protests continue over goof up in declaration of results by TSBIE,colleges,2019-04-24,17:32:00,https://www.thehindu.com/news/national/telangana/protests-continue-over-goof-up-in-declaration-of-results-by-tsbie/article26931823.ece,9,1.0
The Hindu, 24 students achieve perfect 100 scores in JEE Main cut off at 89 75,colleges,2019-04-30,00:50:00,https://www.thehindu.com/education/colleges/24-students-achieve-perfect-100-scores-in-jee-main-cut-off-at-8975/article26984854.ece,10,1.0
The Hindu, Don ’ t be a Twitterholic,colleges,2019-02-16,13:13:00,https://www.thehindu.com/education/dont-be-a-twitterholic/article26289390.ece,11,1.0
The Hindu, SC refuses to entertain plea against Ordinance on reservation for varsity faculty,colleges,2019-03-25,18:51:00,https://www.thehindu.com/news/national/sc-refuses-to-entertain-plea-against-ordinance-on-reservation-for-varsity-faculty/article26634420.ece,12,1.0
The Hindu, Courses for a career path less trodden,colleges,2019-05-13,08:34:00,https://www.thehindu.com/education/colleges/courses-for-a-career-path-less-trodden/article27111447.ece,13,1.0
The Hindu, IIT Madras tops NIRF higher education rankings,colleges,2019-04-09,00:50:00,https://www.thehindu.com/news/national/iit-madras-tops-nirf-higher-education-rankings/article26773808.ece,14,1.0
