Source,Heading,Category,Date,Time,URL,Cluster,cluster_similarity_value
Time of India, UPBEB releases rejected candidate list for UP Assistant Teacher recruitment 2018,entrance exams,2019-06-17,14:42,https://timesofindia.indiatimes.com/home/education/entrance-exams/upbeb-releases-rejected-candidate-list-for-up-assistant-teacher-recruitment-2018/articleshow/63526906.cms,0,1.0
Time of India, NEET 2018 CBSE to release NEET 2018 Admit Cards next week,entrance exams,2019-06-17,14:42,https://timesofindia.indiatimes.com/home/education/entrance-exams/neet-2018-cbse-to-release-neet-2018-admit-cards-in-second-week-of-april/articleshow/63655137.cms,1,0.57
Time of India, NEET Admit Card 2018 CBSE releases NEET Admit Card check and download here at cbseneet nic in,entrance exams,2019-06-17,14:42,https://timesofindia.indiatimes.com/home/education/entrance-exams/neet-2018-cbse-releases-neet-2018-admit-card-check-and-download-here-at-cbseneet-nic-in/articleshow/63795471.cms,1,0.52
Time of India, CBSE to release NEET Admit Card this week exam to be held on May 6,entrance exams,2019-06-17,14:42,https://timesofindia.indiatimes.com/home/education/entrance-exams/cbse-to-release-neet-admit-card-this-week-exam-to-be-held-on-may-6/articleshow/63778699.cms,1,0.54
Time of India, Karnataka CET begins today,entrance exams,2019-06-17,14:42,https://timesofindia.indiatimes.com/home/education/entrance-exams/karnataka-cet-begins-today/articleshow/63809356.cms,2,0.25
Time of India, DTE Maharashtra MCA CET 2018 results to be out soon check dtemaharashtra gov in,entrance exams,2019-06-17,14:42,https://timesofindia.indiatimes.com/home/education/entrance-exams/dte-to-announce-mah-mca-cet-2018-results-on-april-3-check-at-dtemaharashtra-gov-in/articleshow/63578367.cms,2,0.26
Time of India, For an MBBS seat you need just 5 in physics 20 in biology,entrance exams,2019-06-17,14:42,https://timesofindia.indiatimes.com/home/education/entrance-exams/for-an-mbbs-seat-you-need-just-5-in-physics-20-in-biology/articleshow/63766660.cms,2,0.24
Time of India, MH CET Law 2018 Registration for three year course from April 16,entrance exams,2019-06-17,14:42,https://timesofindia.indiatimes.com/home/education/entrance-exams/mh-cet-law-2018-registration-for-three-year-course-from-april-16/articleshow/63710972.cms,2,0.28
Time of India, IIT JEE Main 2018 10 5 lakh students appeared for the examination,entrance exams,2019-06-17,14:42,https://timesofindia.indiatimes.com/home/education/entrance-exams/iit-jee-main-2018-10-5-lakh-students-appeared-for-the-examination/articleshow/63677321.cms,3,0.38
Time of India, IIT JEE Main Exam 2018 Last minute tips to score good marks,entrance exams,2019-06-17,14:42,https://timesofindia.indiatimes.com/home/education/entrance-exams/iit-jee-main-exam-2018-last-minute-tips-to-sore-good-marks/articleshow/63639487.cms,3,0.36
Time of India, JEE Advanced 2018 exam on May 20 here are some smart tips for a high score,entrance exams,2019-06-17,14:42,https://timesofindia.indiatimes.com/home/education/entrance-exams/jee-advanced-2018-exam-on-may-20-here-are-some-smart-tips-for-a-high-score/articleshow/63877360.cms,3,0.37
Time of India, NEET 2018 Last minute preparation tips to make the cut,entrance exams,2019-06-17,14:42,https://timesofindia.indiatimes.com/home/education/entrance-exams/neet-2018-last-minute-preparation-tips-to-make-the-cut/articleshow/64039621.cms,3,0.46
Time of India, CBSE to declare JEE Main 2018 results on April 30,entrance exams,2019-06-17,14:42,https://timesofindia.indiatimes.com/home/education/entrance-exams/cbse-to-declare-jee-main-2018-results-on-april-30/articleshow/63799677.cms,4,0.26
Time of India, SEB Gujarat declares TET 1 Results 2018 Check here result sebgujarat com Result TET I aspx,entrance exams,2019-06-17,14:42,https://timesofindia.indiatimes.com/home/education/entrance-exams/seb-gujarat-declared-tet-1-results-2018-check-here-result-sebgujarat-com/result_tet_i-aspx/articleshow/63502045.cms,4,0.28
Time of India, NEET PG counselling results declared Check at mcc nic in,entrance exams,2019-06-17,14:42,https://timesofindia.indiatimes.com/home/education/entrance-exams/neet-pg-counselling-results-declared-check-hat-at-mcc-nic-in/articleshow/63575388.cms,4,0.31
Time of India, JEE Main Result 2018 Lucknow boy bags AIR 436 in JEE Main,entrance exams,2019-06-17,14:42,https://timesofindia.indiatimes.com/home/education/entrance-exams/jee-main-result-2018-lucknow-boy-bags-air-436-in-jee-main/articleshow/63977603.cms,4,0.27
Time of India, WBJEE 2018 admit card released today at wbjeeb nic in,entrance exams,2019-06-17,14:42,https://timesofindia.indiatimes.com/home/education/entrance-exams/wbjee-2018-admit-card-to-release-today-at-wbjeeb-nic-in/articleshow/63692923.cms,5,0.42
Time of India, Download UPSC NDA NA Exam 2018 admit card at upsconline nic in,entrance exams,2019-06-17,14:42,https://timesofindia.indiatimes.com/home/education/entrance-exams/download-upsc-nda/na-exam-2018-admit-card-at-upsconline-nic-in/articleshow/63500258.cms,5,0.35
Time of India, GATE 2018 CCMT counselling schedule released – register here ccmt nic in for choice filling allotment,entrance exams,2019-06-17,14:42,https://timesofindia.indiatimes.com/home/education/entrance-exams/gate-2018-ccmt-counselling-schedule-released-register-here-ccmt-nic-in-for-choice-filling-allotment/articleshow/63477811.cms,5,0.42
Time of India, KEAM 2018 Admit Card released today download here cee kerala org,entrance exams,2019-06-17,14:42,https://timesofindia.indiatimes.com/home/education/entrance-exams/keam-2018-admit-card-to-release-today-download-at-cee-kerala-org/articleshow/63692500.cms,5,0.47
Time of India, AP EAMCET 2018 Online application correction window is open from April 8,entrance exams,2019-06-17,14:42,https://timesofindia.indiatimes.com/home/education/entrance-exams/ap-eamcet-2018-online-application-correction-window-is-open-from-april-8/articleshow/63677146.cms,6,0.34
Time of India, TS EAMCET 2018 hall ticket now available eamcet tsche ac in find direct download link here,entrance exams,2019-06-17,14:42,https://timesofindia.indiatimes.com/home/education/entrance-exams/ts-eamcet-2018-hall-ticket-releases-today-check-and-download-from-eamcet-tsche-ac-in/articleshow/63840355.cms,6,0.38
Time of India, JNTU to release AP EAMCET Admit Card 2018 today check and download here at sche ap gov in,entrance exams,2019-06-17,14:42,https://timesofindia.indiatimes.com/home/education/entrance-exams/jntu-to-release-ap-eamcet-admit-card-2018-today-check-and-download-here-at-sche-ap-gov-in/articleshow/63809127.cms,6,0.45
Time of India, COMEDK UGET 2018 Applications close on April 19 apply comedk org,entrance exams,2019-06-17,14:42,https://timesofindia.indiatimes.com/home/education/entrance-exams/comedk-uget-2018-applications-close-on-april-19-apply-on-comedk-org/articleshow/63712457.cms,7,0.39
Time of India, NCHMCT JEE 2018 Application last date extended,entrance exams,2019-06-17,14:42,https://timesofindia.indiatimes.com/home/education/entrance-exams/nchmct-jee-2018-application-last-date-extended/articleshow/63693603.cms,7,0.41
Time of India, UGC NET 2018 registration date extended to April 12 apply online cbsenet nic in,entrance exams,2019-06-17,14:42,https://timesofindia.indiatimes.com/home/education/entrance-exams/ugc-net-july-2018-application-process-closing-soon-apply-now/articleshow/63590613.cms,7,0.44
Time of India, NEET 2018 Only 4 out of 100 candidates will get admission this year,entrance exams,2019-06-17,14:42,https://timesofindia.indiatimes.com/home/education/entrance-exams/neet-2018-only-four-candidates-will-get-admission-out-of-100-this-year/articleshow/63827695.cms,8,0.58
Time of India, CG Vyapam BDED18 Apply online for B Ed D El Ed Entrance Exam 2018,entrance exams,2019-06-17,14:42,https://timesofindia.indiatimes.com/home/education/entrance-exams/cg-vyapam-bded18-apply-online-for-b-ed-d-el-ed-entrance-exam-2018/articleshow/63811704.cms,9,1.0
Time of India, Aplly for AIIMS BSc MSc Nursing courses online nursingofficer aiimsexams org,entrance exams,2019-06-17,14:42,https://timesofindia.indiatimes.com/home/education/entrance-exams/aplly-for-aiims-bsc/msc-nursing-courses-online-nursingofficer-aiimsexams-org/articleshow/63461199.cms,10,1.0
Time of India, JEE Main 2018 Offline Paper I Analysis Chemistry part was tough say students,entrance exams,2019-06-17,14:42,https://timesofindia.indiatimes.com/home/education/entrance-exams/jee-main-2018-offline-paper-analysis-chemistry-part-was-tough-say-students/articleshow/63666543.cms,11,0.89
Time of India, JEE Main 2018 Answer keys likely to be released on April 24,entrance exams,2019-06-17,14:42,https://timesofindia.indiatimes.com/home/education/entrance-exams/jee-main-2018-answer-keys-likely-to-be-released-on-april-24/articleshow/63676412.cms,12,0.54
Time of India, Chhattisgarh TET 2017 Result Final Answer Key 2018 announced check here cgvyapam choice gov in,entrance exams,2019-06-17,14:42,https://timesofindia.indiatimes.com/home/education/entrance-exams/chhattisgarh-tet-2017-result-final-answer-key-2018-announced-check-here-cgvyapam-choice-gov-in/articleshow/63527584.cms,12,0.4
Time of India, BITSAT 2018 Admit Card released check and download here at bitsadmission com,entrance exams,2019-06-17,14:42,https://timesofindia.indiatimes.com/home/education/entrance-exams/bitsat-2018-admit-card-likely-to-be-released-today/articleshow/63724548.cms,13,0.38
Time of India, KIIT EE 2018 Download Admit Card from kiitee kiit ac in,entrance exams,2019-06-17,14:42,https://timesofindia.indiatimes.com/home/education/entrance-exams/kiit-ee-2018-download-admit-card-from-kiitee-kiit-ac-in/articleshow/63695807.cms,13,0.34
Time of India, CLAT 2018 admit card released here is the direct link to download CLAT Admit Card 2018,entrance exams,2019-06-17,14:42,https://timesofindia.indiatimes.com/home/education/entrance-exams/clat-2018-admit-card-released-here-is-the-direct-link-to-download-clat-admit-card-2018/articleshow/63931638.cms,13,0.37
Time of India, MP PPT Admit Card released download at mp go in,entrance exams,2019-06-17,14:42,https://timesofindia.indiatimes.com/home/education/entrance-exams/mp-ppt-admit-card-released-download-at-mp-go-in/articleshow/63711444.cms,13,0.34
