Source,Heading,Category,Date,Time,URL,Cluster,cluster_similarity_value
Time of India, BSEB 12th compartmental 2019 result announced at bsebinteredu in heres direct link,exams result news,2019-06-17,14:42,https://timesofindia.indiatimes.com/home/education/exam-results/bseb-compartmental-result-2019-to-announced-soon-at-bsebinteredu-in/articleshow/69534000.cms,0,1.0
Time of India, CHSE Odisha likely to announce Class 12 result on or before June 6 check details here,exams result news,2019-06-17,14:42,https://timesofindia.indiatimes.com/home/education/exam-results/chse-odisha-likely-to-announce-class-12-result-on-or-before-june-6-check-details-here/articleshow/69592962.cms,1,0.64
Time of India, TS BIE announces Intermediate revaluation reverification 2019 result bie telangana gov in,exams result news,2019-06-17,14:42,https://timesofindia.indiatimes.com/home/education/exam-results/ts-bie-announces-intermediate-revaluation/reverification-2019-result-bie-telangana-gov-in/articleshow/69522976.cms,2,0.4
Time of India, NVS JNVST result 2019 for Class 6 announced check direct link here,exams result news,2019-06-17,14:42,https://timesofindia.indiatimes.com/home/education/exam-results/nvs-jnvst-result-2019-for-class-6-expected-soon-check-details-here/articleshow/69494783.cms,2,0.32
Time of India, TNDTE DOTE diploma result April 2019 released tndte gov in check direct link here,exams result news,2019-06-17,14:42,https://timesofindia.indiatimes.com/home/education/exam-results/tndte-dote-diploma-result-april-2019-declared-tndte-gov-in-check-direct-link-here/articleshow/69645664.cms,2,0.37
Time of India, TS Intermediate revaluation results to be out today AP EAMCET result 2019 soon,exams result news,2019-06-17,14:42,https://timesofindia.indiatimes.com/home/education/exam-results/ts-intermediate-revaluation-results-to-be-out-today-ap-eamcet-result-2019-soon/articleshow/69520661.cms,2,0.32
Time of India, MP Board Class 10th 12th result 2019 releasing soon mpresults nic in,exams result news,2019-06-17,14:42,https://timesofindia.indiatimes.com/home/education/exam-results/mp-board-class-10th-12th-result-2019-to-be-out-on-may-15/articleshow/69308306.cms,3,0.39
Time of India, MP Board 10th 12th result 2019 declared mpresults nic in find direct links here,exams result news,2019-06-17,14:42,https://timesofindia.indiatimes.com/home/education/exam-results/mp-board-10th-12th-result-2019-mpresults-nic-in-live-updates/articleshow/69336468.cms,3,0.43
Time of India, BPSC CDPO Mains Result 2019 announced bpsc bih nic in heres direct link,exams result news,2019-06-17,14:42,https://timesofindia.indiatimes.com/home/education/exam-results/bpsc-cdpo-mains-result-2019-announced-bpsc-bih-nic-in-heres-direct-link/articleshow/69773705.cms,3,0.48
Time of India, RBSE class 8 result 2019 declared at rajeduboard rajasthan gov in download here,exams result news,2019-06-17,14:42,https://timesofindia.indiatimes.com/home/education/exam-results/rbse-8th-result-2019-expected-shortly-rajresults-nic-in-check-details-here/articleshow/69661559.cms,4,0.7
Time of India, RSOS 12th Result 2019 Rajasthan Open School Class 12 result announced rsosapp rajasthan gov in check details here,exams result news,2019-06-17,14:42,https://timesofindia.indiatimes.com/home/education/exam-results/rsos-class-xii-result-2019-rajasthan-open-school-12th-result-expected-soon-rsosapp-rajasthan-gov-in/articleshow/69573469.cms,4,0.58
Time of India, Kerala plus one result 2019 to be released today,exams result news,2019-06-17,14:42,https://timesofindia.indiatimes.com/home/education/exam-results/kerala-plus-one-result-2019-to-be-released-today-at-keralaresults-nic-in/articleshow/69531951.cms,5,0.36
Time of India, KEAM 2019 rank list published cee kerala org check details here,exams result news,2019-06-17,14:42,https://timesofindia.indiatimes.com/home/education/exam-results/keam-2019-rank-list-published-cee-kerala-org-check-link-here/articleshow/69719222.cms,5,0.37
Time of India, Kerala HSCAP 3rd allotment list to be released by June 15 hscap kerala gov in check details here,exams result news,2019-06-17,14:42,https://timesofindia.indiatimes.com/home/education/exam-results/kerala-hscap-3rd-allotment-list-to-be-released-by-june-15-hscap-kerala-gov-in-check-details-here/articleshow/69769771.cms,5,0.43
Time of India, TS DOST 2019 seat allotment first list released dost cgg gov in,exams result news,2019-06-17,14:42,https://timesofindia.indiatimes.com/home/education/exam-results/ts-dost-seat-allotment-first-list-to-be-released-today-dost-cgg-gov-in/articleshow/69724232.cms,5,0.35
Time of India, AU to announce UG entrance test results today,exams result news,2019-06-17,14:42,https://timesofindia.indiatimes.com/home/education/exam-results/au-to-announce-ug-entrance-test-results-today/articleshow/69739401.cms,6,0.43
Time of India, NEET UG Result 2019 Jashan Nimrat brought laurels to Patiala,exams result news,2019-06-17,14:42,https://timesofindia.indiatimes.com/home/education/exam-results/neet-ug-result-2019-jashan-nimrat-brought-laurels-to-patiala/articleshow/69670210.cms,6,0.39
Time of India, NEET UG 2019 Result No students from Odisha among top 50 ranks,exams result news,2019-06-17,14:42,https://timesofindia.indiatimes.com/home/education/exam-results/neet-ug-2019-result-no-students-from-odisha-among-top-50-ranks/articleshow/69670250.cms,6,0.45
Time of India, BSEB 10th compartmental 2019 results announced at biharboardonline bihar gov in,exams result news,2019-06-17,14:42,https://timesofindia.indiatimes.com/home/education/exam-results/bseb-10th-compartmental-2019-results-announced-at-biharboardonline-bihar-gov-in/articleshow/69597270.cms,7,0.65
Time of India, West Bengal 12th results 2019 WB board declares HS results at wbresults nic in check here,exams result news,2019-06-17,14:42,https://timesofindia.indiatimes.com/home/education/exam-results/west-bengal-12th-results-2019-wb-board-to-announce-hs-results-shortly-at-wbresults-nic-in/articleshow/69512809.cms,8,0.48
Time of India, Navodaya Vidyalaya Class 6th result 2019 declared navodaya nic in check here,exams result news,2019-06-17,14:42,https://timesofindia.indiatimes.com/home/education/exam-results/navodaya-vidyalaya-class-6th-result-2019-announced-navodaya-nic-in-check-direct-link-here/articleshow/69497417.cms,8,0.47
Time of India, WB class 12 result 2019 for vocational stream released at wbresults nic in download here,exams result news,2019-06-17,14:42,https://timesofindia.indiatimes.com/home/education/exam-results/wb-class-12-result-2019-for-vocational-stream-released-at-wbresults-nic-in-download-here/articleshow/69586930.cms,8,0.5
Time of India, RBSE 12th result 2019 Rajasthan 12th Science Commerce results announced rajresults nic in,exams result news,2019-06-17,14:42,https://timesofindia.indiatimes.com/home/education/exam-results/rbse-12th-result-2019-rajasthan-12th-science-commerce-results-to-be-out-soon-rajresults-nic-in/articleshow/69340730.cms,9,0.52
Time of India, Rajasthan Board Class X result 2019 now available rajresults nic in check link here,exams result news,2019-06-17,14:42,https://timesofindia.indiatimes.com/home/education/exam-results/rajasthan-board-class-x-result-2019-now-available-rajresults-nic-in-heres-direct-link/articleshow/69631885.cms,9,0.46
Time of India, RBSE 12th result 2019 for Arts stream expected this week says official,exams result news,2019-06-17,14:42,https://timesofindia.indiatimes.com/home/education/exam-results/rbse-12th-result-2019-for-arts-stream-expected-this-week-says-official/articleshow/69406136.cms,9,0.44
Time of India, Maharashtra Board HSC results 2019 released 85 students pass,exams result news,2019-06-17,14:42,https://timesofindia.indiatimes.com/home/education/exam-results/maharashtra-board-hsc-results-2019-declared-85-pass/articleshow/69531294.cms,10,0.45
Time of India, Bihar Class 10 compartmental results 2019 released 73 67 passed,exams result news,2019-06-17,14:42,https://timesofindia.indiatimes.com/home/education/exam-results/bihar-class-10-compartmental-results-2019-released-73-67-passed/articleshow/69597480.cms,10,0.38
Time of India, HBSE 10th Result 2019 Haryana Board Class 10th result released 57 39 pass,exams result news,2019-06-17,14:42,https://timesofindia.indiatimes.com/home/education/exam-results/hbse-10th-result-2019-haryana-board-class-10-result-2019-live-updates-bseh-org-in/articleshow/69366585.cms,10,0.36
Time of India, TSLPRB declares SCT SI Constable final written examinations 2019 result check here,exams result news,2019-06-17,14:42,https://timesofindia.indiatimes.com/home/education/exam-results/tslprb-telangana-declares-sct-si-constable-final-written-examinations-2019-result/articleshow/69499376.cms,11,0.4
Time of India, CLAT 2019 results to be declared today check details here,exams result news,2019-06-17,14:42,https://timesofindia.indiatimes.com/home/education/exam-results/clat-2019-results-to-be-declared-on-june-14-check-details-here/articleshow/69750752.cms,11,0.29
Time of India, AP EAMCET 2019 rank card released sche ap gov in download here,exams result news,2019-06-17,14:42,https://timesofindia.indiatimes.com/home/education/exam-results/ap-eamcet-2019-rank-card-released-sche-ap-gov-in-download-here/articleshow/69727714.cms,11,0.33
Time of India, TS EAMCET result 2019 declared eamcet tsche ac in check link here,exams result news,2019-06-17,14:42,https://timesofindia.indiatimes.com/home/education/exam-results/ts-eamcet-result-2019-announced-eamcet-tsche-ac-in-check-your-score-here/articleshow/69709262.cms,11,0.32
Time of India, OUAT result 2019 OUAT UG Form B editing last date tomorrow rank card to be out on July 8,exams result news,2019-06-17,14:42,https://timesofindia.indiatimes.com/home/education/exam-results/ouat-result-2019-likely-to-be-released-today-at-ouat-nic-in-check-details/articleshow/69766910.cms,12,0.44
Time of India, PTET 2019 result Rajasthan B A B Ed B Sc B Ed entrance exam results released ptet2019 org,exams result news,2019-06-17,14:42,https://timesofindia.indiatimes.com/home/education/exam-results/ptet-2019-result-rajasthan-pre-teacher-education-result-announced-check-link-here/articleshow/69581859.cms,12,0.41
Time of India, NIOS D El Ed Result 2019 for 4th semester to be out soon on dled nios ac in,exams result news,2019-06-17,14:42,https://timesofindia.indiatimes.com/home/education/exam-results/nios-d-el-ed-result-2019-for-4th-semester-expected-soon-on-dled-nios-ac-in/articleshow/69369993.cms,12,0.4
Time of India, Maharashtra MHT CET 2019 results released mhtcet org website down,exams result news,2019-06-17,14:42,https://timesofindia.indiatimes.com/home/education/exam-results/maharashtra-mht-cet-2019-results-declared-mhtcet-org-check-details-here/articleshow/69640454.cms,13,1.0
