Source,Heading,Category,Date,Time,URL,Cluster,cluster_similarity_value
India Today, What does Youthquake word of the year 2017 by Oxford Dictionary mean Last year Oxford named post truth as the word of the year after the Brexit vote and Donald Trumps victory in the U S presidential election,grammar-and-vocabulary,2019-06-17,14:42:00,https://www.indiatoday.in/education-today/gk-current-affairs/story/youthquake-named-word-of-the-year-2017-by-oxford-dictionaries-1111181-2017-12-16,0,0.69
India Today, 10 ways to politely say NOHeres a look at 10 ways to say NO in a polite manner,grammar-and-vocabulary,2019-06-17,14:42:00,https://www.indiatoday.in/education-today/grammar-vocabulary/story/10-ways-to-politely-say-no-1505465-2019-04-19,1,0.53
India Today, 5 words from the farrago of Shashi Tharoors vocabularyCheck out five new words to improve your vocabulary along with its meaning and how to use them in the sentences,grammar-and-vocabulary,2019-06-17,14:42:00,https://www.indiatoday.in/education-today/grammar-vocabulary/story/new-words-shashi-tharoor-vocabulary-1123190-2018-01-05,2,0.5
India Today, New Year new year and New Years Heres how to get your New Year greetings right Are you confused about where to place your apostrophe and whether you should write New Year in capitals or not Check out these tips before you send out your greetings,grammar-and-vocabulary,2019-06-17,14:42:00,https://www.indiatoday.in/education-today/grammar-vocabulary/story/how-to-write-news-year-greetings-1119148-2017-12-30,2,0.47
India Today, 20 words to use instead of sadIt will not only make your conversation fresh but will also help you convey the message quite clearly,grammar-and-vocabulary,2019-06-17,14:42:00,https://www.indiatoday.in/education-today/grammar-vocabulary/story/20-words-to-use-instead-of-sad-1503076-2019-04-16,3,0.58
India Today, Word of the Year 2017 Oxford Cambridge Merriam Webster and Collins Dictionaries select words that defined 2017Word of the Year 2017 Oxford Cambridge Merriam Webster and Collins Dictionaries declared the words that defined 2017,grammar-and-vocabulary,2019-06-17,14:42:00,https://www.indiatoday.in/education-today/grammar-vocabulary/story/word-of-the-year-2017-by-four-dictionaries-1118345-2017-12-29,4,0.52
India Today, Word of the Year 2018 Toxic misinformation nomobhobia among words that defined 2018 as per various top dictionariesOxford Cambridge Merriam Webster and Collins Dictionaries among others selected words that defined 2018 which include toxic misinformation and nomophobia,grammar-and-vocabulary,2019-06-17,14:42:00,https://www.indiatoday.in/education-today/grammar-vocabulary/story/word-of-the-year-2018-announced-by-top-dictionaries-include-toxic-misinformation-nomophobia-html-1421866-2019-01-02,4,0.53
India Today, Feminism is Merriam Webster dictionarys word of the year 2017Feminism beat complicit and recuse to become Merriam Webster word of the year 2017,grammar-and-vocabulary,2019-06-17,14:42:00,https://www.indiatoday.in/education-today/gk-current-affairs/story/merriam-webster-word-of-the-year-2017-1107235-2017-12-14,4,0.61
India Today, What is the meaning of the word Juvenile Juvenile means childish or immature,grammar-and-vocabulary,2019-06-17,14:42:00,https://www.indiatoday.in/education-today/grammar-vocabulary/story/what-is-the-meaning-of-the-word-juvenile-1219643-2018-04-25,5,1.0
India Today, ‘ Nari Shakti ’ or women power is the Oxford Dictionaries Hindi Word of the Year 2018 Here ’ s why this phrase ruled the yearWith the increasing activism of women in various fields it is only just that ‘ nari shakti ’ or women power is the Hindi Word of the Year 2018 chosen by Oxford Dictionaries,grammar-and-vocabulary,2019-06-17,14:42:00,https://www.indiatoday.in/education-today/grammar-vocabulary/story/-nari-shakti-or-women-power-is-the-oxford-dictionaries-hindi-word-of-the-year-2018-1440206-2019-01-27,6,0.61
India Today, What does convicted mean Convicted is one of the most common words in the news What does convicted mean,grammar-and-vocabulary,2019-06-17,14:42:00,https://www.indiatoday.in/education-today/grammar-vocabulary/story/what-does-convicted-mean-1219636-2018-04-25,7,1.0
India Today, 100 colourful words to use instead of ‘ said ’ sorted by the speakers emotionThese said ’ synonyms will improve your writing give it a professional touch and also add to your English vocabulary,grammar-and-vocabulary,2019-06-17,14:42:00,https://www.indiatoday.in/education-today/grammar-vocabulary/story/100-words-to-use-instead-of-said-synonyms-sorted-by-emotion-html-1387531-2018-11-13,8,1.0
India Today, Can you spare three and a half hours to pronounce the longest word in English Did you know the longest word in English is 189819 letters long Here is a list of longest words which will surely amaze you,grammar-and-vocabulary,2019-06-17,14:42:00,https://www.indiatoday.in/education-today/grammar-vocabulary/story/longest-words-english-1213893-2018-04-17,9,1.0
India Today, 7 tips to build a remarkable vocabulary in just a few daysFollow these tips to build your vocabulary very quickly,grammar-and-vocabulary,2019-06-17,14:42:00,https://www.indiatoday.in/education-today/grammar-vocabulary/story/tips-to-build-english-vocabulary-html-1159319-2018-02-01,10,1.0
