Source,Heading,Category,Date,Time,URL,Cluster,cluster_similarity_value
India Today, Osmania University to declare TS EdCET result 2019 today TS EdCET 2019 The results of Telangana State Education Common Entrance Test TS EdCET 2019 will be declared today,notification,2019-06-17,14:42:00,https://www.indiatoday.in/education-today/notification/story/osmania-university-to-declare-ts-edcet-result-2019-today-1550315-2019-06-17,0,1.0
India Today, RSOS 10th Result 2019 likely to declare today See how to check resultThe Rajasthan State Open School RSOS is likely to declare the result for class 10 or matric exams today Jun 17 Monday at its official website rsosapp rajasthan gov in,notification,2019-06-17,14:42:00,https://www.indiatoday.in/education-today/notification/story/rsos-10th-result-2019-likely-to-declare-today-see-how-to-check-result-1550309-2019-06-17,1,0.68
India Today, Rajasthan State of Open School Result for class 10 to be out tomorrow The results for the Rajasthan State of open school class 10 will be published on the official website of the board i e education rajasthan gov in,notification,2019-06-17,14:42:00,https://www.indiatoday.in/education-today/notification/story/rajasthan-state-of-open-school-result-for-class-10-to-be-out-tomorrow-1549973-2019-06-16,1,0.53
India Today, BHU UG PG Result 2019 declared Check admission hostel details hereBHU has declared the result of 2019 UG and PG entrance exams at the Banaras Hindu Universitys official website bhuonline in,notification,2019-06-17,14:42:00,https://www.indiatoday.in/education-today/notification/story/bhu-ug-pg-result-2019-declared-check-admission-hostel-details-here-1550277-2019-06-17,2,0.59
India Today, BHU UET PET Results 2019 declared how to check BHU Results 2019 Banaras Hindu University has released the UET PET entrance results on the official website Check result at bhuonline in,notification,2019-06-17,14:42:00,https://www.indiatoday.in/education-today/notification/story/bhu-uet-pet-results-2019-declared-how-to-check-1549925-2019-06-16,2,0.63
India Today, RCF Kapurthala Apprentice Result 2019 Declared check merit list on rcf indianrailways gov inCandidates who are waiting for their results can check the merit list on the official website i e rcf indianrailways gov in,notification,2019-06-17,14:42:00,https://www.indiatoday.in/education-today/notification/story/rcf-kapurthala-apprentice-result-2019-declared-check-merit-list-on-rcf-indianrailways-gov-in-1549884-2019-06-16,3,1.0
India Today, JEECUP result on June 20 UP Polytechnic 2019 answer key released check now UP Polytechnic result 2019 The Uttar Pradesh Joint Entrance Examination UPJEE answer key has been released on the official website The candidates who appeared for the exam can check UPJEE answer keys at jeecup nic in,notification,2019-06-17,14:42:00,https://www.indiatoday.in/education-today/notification/story/jeecup-result-on-june-20-up-polytechnic-2019-answer-key-released-check-now-1549891-2019-06-16,4,1.0
India Today, CBSE Class 10 12 compartment exam admit card 2019 released for regular and private students How to downloadCandidates can now download their CBSE Class 10 12 compartment exam admit card 2019 directly from the official website cbse nic in,notification,2019-06-17,14:42:00,https://www.indiatoday.in/education-today/notification/story/cbse-class-10-12-compartment-exam-admit-card-2019-released-for-regular-and-private-students-how-to-download-1550435-2019-06-17,5,1.0
India Today, HSSC Recruitment 2019 Notification for Junior Engineer apply online from June 20Candidates who are interested can apply for the post from June 20 2019 on the official website of Haryana Staff Selection Commission i e www hssc gov in,notification,2019-06-17,14:42:00,https://www.indiatoday.in/education-today/notification/story/hssc-recruitment-2019-notification-for-junior-engineer-apply-online-from-june-20-1549909-2019-06-16,6,1.0
India Today, NTA ICAR AIEEA Admit Card 2019 to be out today ntaicar nic in Direct link to download ICAR AIEEA hall ticketsThe National Testing Agency NTA will release the admit cards of the All India Entrance examinations AIEEA 2019 today June 17,notification,2019-06-17,14:42:00,https://www.indiatoday.in/education-today/notification/story/nta-icar-aieea-admit-card-2019-to-be-out-today-ntaicar-nic-in-direct-link-to-download-icar-aieea-hall-tickets-1550255-2019-06-17,7,1.0
India Today, JOSAA 2019 Counselling schedule released and choice filling started at josaa nic inJOSAA 2019 JoSAA counselling schedule has been released on the official website josaa nic in Choice filling commences from today June 16 Check out the important instructions here,notification,2019-06-17,14:42:00,https://www.indiatoday.in/education-today/notification/story/josaa-2019-counselling-schedule-released-and-choice-filling-started-at-josaa-nic-in-1549971-2019-06-16,8,1.0
India Today, LSAT India Results 2019 declared How and where to checkLSAT India Results 2019 have been announced on the official website pearsonvueindia com lsatindia,notification,2019-06-17,14:42:00,https://www.indiatoday.in/education-today/notification/story/lsat-india-results-2019-declared-how-and-where-to-check-1550426-2019-06-17,9,1.0
India Today, CHSE Odisha 2 Result 2019 Arts Commerce results not to be out today Odisha plus two Arts Commerce result 2019 CHSE Odisha Plus 2 Results 2019 are expected to be released soon on the official website Till now no official notification has been released The result will be released on chseodisha nic in and orissaresults nic in,notification,2019-06-17,14:42:00,https://www.indiatoday.in/education-today/notification/story/chse-odisha-2-result-2019-arts-commerce-results-not-to-be-out-today-1550306-2019-06-17,10,1.0
India Today, NTA releases new NET exam admit card for Srinagar candidatesNTA NET admit card NTA after considering their request has allotted such candidates centres in Srinagar only,notification,2019-06-17,14:42:00,https://www.indiatoday.in/education-today/notification/story/nta-releases-new-net-exam-admit-card-divd-1550296-2019-06-17,11,1.0
