Source,Heading,Category,Date,Time,URL,Cluster,cluster_similarity_value
The Hindu, Girls outshine boys in CBSE Class 12,schools,2019-05-02,21:23:00,https://www.thehindu.com/news/national/cbse-class-12-results-announced-pass-percentage-is-834/article27010621.ece,0,1.0
The Hindu, No CBSE Class 10 results on May 5,schools,2019-05-05,10:57:00,https://www.thehindu.com/education/schools/no-cbse-class-10-results-on-may-5/article27038838.ece,1,0.78
The Hindu, CBSE announces Class 12 results,schools,2019-05-02,13:13:00,https://www.thehindu.com/news/national/cbse-announces-class-12-results-for-2019/article27009960.ece,1,0.55
The Hindu, CBSE Class 10 result 99 pass in Chennai region,schools,2019-05-06,20:28:00,https://www.thehindu.com/news/cities/chennai/cbse-class-10-result-99-pass-in-chennai-region/article27049089.ece,2,1.0
The Hindu, 13 DMK members sworn in as MLAs,schools,2019-05-28,13:25:00,https://www.thehindu.com/news/national/tamil-nadu/13-dmk-members-sworn-in-as-mlas/article27271464.ece,3,1.0
The Hindu, CBSE Class 10 results declared 13 students share top rank,schools,2019-05-06,20:14:00,https://www.thehindu.com/news/national/cbse-class-10-results-declared/article27047358.ece,4,1.0
The Hindu, CBSE results 2019 Two Chennai students find place in toppers list,schools,2019-05-02,16:53:00,https://www.thehindu.com/news/cities/chennai/cbse-results-2019-two-chennai-students-find-place-in-toppers-list/article27012477.ece,5,1.0
The Hindu, CBSE class 12 results 2019 list of toppers,schools,2019-05-06,15:00:00,https://www.thehindu.com/news/national/cbse-class-12-results-announced-pass-percentage-is-834/article27012357.ece,6,1.0
The Hindu, Prakash Javadekar clarifies no decision taken over teaching Hindi in non Hindi speaking States,schools,2019-06-01,23:51:00,https://www.thehindu.com/news/national/prakash-javadekar-clarifies-no-decision-taken-over-teaching-hindi-in-non-hindi-speaking-states/article27402092.ece,7,1.0
The Hindu, Visakhapatnam students say no to brown paper covers on school books,schools,2019-06-14,14:41:00,https://www.thehindu.com/education/schools/visakhapatnam-students-say-no-to-brown-paper-covers-on-school-books/article27915029.ece,8,1.0
The Hindu, Draft National Education Policy moots all India entrance tests for UG courses in public colleges,schools,2019-06-08,10:16:00,https://www.thehindu.com/news/national/draft-national-education-policy-moots-all-india-entrance-tests-for-ug-courses-in-public-colleges/article27690140.ece,9,1.0
The Hindu, Of classrooms good and better,schools,2019-06-14,16:06:00,https://www.thehindu.com/education/schools/child-first-curriculum-next-seeks-to-document-the-best-practices-of-alternative-schools-in-india/article27924117.ece,10,1.0
The Hindu, Most sought after addresses in Bengaluru this admission season,schools,2019-04-25,09:22:00,https://www.thehindu.com/news/cities/bangalore/most-sought-after-addresses-in-bengaluru-this-admission-season/article26940046.ece,11,1.0
The Hindu, The Hindu Science Quiz Of conjectures connections and problems,schools,2019-04-14,17:41:00,https://www.thehindu.com/sci-tech/science/the-hindu-science-quiz-of-conjectures-connections-and-problems/article26835127.ece,12,1.0
The Hindu, Centre in damage control mode over anti Hindi protests,schools,2019-06-03,23:16:00,https://www.thehindu.com/news/national/centre-in-damage-control-mode-over-anti-hindi-protests/article27407480.ece,13,1.0
The Hindu, CBSE Class 10 results Kaviya Varshini says she would revise what was taught on the same day,schools,2019-05-06,20:27:00,https://www.thehindu.com/news/national/tamil-nadu/cbse-class-10-results-kaviya-varshini-says-she-would-revise-what-was-taught-on-the-same-day/article27049480.ece,14,1.0
