Source,Heading,Category,Date,Time,URL,Cluster,cluster_similarity_value
India Today, Why Australia is the perfect study abroad destinationAcademic perks plus employability whats not to like about studying abroad in Australia,study-abroad,2019-06-17,14:42:00,https://www.indiatoday.in/education-today/study-abroad/story/why-australia-is-the-perfect-study-abroad-destination-1263290-2018-06-18,0,0.66
India Today, Tips for students moving to a US college Adjustment tips finance management and student visa concernsAre you shifting to the United States to study These student life tips will help you settle into a smooth life in the US,study-abroad,2019-06-17,14:42:00,https://www.indiatoday.in/education-today/study-abroad/story/tips-for-students-moving-to-a-us-college-adjustment-tips-finance-management-and-student-visa-concerns-1474623-2019-03-10,1,0.65
India Today, Studying abroad in UK What do Indian students prefer The application process in UK is less stressful than in the US as UK universities don ’ t require exams like SAT and accept Indian grading systems and boards like CBSE and ISC,study-abroad,2019-06-17,14:42:00,https://www.indiatoday.in/education-today/study-abroad/story/studying-abroad-in-uk-what-do-indian-students-prefer-1446256-2019-02-04,2,0.67
India Today, Should I take GMAT or GRE for MBA Heres an answer to your confusionAre you also facing a dilemma between GMAT and GRE Dont worry we are here to guide you good enough in choosing the best one for you,study-abroad,2019-06-17,14:42:00,https://www.indiatoday.in/education-today/study-abroad/story/should-i-take-gmat-or-gre-for-mba-divd-1369688-2018-10-17,3,1.0
India Today, 6 questions answered about why Singapore could be your go study abroad destinationMove over Europe and America Here is why you should set aside Europe and America and consider Singapore as your new go to study abroad destination,study-abroad,2019-06-17,14:42:00,https://www.indiatoday.in/education-today/study-abroad/story/6-questions-answered-about-why-singapore-could-be-your-go-study-abroad-destination-1463715-2019-02-24,4,0.46
India Today, 3 study abroad destinations for engineering students other than US and UKThe US is no longer the only study abroad destination favoured by engineering students other countries are raising their heads as go to career builders,study-abroad,2019-06-17,14:42:00,https://www.indiatoday.in/education-today/study-abroad/story/3-study-abroad-destinations-for-engineering-students-other-than-us-and-uk-1375144-2018-10-25,4,0.48
India Today, Why Indian students are now choosing Australia and Canada as study abroad destinations over the USAustralia and Canada continue to rise in popularity among Indian students as in demand study abroad destinations,study-abroad,2019-06-17,14:42:00,https://www.indiatoday.in/education-today/study-abroad/story/why-indian-students-are-now-choosing-australia-and-canada-as-study-abroad-destinations-over-the-us-1453408-2019-02-11,4,0.49
India Today, Why is Germany becoming the most preferred place to study 5 reasons why Indians should study in GermanyThese 5 reasons will motivate you to study in Germany,study-abroad,2019-06-17,14:42:00,https://www.indiatoday.in/education-today/study-abroad/story/study-abroad-germany-985244-2017-06-28,5,0.62
India Today, Should I take TOEFL and IELTS both Or one of them is enough Heres the answer Today we will talk about IELTS and TOEFL exam Both these exams are required for admission to universities and colleges in various countries across the globe,study-abroad,2019-06-17,14:42:00,https://www.indiatoday.in/education-today/study-abroad/story/toefl-and-ielts-difference-study-abroad-competetive-exams-divd-1366742-2018-10-12,6,1.0
India Today, Why F 1 and H 1B visas are worse than you think for Indian students moving to USThe F 1 and H1 B visas might not be suitable for you if you are s student wishing to study and work in the US Heres why,study-abroad,2019-06-17,14:42:00,https://www.indiatoday.in/education-today/featurephilia/story/f1-h1b-visa-not-good-for-students-1042129-2017-09-11,7,1.0
