Source,Heading,Category,Date,Time,URL,Cluster,cluster_similarity_value
India Today, Importance of pancreas in the human body Pancreatic DiseasesPancreas has 2 main functions It helps the body digest food and it helps regulate blood sugar,worldly-science,2019-06-17,14:42:00,https://www.indiatoday.in/education-today/gk-current-affairs/story/-importance-of-pancreas-in-the-human-body-pancreatic-diseases-1427998-2019-01-10,0,1.0
India Today, Holy cow Mysterious blast studied with NASA telescopes leaves science puzzledThe event called AT2018cow and nicknamed the Cow after the coincidental final letters in its official name is unlike any celestial outburst ever seen before prompting multiple theories about its source,worldly-science,2019-06-17,14:42:00,https://www.indiatoday.in/education-today/gk-current-affairs/story/cow-blast-studied-nasa-telescopes-science-puzzled-1430591-2019-01-14,1,0.54
India Today, Researchers find way to turn plastic waste into jet fuel heres howResearchers have found a way to turn daily plastic waste products into jet fuel by melting plastic waste at high temperature with activated carbon,worldly-science,2019-06-17,14:42:00,https://www.indiatoday.in/education-today/gk-current-affairs/story/plastic-waste-into-jet-fuel-conversion-ways-1542541-2019-06-04,2,0.54
India Today, This floating device by IIT Roorkee claims to generate electricity from river surfaceA team at Indian Institute of Technology IIT Roorkee is testing a prototype that harnesses energy from flowing surface water,worldly-science,2019-06-17,14:42:00,https://www.indiatoday.in/education-today/gk-current-affairs/story/iit-roorkee-device-electricity-flowing-water-1442692-2019-01-30,3,1.0
India Today, Predicting genetic diseases in newborns by DNA sequencing may be possible Researchers Researchers have found that over 9 of the 159 sequenced babies had mutations predictive of a genetic condition,worldly-science,2019-06-17,14:42:00,https://www.indiatoday.in/education-today/gk-current-affairs/story/predicting-genetic-diseases-in-newborns-by-dna-sequencing-may-be-possible-researchers-1426054-2019-01-08,4,0.58
India Today, List of 6 manned moon missions These people set foot on lunar surface after Neil ArmstrongDo you know NASAs Apollo program did a total of six moon landings under its Apollo programme that ran from 1961 to 1972 Here is a list of manned moon missions and the people who set foot on the lunar surface Check pics,worldly-science,2019-06-17,14:42:00,https://www.indiatoday.in/education-today/gk-current-affairs/story/manned-moon-mission-lunar-surface-moon-landing-nasa-1408563-2018-12-13,5,0.59
India Today, Dark matter on the move Scientists find evidence of the elusive matter moving out of the centre of galaxyThe mysterious dark matter can be heated up and moved around as a result of star formation in galaxies,worldly-science,2019-06-17,14:42:00,https://www.indiatoday.in/education-today/gk-current-affairs/story/dark-matter-heating-moving-start-formation-galaxies-1425240-2019-01-07,6,1.0
India Today, New kitchen garden to be build on the way to Mars Lettuce on the menuEating fresh vegetables in space is a dream of every astronaut strawberries cherry tomatoes lettuce and beans are expected to be grown in space,worldly-science,2019-06-17,14:42:00,https://www.indiatoday.in/education-today/gk-current-affairs/story/new-kitchen-garden-to-be-build-on-the-way-to-mars-lettuce-on-the-menu-1424248-2019-01-05,7,1.0
India Today, Here are 10 amazing facts about our universeThe universe is a name that we use to describe the collection of all things that exist in space It is made of trillions of stars galaxies black holes enormous clouds of gas and many other fascinating things,worldly-science,2019-06-17,14:42:00,https://www.indiatoday.in/education-today/gk-current-affairs/story/here-are-10-amazing-facts-about-our-universe-1548015-2019-06-13,8,1.0
India Today, This IIT Madras girls research is revolutionary shows nanoparticles dance This questions our fundamental idea of how nanoparticles behave in solutions ”,worldly-science,2019-06-17,14:42:00,https://www.indiatoday.in/education-today/gk-current-affairs/story/iit-madras-girl-research-revolutionary-nanoparticles-1426095-2019-01-08,9,1.0
