Newspaper,Heading,Category,Date,Time,URL
Indian Express,"RBSE Rajasthan Board 8th result 2019 declared @rajresults.nic.in HIGHLIGHTS: Results available now at rajeduboard.rajasthan.gov.in, rajresults.nic.in, other websites",nil,2019-06-07,8:17:45 pm,https://indianexpress.com/article/education/rbse-rajasthan-board-8th-result-2019-declared-live-updates-rajeduboard-rajasthan-gov-in-rajresults-nic-in-indiaresults-how-to-download-topper-5769395/
Indian Express,"GNDU admissions 2019: Applications begin for UG, PG courses; check eligibility, how to apply",nil,2019-06-07,8:14:54 pm,https://indianexpress.com/article/education/gndu-admissions-2019-applications-begin-for-ug-pg-courses-check-eligibility-how-to-apply-gndu-ac-in-5770071/
Indian Express,CLAT final answer key 2019 released: How to download,nil,2019-06-07,6:28:21 pm,https://indianexpress.com/article/education/clat-final-answer-key-2019-released-how-to-download-clat-ac-in-5770027/
Indian Express,"Maharashtra Board SSC 10th result 2019 tomorrow, confirms official",nil,2019-06-07,6:04:54 pm,https://indianexpress.com/article/education/maharashtra-board-ssc-result-2019-stop-speculations-date-not-decided-yet-says-msbshse-chairman-maharashtraeducation-com-mahresult-nic-in-5768141/
Indian Express,"MSBSHSE Maharashtra Board SSC, class 10 result 2019 to be declared tomorrow",nil,2019-06-07,17:51:23:00,https://indianexpress.com/article/education/msbshse-maharashtra-board-ssc-result-2019-class-10-date-and-time-maharashtraeducation-com-mahresult-nic-in-indiaresults-5768277/
Indian Express,"BSER, Rajasthan Board RBSE 8th Result 2019 declared: Websites down? Check result on phone",nil,2019-06-07,16:29:20:00,https://indianexpress.com/article/education/bser-rajasthan-board-rbse-8th-result-2019-declared-how-to-check-direct-link-rajresults-nic-in-rajeduboard-rajasthan-gov-in-5769448/
Indian Express,RBSE Rajasthan Board 8th result 2019 declared: Websites to check,nil,2019-06-07,16:24:56:00,https://indianexpress.com/article/education/rbse-rajasthan-board-8th-result-2019-date-and-time-updates-rajeduboard-rajasthan-gov-in-rajeduboard-rajasthan-gov-in-indiaresults-5767994/
Indian Express,RBSE Rajasthan Board 8th Result 2019 declared at rajeduboard.rajasthan.gov.in,nil,2019-06-07,16:09:55:00,https://indianexpress.com/article/education/rbse-rajasthan-board-8th-result-2019-declared-at-rajeduboard-rajasthan-gov-in-5768266/
Indian Express,BSER Rajasthan Board 8th Result declared 2019: When and where to check,nil,2019-06-07,16:05:02:00,https://indianexpress.com/article/education/ajasthan-rbse-8th-result-2019-when-and-where-to-check-via-website-rajeduboard-rajasthan-gov-in-rajresults-nic-in-5766359/
Indian Express,"DU admissions 2019: Entrance test dates released; check syllabus, exam pattern and admit card updates",nil,2019-06-07,15:20:53:00,https://indianexpress.com/article/education/du-admissions-2019-entrance-test-dates-released-check-syllabus-exam-pattern-and-admit-card-updates-du-ac-in-5750513/
Indian Express,DU admissions 2019: Delhi University’s first only women open day session tomorrow,nil,2019-06-07,15:19:19:00,https://indianexpress.com/article/education/du-admissions-2019-delhi-universitys-first-only-women-open-day-session-du-ac-in-5769514/
Indian Express,"DU colleges may increase number of seats under sports, ECA categories without breaching 5% cap",nil,2019-06-07,14:56:03:00,https://indianexpress.com/article/education/delhi-university-colleges-increase-seats-sports-ecs-categories-without-breaching-5-5765200/
Indian Express,DU admissions 2019: Students can produce equivalence certificate if subjects are not listed,nil,2019-06-07,14:53:44:00,https://indianexpress.com/article/education/du-admissions-2019-students-can-produce-equivalence-certificate-if-subjects-are-not-listed-delhi-university-du-ac-in-5765991/
Indian Express,DU entrance exams to begin from June 30,nil,2019-06-07,14:53:31:00,https://indianexpress.com/article/education/du-entrance-exams-to-begin-from-june-30-5768975/
Indian Express,DU admissions 2019: Over 2.38 lakh students register till now,nil,2019-06-07,14:52:43:00,https://indianexpress.com/article/education/over-2-38-lakh-students-register-on-dus-website-for-admissions-till-now-du-ac-in-5769489/
Indian Express,"IPU CET result 2019 declared, how to check",nil,2019-06-07,14:23:03:00,https://indianexpress.com/article/education/ipu-cet-result-2019-declared-how-to-check-ipu-ac-in-5769593/
India Today," Gujarat govt aborts Navaratri holidays on popular demand for schools and colleges Gujarat govt has canceled the eight-day Navaratri break for government
schools and colleges on popular demand by the private schools. ",news,2019-06-07,22:06:00,https://www.indiatoday.in/education-today/news/story/gujarat-govt-aborts-navaratri-holidays-on-popular-demand-for-schools-and-colleges-1544313-2019-06-07
India Today," IIT Madras hosts 2nd edition of Carbon Zero Challenge to tackle environmental problems in India From 996 applications from 25 states, 24 teams were shortlisted and received
training and mentoring along with financial support of up to Rs 5 lakh to
build their prototypes and evolve their business models.",news,2019-06-07,22:06:00,https://www.indiatoday.in/education-today/news/story/iit-madras-hosts-2nd-edition-of-carbon-zero-challenge-to-tackle-environmental-problems-in-india-1544445-2019-06-07
India Today," West Bengal govt lays emphasis on creating village entrepreneursFor providing marketing linkage of Self Help Group (SHG) products, state SHG
and Self West Bengal Empowerment Minister Sadhan Pande said that the
government is opening counters in different towns as one-stop shops",news,2019-06-07,22:06:00,https://www.indiatoday.in/education-today/news/story/west-bengal-govt-lays-emphasis-on-creating-village-entrepreneurs-1544357-2019-06-07
