Newspaper,Heading,Date,Time,URL,Cluster,cluster_similarity_value
India Today, BRO Recruitment 2019: Apply for 778 Electrician and other vacancies @bro.gov.in,2019-05-31,13:41,https://timesofindia.indiatimes.com/education-today/government-jobs/story/bro-recruitment-2019-electrician-bro-gov-in-divd-1538362-2019-05-30,0,0.58
Time of India,UPSEE 2019 result to be declared on June 3 @upsee.nic.in; check details here,2019-05-31, 11:27:00,https://timesofindia.indiatimes.com/home/education/news/upsee-2019-result-to-be-declared-on-june-3-upsee-nic-in-check-details-here/articleshow/69592722.cms,1,0.63
Indian Express,RBSE Rajasthan Board 10th result 2019: Date and time updates,2019-05-31,10:19:35 am,https://indianexpress.com/article/education/rbse-rajasthan-board-10th-result-2019-date-and-time-rajeduboard-rajasthan-gov-in-5757644/,2,0.31
Indian Express,"Dungar College Rajasthan declares PTET results 2019 at ptet2019.net, ptet2019.org",2019-05-31,10:13:35 am,https://indianexpress.com/article/education/rajasthan-ptet-result-2019-date-and-time-ptet2019-net-ptet2019-org-5755887/,2,0.28
Indian Express,Rajasthan RSOS class 12 results: How to check via websites,2019-05-31,12:34:50 pm,https://indianexpress.com/article/education/rajasthan-rsos-class-12-result-declared-how-to-check-via-websites-rsosapp-rajasthan-gov-in-5756742/,2,0.2
India Today, New York teacher casts black kids as slaves in mock auction,2019-05-31,13:41,https://timesofindia.indiatimes.com/education-today/news/story/new-york-teacher-casts-black-kids-as-slaves-in-mock-auction-1539208-2019-05-31,3,1.0
India Today, BSEB Bihar Board 10th Compartment result 2019 today: List of websites to check Bihar board Matric Result ,2019-05-31,13:41,https://timesofindia.indiatimes.com/education-today/notification/story/bseb-bihar-board-10th-compartment-result-2019-bihar-board-matric-result-divd-1539168-2019-05-31,4,0.62
India Today, Bihar Board 10th Compartmental Result 2019 date and time confirmed: Check Bihar Board matric result @ biharboardonline.bihar.gov.in,2019-05-31,13:41,https://timesofindia.indiatimes.com/education-today/notification/story/bihar-board-10th-compartmental-result-2019-date-and-time-confirmed-check-bihar-board-matric-result-biharboardonline-bihar-gov-in-1539140-2019-05-31,4,0.47
Hindiustan Times,Bihar board 10th compartment result date and time: BSEB matric compartment result today at 3pm,2019-05-31,13:34:00,https://www.hindustantimes.com/education/bihar-board-10th-compartment-result-date-and-time-bseb-class-10-compartment-result-today-at-3pm/story-j9zCl1eMnGttpXmjpqbT5N.html,4,0.49
Indian Express,Bihar Board BSEB 10th Compartmental Result 2019 today: When and where to check,2019-05-31,9:35:52 am,https://indianexpress.com/article/education/bihar-board-bseb-10th-compartmental-result-2019-when-and-where-to-check-bsebssresult-com-biharboard-ac-in-5757280/,4,0.48
Hindiustan Times,BSEB Bihar board 10th compartment result 2019 live updates,2019-05-31,13:37:00,https://www.hindustantimes.com/education/bihar-board-10th-compartment-result-date-and-time-bseb-matric-compartment-result-today-at-3pm/story-7rwCU4FGBIqiLe429sgwKI.html,4,0.45
Hindiustan Times,DU admissions 2019: Sports and ECA seats up for grabs ,2019-05-31,11:37:00,https://www.hindustantimes.com/education/du-admissions-2019-sports-and-eca-seats-up-for-grabs/story-VouNAiZJRmkEhbT52F1g0M.html,5,0.21
Hindiustan Times,"DU online admission process begins, first cutoff list likely on June 20",2019-05-31,11:26:00,https://www.hindustantimes.com/education/du-online-admission-process-begins-first-cutoff-list-likely-on-june-20/story-VQYSlqQSxKzkKuAJawCAsJ.html,5,0.17
India Today, Delhi University online admissions begin: All you need to know about the application process,2019-05-31,13:41,https://timesofindia.indiatimes.com/education-today/news/story/delhi-university-online-admissions-begin-all-you-need-to-know-1538470-2019-05-31,5,0.2
Time of India,BJMC Admissions 2019: Become new age media professional with the Times School of Media,2019-05-31, 11:27:00,https://timesofindia.indiatimes.com/home/education/news/bajmc-admissions-2019-become-new-age-media-professional-with-the-times-school-of-media/articleshow/69592697.cms,5,0.18
India Today," Earn upto Rs 2, 08,700 for 439 vacancies in Banaras Hindu University (BHU), apply online @bhu.ac.in",2019-05-31,13:41,https://timesofindia.indiatimes.com/education-today/government-jobs/story/earn-upto-rs-2-08-700-banaras-hindu-university-bhu-bhu-ac-in-divd-1535637-2019-05-27,5,0.2
India Today, DU Admissions 2019: 14 new changes in Delhi University admissions,2019-05-31,13:41,https://timesofindia.indiatimes.com/education-today/news/story/du-admissions-2019-14-new-changes-in-delhi-university-admissions-1539149-2019-05-31,5,0.29
India Today, CBSE Board Exam 2019: Find Class 10 Maths sample paper with answers here,2019-05-31,13:41,https://timesofindia.indiatimes.com/education-today/sample-papers/story/cbse-board-exam-2019-find-class-10-maths-sample-paper-with-answers-here-1417498-2018-12-26,6,0.47
India Today, CBSE Class 12 Biology sample paper 2019 with solutions: Check now,2019-05-31,13:41,https://timesofindia.indiatimes.com/education-today/sample-papers/story/cbse-class-12-biology-sample-paper-2019-divd-1454151-2019-02-12,6,0.63
Indian Express,"DU admissions 2019: NTA to conduct entrance exams, check details here",2019-05-31,11:44:48 am,https://indianexpress.com/article/education/delhi-university-du-admissions-2019-nta-to-conduct-entrance-exams-for-all-ug-pg-courses-5756782/,7,0.73
India Today, 10 ways to politely say 'NO',2019-05-31,13:41,https://timesofindia.indiatimes.com/education-today/grammar-vocabulary/story/10-ways-to-politely-say-no-1505465-2019-04-19,8,0.13
India Today, Areas with productive climate tend to have more languages: Study,2019-05-31,13:41,https://timesofindia.indiatimes.com/education-today/gk-current-affairs/story/productive-climate-language-diversity-study-1529426-2019-05-20,8,0.14
India Today," [WATCH] Nipah virus can be transmitted through contaminated water and fruits, warns govt advisory",2019-05-31,13:41,https://timesofindia.indiatimes.com/education-today/video/-watch-nipah-virus-can-be-transmitted-through-contaminated-water-and-fruits-warns-govt-advisory-1238575-2018-05-22,8,0.13
India Today, How IIT Bombay's healthcare innovation centre BETiC is solving India's doctor shortage with innovative and low-cost medical devices,2019-05-31,13:41,https://timesofindia.indiatimes.com/education-today/how-i-made-it/story/how-iit-bombay-healthcare-innovation-centre-betic-is-solving-india-doctor-shortage-1488389-2019-03-28,8,0.14
India Today," On Menstrual Hygiene Day, here's how workplaces need to deal with periods ",2019-05-31,13:41,https://timesofindia.indiatimes.com/education-today/featurephilia/story/menstruation-how-workplaces-need-to-deal-with-periods-1536483-2019-05-28,8,0.14
Indian Express,"In a first, Punjab govt organises social studies melas in schools",2019-05-31,11:27:02 am,https://indianexpress.com/article/education/students-feel-that-sst-melas-fairs-makes-a-boring-subject-a-joyful-one-students-5756425/,8,0.13
