Newspaper,Heading,Date,Time,URL
Indian Express,The Extraordinary Journey of the Fakir trailer: Dhanush impresses as a street magician,2019-06-04,12:30:31 pm,https://indianexpress.com/article/entertainment/hollywood/the-extraordinary-journey-of-the-fakir-trailer-dhanush-5764143/
Indian Express,The actors of Son Pari: Where are they now?,2019-06-04,8:00:18 am,https://indianexpress.com/article/entertainment/television/son-pari-cast-then-and-now-5762421/
Indian Express,Priyanka Chopra roots for husband Nick Jonas at Chasing Happiness premiere,2019-06-04,10:09:23 am,https://indianexpress.com/article/entertainment/web-series/priyanka-chopra-nick-jonas-chasing-happiness-premiere-photos-5763778/
Indian Express,"Taapsee Pannu, Vicky Kauhsal, Nora Fatehi and others share laughs at Russell Peters show",2019-06-04,12:28:02 pm,https://indianexpress.com/photos/entertainment-gallery/russell-peters-show-mumbai-taapsee-pannu-vicky-kaushal-nora-fatehi-5763688/
Indian Express,I feel privileged to call Salman Khan ‘bhai’ in Bharat: Kashmira Irani,2019-06-04,13:37:07:00,https://indianexpress.com/article/entertainment/bollywood/kashmira-irani-bharat-films-salman-khan-ali-abbas-zafar-character-5757829/
Indian Express,Eid-ul-Fitr: Varun Dhawan and Sophie Choudry wish fans on the auspicious occasion,2019-06-04,12:41:50:00,https://indianexpress.com/article/entertainment/bollywood/varun-dhawan-sophie-choudry-eid-ul-fitr-wishes-5764174/
Indian Express,The Extraordinary Journey of the Fakir trailer: Dhanush impresses as a street magician,2019-06-04,12:30:31:00,https://indianexpress.com/article/entertainment/hollywood/the-extraordinary-journey-of-the-fakir-trailer-dhanush-5764143/
Indian Express,Payal Rohatgi apologises after her Shivaji tweet receives flak,2019-06-04,12:18:34:00,https://indianexpress.com/article/entertainment/bollywood/payal-rohatgi-shivaji-tweet-apology-controversy-5764037/
Indian Express,Keanu Reeves to join Marvel with The Eternals?,2019-06-04,12:13:49:00,https://indianexpress.com/article/entertainment/hollywood/keanu-reeves-join-marvel-the-eternals-mcu-5763982/
Indian Express,2.0 to release in China on July 12,2019-06-04,13:41:09:00,https://indianexpress.com/article/entertainment/tamil/rajinanths-2-0-to-release-in-china-on-july-12-5763950/
Indian Express,Kevin Spacey shows up for hearing in groping case,2019-06-04,10:56:20:00,https://indianexpress.com/article/entertainment/hollywood/kevin-spacey-shows-up-for-hearing-in-groping-case-5763877/
Indian Express,Barry Jenkins to direct a film on choreographer Alvin Ailey’s life,2019-06-04,10:56:18:00,https://indianexpress.com/article/entertainment/hollywood/barry-jenkins-to-direct-film-about-choreographer-alvin-ailey-5763851/
Indian Express,"David Lynch, Wes Studi among honorary Oscar recipients",2019-06-04,10:56:13:00,https://indianexpress.com/article/entertainment/hollywood/david-lynch-wes-studi-among-honorary-oscar-recipients-5763748/
Indian Express,Happy birthday SP Balasubrahmanyam: Films in which SPB shone as an actor,2019-06-04,10:30:30:00,https://indianexpress.com/article/entertainment/tamil/happy-birthday-sp-balasubrahmanyam-actor-roles-5763493/
Indian Express,Priyanka Chopra roots for husband Nick Jonas at Chasing Happiness premiere,2019-06-04,10:09:23:00,https://indianexpress.com/article/entertainment/web-series/priyanka-chopra-nick-jonas-chasing-happiness-premiere-photos-5763778/
Indian Express,"Good Omens actor Jon Hamm: We are all flawed, and we need to find the middle ground",2019-06-04,09:39:22:00,https://indianexpress.com/article/entertainment/web-series/good-omens-jon-hamm-amazon-series-5763278/
