Newspaper,Heading,Date,Time,URL
India Today," Delhi Crime: Grit expectationActors in 'Delhi Crime' say they felt pressure, not just because the web
series is based on a real story, but to do justice to the characters they
play.",2019-06-05,12:33,https://www.indiatoday.in/mail-today/story/delhi-crime-grit-expectation-1495937-2019-04-07
India Today," Roopal's back in action Daily soaps can drain you a lot, feels Roopal Tyagi.",2019-06-05,12:33,https://www.indiatoday.in/mail-today/story/roopal-s-back-in-action-1495939-2019-04-07
India Today, 04:32Neeti Mohan on woman-related issuesSinger Neeti Mohan speaks about gender equality and #Metoo campaign.,2019-06-05,12:33,https://www.indiatoday.in/entertainment/video/neeti-mohan-on-woman-related-issues-1395914-2018-11-25
India Today," A league of their ownPopularity is not always directly proportional to box-office success.
Sometimes, you just rule hearts.",2019-06-05,12:33,https://www.indiatoday.in/magazine/mood-of-the-nation/story/20180827-a-league-of-their-own-1315665-2018-08-18
India Today,  Rajinikanth’s Kaala to Kamal’s Vishwaroopam 2: Films that are stuck because of Kollywood strike,2019-06-05,12:33,https://www.indiatoday.in/movies/regional-cinema/photo/kollywood-strike-vishwaroopam-2-kaala-could-not-release-1203534-2018-04-03
India Today,  Malayalam actor Neeraj Madhav and Deepthi's wedding was a dreamy affair. See pics,2019-06-05,12:33,https://www.indiatoday.in/movies/regional-cinema/photo/malayalam-actor-neeraj-madhav-gets-married-to-deepti-1202999-2018-04-02
India Today,  Kolamaavu Kokila stills: All you need to know about Nayanthara's quirky film,2019-06-05,12:33,https://www.indiatoday.in/movies/regional-cinema/photo/kolamaavu-kokila-all-you-need-to-know-about-nayanthara-film-1190208-2018-03-15
India Today,"  Sridevi's prayer meet in Chennai: AR Rahman to Latha Rajinikanth, K-Town celebs pay their tributes ",2019-06-05,12:33,https://www.indiatoday.in/movies/regional-cinema/photo/sridevi-prayer-meet-chennai-photos-latha-rajinikanth-ar-rahman-prabhudheva-k-town-tribute-1187484-2018-03-12
India Today,  Aditi Rao Hydari to Ramya Krishnan: Tamil heroines who ruled the roost in 2017,2019-06-05,12:33,https://www.indiatoday.in/movies/regional-cinema/photo/best-heroines-and-strong-character-for-women-in-tamil-films-in-2017-1184695-2018-03-08
India Today,  Happy Women’s Day: Women directors who changed the face of Tamil cinema,2019-06-05,12:33,https://www.indiatoday.in/movies/regional-cinema/photo/happy-womens-day-women-director-in-tamil-1184539-2018-03-08
India Today,"  Mahesh Babu to Mammootty, when South stars took oath as CM on screen",2019-06-05,12:33,https://www.indiatoday.in/movies/regional-cinema/photo/mahesh-babu-to-mammootty-when-south-stars-took-oath-as-cm-on-screen-1183891-2018-03-07
India Today,"  Happy Holi: From Superstar Rajinikanth to Priya Prakash Varrier, South Indian stars celebrate the festival of colours",2019-06-05,12:33,https://www.indiatoday.in/movies/regional-cinema/photo/rajinikanth-to-priya-prakash-varrier-celebrate-holi-oviya-kajal-aggarwal-parvati-nair-1180811-2018-03-02
